repo_owner_name,repo_name,is_private,description,language,stars,ventures_using,venture_ids,venture_names,status
Worldwidebro/bw-032-stylist-booking-platform,bw-032-stylist-booking-platform,True,Civilization OS — BW-032-Stylist-Booking-Platform,,0,1,BW-032-Stylist-Booking-Platform,Stylist Booking Platform,aligned
Worldwidebro/bw-033-ai-hairstyle-simulator,bw-033-ai-hairstyle-simulator,True,Civilization OS | AI Hairstyle Simulator — Beauty & Wellness,,0,1,BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,aligned
Worldwidebro/bw-034-salon-franchise-chain,bw-034-salon-franchise-chain,True,Civilization OS — BW-034-Salon-Franchise-Chain,,0,1,BW-034-Salon-Franchise-Chain,Salon Franchise Chain,aligned
Worldwidebro/bw-035-makeup-studio,bw-035-makeup-studio,True,Civilization OS | Makeup Studio — Beauty & Wellness,,0,1,BW-035-Makeup-Studio,Makeup Studio,aligned
Worldwidebro/bw-036-bridal-makeup-service,bw-036-bridal-makeup-service,True,Civilization OS | Bridal Makeup Service — Beauty & Wellness,,0,1,BW-036-Bridal-Makeup-Service,Bridal Makeup Service,aligned
Worldwidebro/bw-037-mobile-makeup-artist,bw-037-mobile-makeup-artist,True,Civilization OS — BW-037-Mobile-Makeup-Artist,,0,1,BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,aligned
Worldwidebro/bw-038-photoshoot-makeup-team,bw-038-photoshoot-makeup-team,True,Civilization OS | Photoshoot Makeup Team — Beauty & Wellness,,0,1,BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,aligned
Worldwidebro/bw-039-cosmetics-brand,bw-039-cosmetics-brand,True,Civilization OS | Cosmetics Brand — Beauty & Wellness,,0,1,BW-039-Cosmetics-Brand,Cosmetics Brand,aligned
Worldwidebro/bw-040-beauty-tools-brand,bw-040-beauty-tools-brand,True,Civilization OS — BW-040-Beauty-Tools-Brand,,0,1,BW-040-Beauty-Tools-Brand,Beauty Tools Brand,aligned
Worldwidebro/capital-orchestrator,capital-orchestrator,True,Capital allocation and orchestration platform,TypeScript,0,1,EDU-008-Branding-Templates-Marketplace,Branding Templates Marketplace,aligned
Worldwidebro/civilization-os-infra,civilization-os-infra,True,"Civilization OS infrastructure — scripts, configs, Docker stack, AOC, DeerFlow skills, agent workflo",Python,0,74,FIN-002-Credit-Repair-Automation|FIN-006-Tax-Prep-Filing-Services|FIN-007-Business-Credit-Building|FIN-009-Crypto-Tax-Optimizer|FIN-011-Automated-Bookkeeping|FIN-012-Invoice-Factoring-AI|FIN-015-Financial-Wellness-Coach|FIN-019-Payment-Gateway-AI|FIN-021-Tax-Deduction-Finder|OPS-001-Fractional-CTO-Agency|OPS-003-Event-Planning-AI|OPS-004-Inventory-Management-AI|OPS-005-Project-Management-AI|OPS-006-Document-Automation-AI|OPS-007-Meeting-Assistant-AI|OPS-008-Recruitment-AI|OPS-009-Onboarding-AI|OPS-010-Training-Platform-AI|OPS-011-Performance-Review-AI|OPS-012-IT-Support-AI|OPS-013-Facilities-Management-AI|OPS-014-Travel-Booking-AI|OPS-015-Expense-Management-AI|OPS-016-Contract-Management-AI|OPS-017-Compliance-Monitoring-AI|OPS-018-Quality-Control-AI|OPS-019-Asset-Management-AI|OPS-020-Time-Tracking-AI|OPS-021-Document-Security-AI|OPS-022-Knowledge-Management-AI|OPS-023-Meeting-Transcription-AI|OPS-024-Task-Automation-AI|OPS-025-Resource-Allocation-AI|OPS-026-Budget-Planning-AI|OPS-027-Cost-Optimization-AI|OPS-028-Procurement-AI|OPS-029-Vendor-Management-AI|OPS-030-Contract-Negotiation-AI|OPS-031-Legal-Document-AI|OPS-032-Compliance-Reporting-AI|OPS-033-Training-Content-AI|OPS-034-Employee-Engagement-AI|OPS-035-Succession-Planning-AI|OPS-036-Workspace-Design-AI|OPS-037-Energy-Efficiency-AI|OPS-038-Security-Monitoring-AI|OPS-039-Health-Safety-AI|OPS-040-Disaster-Recovery-AI|OPS-041-IT-Asset-Management|OPS-042-Cloud-Cost-Management|OPS-043-Data-Governance-AI|OPS-044-Network-Monitoring-AI|OPS-045-Software-Licensing-AI|OPS-046-IT-Procurement-AI|OPS-047-System-Integration-AI|OPS-048-Data-Backup-AI|OPS-049-Business-Continuity-AI|OPS-050-Compliance-Audit-AI|OPS-051-Document-Collaboration-AI|OPS-052-Video-Conferencing-AI|OPS-053-Email-Management-AI|OPS-054-Calendar-Optimization-AI|OPS-055-Project-Budget-AI|OPS-056-Resource-Forecasting-AI|OPS-057-Task-Prioritization-AI|OPS-059-Meeting-Minutes-AI|OPS-060-Document-Translation-AI|OPS-061-Form-Automation-AI|OPS-062-Report-Generation-AI|OPS-063-Dashboard-Creation-AI|OPS-064-Analytics-Platform-AI|OPS-065-Data-Cleaning-AI|OPS-066-Workflow-Management-AI|CON-010-PLUMBING-SERVICES,Credit Repair Automation|Tax Prep Filing Services|Business Credit Building|Crypto Tax Optimizer|Automated Bookkeeping|Invoice Factoring Ai|Financial Wellness Coach|Payment Gateway Ai|Tax Deduction Finder|Fractional Cto Agency|Event Planning Ai|Inventory Management Ai|Project Management Ai|Document Automation Ai|Meeting Assistant Ai|Recruitment Ai|Onboarding Ai|Training Platform Ai|Performance Review Ai|It Support Ai|Facilities Management Ai|Travel Booking Ai|Expense Management Ai|Contract Management Ai|Compliance Monitoring Ai|Quality Control Ai|Asset Management Ai|Time Tracking Ai|Document Security Ai|Knowledge Management Ai|Meeting Transcription Ai|Task Automation Ai|Resource Allocation Ai|Budget Planning Ai|Cost Optimization Ai|Procurement Ai|Vendor Management Ai|Contract Negotiation Ai|Legal Document Ai|Compliance Reporting Ai|Training Content Ai|Employee Engagement Ai|Succession Planning Ai|Workspace Design Ai|Energy Efficiency Ai|Security Monitoring Ai|Health Safety Ai|Disaster Recovery Ai|It Asset Management|Cloud Cost Management|Data Governance Ai|Network Monitoring Ai|Software Licensing Ai|It Procurement Ai|System Integration Ai|Data Backup Ai|Business Continuity Ai|Compliance Audit Ai|Document Collaboration Ai|Video Conferencing Ai|Email Management Ai|Calendar Optimization Ai|Project Budget Ai|Resource Forecasting Ai|Task Prioritization Ai|Meeting Minutes Ai|Document Translation Ai|Form Automation Ai|Report Generation Ai|Dashboard Creation Ai|Analytics Platform Ai|Data Cleaning Ai|Workflow Management Ai|Plumbing Services,aligned
Worldwidebro/comm-001-luminary-worldwide-events,comm-001-luminary-worldwide-events,True,Civilization OS — COMM-001-Luminary-Worldwide-Events,TypeScript,0,50,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai,aligned
Worldwidebro/comm-002-brotherhood-coaching-network,comm-002-brotherhood-coaching-network,True,Civilization OS — COMM-002-Brotherhood-Coaching-Network,TypeScript,0,50,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai,aligned
Worldwidebro/comm-003-ace-senior-care-connect,comm-003-ace-senior-care-connect,True,Civilization OS — COMM-003-Ace-Senior-Care-Connect,TypeScript,0,50,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai,aligned
Worldwidebro/comm-004-community-outreach-nonprofit,comm-004-community-outreach-nonprofit,True,Civilization OS — COMM-004-Community-Outreach-Nonprofit,TypeScript,0,50,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai,aligned
Worldwidebro/comm-005-ace-food-security-ai,comm-005-ace-food-security-ai,True,Civilization OS — COMM-005-Ace-Food-Security-AI,TypeScript,0,50,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai,aligned
Worldwidebro/comm-006-community-technology-access-ai,comm-006-community-technology-access-ai,True,Civilization OS — COMM-006-Community-Technology-Access-AI,TypeScript,0,50,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai,aligned
Worldwidebro/comm-007-youth-leadership-ai,comm-007-youth-leadership-ai,True,Civilization OS — COMM-007-Youth-Leadership-AI,TypeScript,0,7,COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI,Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai,aligned
Worldwidebro/comm-008-community-fundraising-ai,comm-008-community-fundraising-ai,True,Civilization OS — COMM-008-Community-Fundraising-AI,TypeScript,0,1,COMM-008-Community-Fundraising-AI,Community Fundraising Ai,aligned
Worldwidebro/comm-009-volunteer-hub-ai,comm-009-volunteer-hub-ai,True,Civilization OS — COMM-009-Volunteer-Hub-AI,TypeScript,0,1,COMM-009-Volunteer-Hub-AI,Volunteer Hub Ai,aligned
Worldwidebro/comm-010-disaster-relief-ai,comm-010-disaster-relief-ai,True,Civilization OS — COMM-010-Disaster-Relief-AI,TypeScript,0,1,COMM-010-Disaster-Relief-AI,Disaster Relief Ai,aligned
Worldwidebro/comm-011-indigenous-creator-hub,comm-011-indigenous-creator-hub,True,Civilization OS — COMM-011-Indigenous-Creator-Hub,TypeScript,0,1,COMM-011-Indigenous-Creator-Hub,Indigenous Creator Hub,aligned
Worldwidebro/comm-012-black-art-museum-ai,comm-012-black-art-museum-ai,True,Civilization OS — COMM-012-Black-Art-Museum-AI,TypeScript,0,1,COMM-012-Black-Art-Museum-AI,Black Art Museum Ai,aligned
Worldwidebro/comm-013-women-s-empowerment-network,comm-013-women-s-empowerment-network,True,Civilization OS — COMM-013-Women-s-Empowerment-Network,TypeScript,0,1,COMM-013-Women-s-Empowerment-Network,Women S Empowerment Network,aligned
Worldwidebro/comm-014-veterans-support-ai,comm-014-veterans-support-ai,True,Civilization OS — COMM-014-Veterans-Support-AI,TypeScript,0,1,COMM-014-Veterans-Support-AI,Veterans Support Ai,aligned
Worldwidebro/comm-015-youth-mentorship-program,comm-015-youth-mentorship-program,True,Civilization OS — COMM-015-Youth-Mentorship-Program,TypeScript,0,1,COMM-015-Youth-Mentorship-Program,Youth Mentorship Program,aligned
Worldwidebro/comm-016-community-health-ai,comm-016-community-health-ai,True,Civilization OS — COMM-016-Community-Health-AI,TypeScript,0,1,COMM-016-Community-Health-AI,Community Health Ai,aligned
Worldwidebro/comm-017-local-business-directory,comm-017-local-business-directory,True,Civilization OS — COMM-017-Local-Business-Directory,TypeScript,0,1,COMM-017-Local-Business-Directory,Local Business Directory,aligned
Worldwidebro/comm-018-neighborhood-watch-ai,comm-018-neighborhood-watch-ai,True,Civilization OS — COMM-018-Neighborhood-Watch-AI,TypeScript,0,1,COMM-018-Neighborhood-Watch-AI,Neighborhood Watch Ai,aligned
Worldwidebro/comm-019-community-garden-ai,comm-019-community-garden-ai,True,Civilization OS — COMM-019-Community-Garden-AI,TypeScript,0,1,COMM-019-Community-Garden-AI,Community Garden Ai,aligned
Worldwidebro/comm-020-public-transportation-ai,comm-020-public-transportation-ai,True,Civilization OS — COMM-020-Public-Transportation-AI,TypeScript,0,1,COMM-020-Public-Transportation-AI,Public Transportation Ai,aligned
Worldwidebro/comm-021-housing-assistance-ai,comm-021-housing-assistance-ai,True,Civilization OS — COMM-021-Housing-Assistance-AI,TypeScript,0,1,COMM-021-Housing-Assistance-AI,Housing Assistance Ai,aligned
Worldwidebro/comm-022-job-training-center,comm-022-job-training-center,True,Civilization OS — COMM-022-Job-Training-Center,TypeScript,0,1,COMM-022-Job-Training-Center,Job Training Center,aligned
