repo_name,description,company_role,venture_id,venture_name,ASSIGN_SECTOR,ASSIGN_VENTURE_CODE,ASSIGN_VENTURE_NAME
iza-os-marketing-automation-compliance-bot,🤖 Marketing Automation Bot - Compliance automation and intelligence,Gear,,,,,
iza-os-marketing-automation-discovery-bot,🤖 Marketing Automation Bot - Discovery automation and intelligence,Gear,,,,,
iza-os-marketing-automation-integration-bot,🤖 Marketing Automation Bot - Integration automation and intelligence,Gear,,,,,
iza-os-marketing-automation-intelligence-bot,🤖 Marketing Automation Bot - Intelligence automation and intelligence,Gear,,,,,
iza-os-marketing-automation-management-bot,🤖 Marketing Automation Bot - Management automation and intelligence,Gear,,,,,
iza-os-marketing-automation-monitoring-bot,🤖 Marketing Automation Bot - Monitoring automation and intelligence,Gear,,,,,
iza-os-marketing-automation-optimization-bot,🤖 Marketing Automation Bot - Optimization automation and intelligence,Gear,,,,,
iza-os-marketing-automation-orchestration-bot,🤖 Marketing Automation Bot - Orchestration automation and intelligence,Gear,,,,,
iza-os-marketing-automation-processing-bot,🤖 Marketing Automation Bot - Processing automation and intelligence,Gear,,,,,
iza-os-marketing-automation-reporting-bot,🤖 Marketing Automation Bot - Reporting automation and intelligence,Gear,,,,,
iza-os-marketing-automation-security-bot,🤖 Marketing Automation Bot - Security automation and intelligence,Gear,,,,,
iza-os-marketing-automation-synthesis-bot,🤖 Marketing Automation Bot - Synthesis automation and intelligence,Gear,,,,,
iza-os-marketing-core,"📈 Unified Marketing Platform - Campaigns, Content, Analytics, Growth, Attribution",Gear,,,,,
iza-os-mcp,IZA OS: iza-os-mcp,Gear,,,,,
iza-os-ml,IZA OS: iza-os-ml,Gear,,,,,
iza-os-mobile,IZA OS: iza-os-mobile,Gear,,,,,
iza-os-model-training,🎯 Model Training - AI model training pipeline,Gear,,,,,
iza-os-monitoring,IZA OS: iza-os-monitoring,Gear,,,,,
iza-os-monitoring-integration,Monitoring integration platform for billionaire consciousness empire,Gear,,,,,
iza-os-nft-platform,NFT operations platform for billionaire consciousness empire,Gear,,,,,
iza-os-nlp-pipeline,📝 NLP Pipeline - Natural language processing,Gear,,,,,
iza-os-notification-bot,🔔 Notification Bot - Intelligent notification and alerting system,Gear,,,,,
iza-os-operations-analytics-bot,Advanced operations analytics for billionaire consciousness empire,Gear,,,,,
iza-os-operations-automation-bot,Advanced operations automation for billionaire consciousness empire,Gear,,,,,
iza-os-operations-compliance-bot,Advanced operations compliance for billionaire consciousness empire,Gear,,,,,
iza-os-operations-core,"🔧 Unified Operations Platform - Workflows, Integration, Monitoring, Security, Automation",Gear,,,,,
iza-os-operations-integration-bot,Advanced operations integration for billionaire consciousness empire,Gear,,,,,
iza-os-operations-intelligence-bot,Advanced operations intelligence for billionaire consciousness empire,Gear,,,,,
iza-os-operations-monitoring-bot,Advanced operations monitoring for billionaire consciousness empire,Gear,,,,,
iza-os-operations-optimization-bot,Advanced operations optimization for billionaire consciousness empire,Gear,,,,,
iza-os-operations-reporting-bot,Advanced operations reporting for billionaire consciousness empire,Gear,,,,,
iza-os-operations-security-bot,Advanced operations security for billionaire consciousness empire,Gear,,,,,
iza-os-ops,"CI/CD, monitoring, DevOps infrastructure",Gear,,,,,
iza-os-orchestrator,IZA OS: Main orchestration engine,Gear,,,,,
iza-os-platform-core,"🏗️ Unified Platform Infrastructure - Core Systems, APIs, Deployment, Scaling, MCP Integration",Gear,,,,,
iza-os-playgrounds,IZA OS: iza-os-playgrounds,Gear,,,,,
iza-os-predictive-analytics-bot,📊 Predictive Analytics Bot - AI-powered forecasting and predictions,Gear,,,,,
iza-os-predictive-modeling,📈 Predictive Modeling - Future prediction models,Gear,,,,,
iza-os-project-management-alerting-bot,🤖 Project Management Bot - Alerting automation and intelligence,Gear,,,,,
iza-os-project-management-analytics-bot,🤖 Project Management Bot - Analytics automation and intelligence,Gear,,,,,
iza-os-project-management-automation-bot,🤖 Project Management Bot - Automation automation and intelligence,Gear,,,,,
iza-os-project-management-compliance-bot,🤖 Project Management Bot - Compliance automation and intelligence,Gear,,,,,
iza-os-project-management-discovery-bot,🤖 Project Management Bot - Discovery automation and intelligence,Gear,,,,,
iza-os-project-management-integration-bot,🤖 Project Management Bot - Integration automation and intelligence,Gear,,,,,
iza-os-project-management-intelligence-bot,🤖 Project Management Bot - Intelligence automation and intelligence,Gear,,,,,
iza-os-project-management-management-bot,🤖 Project Management Bot - Management automation and intelligence,Gear,,,,,
iza-os-project-management-monitoring-bot,🤖 Project Management Bot - Monitoring automation and intelligence,Gear,,,,,
iza-os-project-management-optimization-bot,🤖 Project Management Bot - Optimization automation and intelligence,Gear,,,,,
iza-os-project-management-orchestration-bot,🤖 Project Management Bot - Orchestration automation and intelligence,Gear,,,,,
iza-os-project-management-processing-bot,🤖 Project Management Bot - Processing automation and intelligence,Gear,,,,,
iza-os-project-management-reporting-bot,🤖 Project Management Bot - Reporting automation and intelligence,Gear,,,,,
iza-os-project-management-security-bot,🤖 Project Management Bot - Security automation and intelligence,Gear,,,,,
iza-os-project-management-synthesis-bot,🤖 Project Management Bot - Synthesis automation and intelligence,Gear,,,,,
iza-os-prompt-engineering,💬 Prompt Engineering - LLM prompt optimization,Gear,,,,,
iza-os-quality-assurance-bot,✅ Quality Assurance Bot - Automated testing and quality control,Gear,,,,,
iza-os-recommendation-engine,🎯 Recommendation Engine - AI recommendations,Gear,,,,,
iza-os-revenue,IZA OS: Revenue tracking and optimization module,Gear,,,,,
iza-os-sales-automation-alerting-bot,🤖 Sales Automation Bot - Alerting automation and intelligence,Gear,,,,,
iza-os-sales-automation-analytics-bot,🤖 Sales Automation Bot - Analytics automation and intelligence,Gear,,,,,
iza-os-sales-automation-automation-bot,🤖 Sales Automation Bot - Automation automation and intelligence,Gear,,,,,
iza-os-sales-automation-compliance-bot,🤖 Sales Automation Bot - Compliance automation and intelligence,Gear,,,,,
iza-os-sales-automation-discovery-bot,🤖 Sales Automation Bot - Discovery automation and intelligence,Gear,,,,,
iza-os-sales-automation-integration-bot,🤖 Sales Automation Bot - Integration automation and intelligence,Gear,,,,,
iza-os-sales-automation-intelligence-bot,🤖 Sales Automation Bot - Intelligence automation and intelligence,Gear,,,,,
iza-os-sales-automation-management-bot,🤖 Sales Automation Bot - Management automation and intelligence,Gear,,,,,
iza-os-sales-automation-monitoring-bot,🤖 Sales Automation Bot - Monitoring automation and intelligence,Gear,,,,,
iza-os-sales-automation-optimization-bot,🤖 Sales Automation Bot - Optimization automation and intelligence,Gear,,,,,
iza-os-sales-automation-orchestration-bot,🤖 Sales Automation Bot - Orchestration automation and intelligence,Gear,,,,,
iza-os-sales-automation-processing-bot,🤖 Sales Automation Bot - Processing automation and intelligence,Gear,,,,,
iza-os-sales-automation-reporting-bot,🤖 Sales Automation Bot - Reporting automation and intelligence,Gear,,,,,
iza-os-sales-automation-security-bot,🤖 Sales Automation Bot - Security automation and intelligence,Gear,,,,,
iza-os-sales-automation-synthesis-bot,🤖 Sales Automation Bot - Synthesis automation and intelligence,Gear,,,,,
iza-os-sales-core,"💰 Unified Sales Platform - Pipeline, CRM, Automation, Performance, Revenue Optimization",Gear,,,,,
iza-os-security,IZA OS: iza-os-security,Gear,,,,,
iza-os-security-compliance-bot,🛡️ Security Compliance Bot - Automated security compliance monitoring,Gear,,,,,
iza-os-semantic-search,🔍 Semantic Search - AI-powered search,Gear,,,,,
iza-os-smart-contracts,Smart contracts platform for billionaire consciousness empire,Gear,,,,,
iza-os-specs,Enhanced AI Orchestrator - The operating system for an autonomous venture studio,Gear,,,,,
iza-os-speech-processing,🎤 Speech Processing - Audio analysis and synthesis,Gear,,,,,
iza-os-templates,IZA OS: iza-os-templates,Gear,,,,,
iza-os-third-party-apis,Third-party APIs platform for billionaire consciousness empire,Gear,,,,,
iza-os-tree-of-life,"Iza OS scaffold — the source of truth for all machines, MCP servers, agents, ventures, and skills",Gear,,,,,
iza-os-vector-database,🔢 Vector Database - Vector storage and retrieval,Gear,,,,,
iza-os-web,IZA OS: iza-os-web,Gear,,,,,
iza-os-web3-integration,Web3 integration platform for billionaire consciousness empire,Gear,,,,,
iza-os-workflow-integration,Workflow integration platform for billionaire consciousness empire,Gear,,,,,
maps,"Ecosystem mapping, cartography system, licensing, and capital management",Gear,,,,,
media-empire-platform,Media and content creation platform for billionaire consciousness empire,Gear,,,,,
mobile-access-manager,Complete mobile optimization system for autonomous venture studio,Gear,,,,,
nexus-ai-enterprise-platform,"Production-ready enterprise AI platform integrating ROMA hierarchical agents, Dria distributed network, and advanced ETL pipelines for Fortune 500 companies. Features microservices architecture, real-time monitoring, enterprise security, and multi-cloud deployment capabilities.",Gear,,,,,
obsidian-vault,"Knowledge base with venture memory, graphs, and documentation",Gear,,,,,
op-001-venture-automation-agency,,Gear,,,,,
op-002-template-marketplace,,Gear,,,,,
op-003-agent-services-hub,,Gear,,,,,
partnership-network-management,Strategic partnerships management for billionaire consciousness empire,Gear,,,,,
quantum-brain-sync-website,Professional website for Quantum Brain Sync - AI research automation package,Gear,,,,,
re-001-property-holdings,"Civilization OS: Real estate + equipment leasing for 749 ventures (SBA 504 loans, property mgmt)",Gear,,,,,
real-estate-empire,Real estate operations platform for billionaire consciousness empire,Gear,,,,,
repo-template,,Gear,,,,,
research-lab-automation,Research and development automation for billionaire consciousness empire,Gear,,,,,
research-processing-pipeline,Advanced research analysis & knowledge management system,Gear,,,,,
revenue-multiplication-system,Revenue optimization system for billionaire consciousness empire,Gear,,,,,
shared-kernels,"Civilization OS shared modules — intake forms, Stripe, auth, Supabase schema, dispatch logic. Every venture imports, never rebuilds.",Gear,,,,,
sovereign-life,Sovereign Life - Complete system organization and agentic ecosystem,Gear,,,,,
staff-001-venture-staffing,"Civilization OS: Staffing + HR + AI agent deployment for 749 ventures (human + AI workers, payroll)",Gear,,,,,
tax-company-2026,Civilization OS Venture: Tax preparation service,Gear,,,,,
unified-dashboard-system,Complete dashboard & monitoring system for autonomous venture studio,Gear,,,,,
up-next-marketplace,ARCHIVED → merged into bw-001-up-next-code,Gear,,,,,
venture-contract-engine,Auto-generate complete contract packages for any Civilization OS venture,Gear,,,,,
venture-studio-core,Venture creation platform for billionaire consciousness empire,Gear,,,,,
ventures,Sector-organized venture database with 800+ ventures across 22 sectors,Gear,,,,,
wealth-optimization-platform,Wealth management platform for billionaire consciousness empire,Gear,,,,,
design-system,,Tool,,,,,
design-team,"Design system, brand guidelines, and 250+ prompts for venture studio",Tool,,,,,
legal-001-ai-boss-holdings,Civilization OS: Parent holding company (AI Boss Holdings LLC) - Owns all 749 ventures,Tool,,,,,
legal-contract-templates,Universal contract templates for all Civilization OS ventures (749+ businesses),Tool,,,,,
bw-001-contracts,ARCHIVED → merged into bw-001-up-next-business,Venture,,,,,
bw-001-up-next-business,"BW-001 Up Next: Client intake, contracts, pricing & project planning",Venture,,,,,
bw-001-up-next-code,"BW-001 Up Next: Monorepo - web app, mobile, backend (Appwrite + Supabase), AI, automation",Venture,,,,,
bw-001-up-next-web,ARCHIVED → merged into bw-001-up-next-code,Venture,,,,,
bw-007-lash-kits---tools,Civilization OS — BW-007-Lash-Kits-&-Tools,Venture,,,,,
con-001-ace-construction,CON-001: Ace Construction - Construction services venture,Venture,,,,,
con-002-residential-construction,,Venture,,,,,
con-003-commercial-construction,,Venture,,,,,
con-004-industrial-construction,,Venture,,,,,
con-005-construction-equipment-rental,,Venture,,,,,
con-006-construction-project-management,,Venture,,,,,
con-007-green-building-services,,Venture,,,,,
con-008-home-renovation-services,,Venture,,,,,
con-009-roofing-company,,Venture,,,,,
con-010-plumbing-services,,Venture,,,,,
con-011-electrical-services,,Venture,,,,,
con-012-hvac-services,,Venture,,,,,
con-013-painting-services,,Venture,,,,,
con-014-flooring-services,,Venture,,,,,
con-015-landscaping-services,,Venture,,,,,
con-016-demolition-services,,Venture,,,,,
con-017-concrete-services,,Venture,,,,,
con-018-carpentry-services,,Venture,,,,,
con-019-window-installation,,Venture,,,,,
con-020-insulation-services,,Venture,,,,,
consciousness-deployment-system,Autonomous deployment system for billionaire consciousness empire,Venture,,,,,
consult-001-venture-consulting,"Civilization OS: Strategy + operations consulting for 749 ventures (growth, M&A, board advisory)",Venture,,,,,
consulting-services-automation,Consulting and advisory automation for billionaire consciousness empire,Venture,,,,,
ec-003-hella-scars,EC-003: Hella Scars - Urban streetwear + edgy fragrances,Venture,,,,,
ec-004-godbody-luxuries,EC-004: GodBody Luxuries - Ultra-premium luxury fragrances,Venture,,,,,
ec-005-nwa-products,"EC-005: NWA Products - General marketplace, all categories",Venture,,,,,
ec-111-tve-fragrance,,Venture,,,,,
education-platform-system,Educational services platform for billionaire consciousness empire,Venture,,,,,
et-003-content,Instructional content and course materials for SkillForge.,Venture,,,,,
et-003-platform,Monorepo for the main SkillForge learning platform (frontend/backend).,Venture,,,,,
fh-014-cloud-kitchen,Civilization OS — FH-014-Cloud-Kitchen-,Venture,,,,,
fh-023-bakery---pastry-shop,Civilization OS — FH-023-Bakery-&-Pastry-Shop,Venture,,,,,
fin-033-legal-toolkit-ai,Civilization OS Venture: AI-powered legal toolkit,Venture,,,,,
ft-001-api-gateway,API gateway for external services to interact with the QuantumLedger.,Venture,,,,,
ft-001-core-ledger,Core decentralized ledger and smart contract code for QuantumLedger.,Venture,,,,,
ft-001-docs,"Documentation, whitepapers, and technical specifications for QuantumLedger.",Venture,,,,,
ht-004-data-api,Secure API for handling sensitive patient data for VitalSense.,Venture,,,,,
ht-004-firmware,Embedded software for the VitalSense wearable device.,Venture,,,,,
ht-004-mobile-app,Mobile application (iOS/Android) for VitalSense data visualization.,Venture,,,,,
mcp-integration-hub,Model Context Protocol servers & integration system,Venture,,,,,
tech-ventures-portfolio,Technology venture portfolio management for billionaire consciousness empire,Venture,,,,,
