repo_name,repo_slug,category,subcategory,assigned_team,language,description,owner
iza-os-hr-onboarding-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR onboarding automation for billionaire consciousness empire,
iza-os-hr-payroll-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR payroll automation for billionaire consciousness empire,
iza-os-hr-performance-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR performance management for billionaire consciousness empire,
iza-os-hr-recruitment-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR recruitment automation for billionaire consciousness empire,
iza-os-hr-training-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR training automation for billionaire consciousness empire,
iza-os-inference-engine,,experimental,research-development,Tech Manager,,⚡ Inference Engine - Fast AI model inference,
iza-os-infrastructure,,other,other,COO,Python,"🏗️ IZA OS Infrastructure - DevOps, deployment, and infrastructure",
iza-os-infrastructure-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,🏗️ Infrastructure Monitoring Bot - Automated system monitoring and alerting,
iza-os-integrations,,infrastructure,platform-infrastructure,Tech Manager,Python,🔗 IZA OS Integrations - Third-party integrations and APIs,
iza-os-intelligence-core,,shared_services,shared-infrastructure,COO,,"🧠 Unified Intelligence Platform - Analytics, Reporting, AI/ML, Insights, Data Science",
iza-os-inventory-management-analytics-bot,,shared_services,shared-infrastructure,COO,TypeScript,🤖 Inventory Management Bot - Analytics automation and intelligence,
iza-os-inventory-management-automation-bot,,shared_services,shared-infrastructure,COO,TypeScript,🤖 Inventory Management Bot - Automation automation and intelligence,
iza-os-inventory-management-compliance-bot,,shared_services,legal-compliance,CFO,TypeScript,🤖 Inventory Management Bot - Compliance automation and intelligence,
iza-os-inventory-management-integration-bot,,shared_services,shared-infrastructure,COO,TypeScript,🤖 Inventory Management Bot - Integration automation and intelligence,
iza-os-inventory-management-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,TypeScript,🤖 Inventory Management Bot - Monitoring automation and intelligence,
iza-os-inventory-management-optimization-bot,,shared_services,shared-infrastructure,COO,TypeScript,🤖 Inventory Management Bot - Optimization automation and intelligence,
iza-os-inventory-management-reporting-bot,,shared_services,shared-infrastructure,COO,TypeScript,🤖 Inventory Management Bot - Reporting automation and intelligence,
iza-os-inventory-management-security-bot,,shared_services,shared-infrastructure,COO,TypeScript,🤖 Inventory Management Bot - Security automation and intelligence,
iza-os-knowledge-graph,,other,other,COO,,🕸️ Knowledge Graph - Entity relationship mapping,
iza-os-legal-core,,shared_services,legal-compliance,CFO,,"⚖️ Unified Legal Platform - Contracts, Compliance, IP, Risk Management, Regulatory Affairs",
iza-os-legal-research-alerting-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Alerting automation and intelligence,
iza-os-legal-research-compliance-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Compliance automation and intelligence,
iza-os-legal-research-discovery-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Discovery automation and intelligence,
iza-os-legal-research-integration-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Integration automation and intelligence,
iza-os-legal-research-intelligence-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Intelligence automation and intelligence,
iza-os-legal-research-management-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Management automation and intelligence,
iza-os-legal-research-optimization-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Optimization automation and intelligence,
iza-os-legal-research-orchestration-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Orchestration automation and intelligence,
iza-os-legal-research-processing-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Processing automation and intelligence,
iza-os-legal-research-reporting-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Reporting automation and intelligence,
iza-os-legal-research-security-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Security automation and intelligence,
iza-os-legal-research-synthesis-bot,,shared_services,legal-compliance,CFO,Python,🤖 Legal Research Bot - Synthesis automation and intelligence,
iza-os-llm-adapter,,experimental,research-development,Tech Manager,,🧠 LLM Adapter - Large language model integration,
iza-os-market,,other,other,COO,Python,IZA OS: iza-os-market,
iza-os-marketing-automation-alerting-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Alerting automation and intelligence,
iza-os-marketing-automation-analytics-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Analytics automation and intelligence,
iza-os-marketing-automation-automation-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Automation automation and intelligence,
iza-os-marketing-automation-campaign-bot,,shared_services,shared-infrastructure,COO,C,Advanced marketing campaign bot for billionaire consciousness empire,
iza-os-marketing-automation-compliance-bot,,shared_services,legal-compliance,CFO,C,🤖 Marketing Automation Bot - Compliance automation and intelligence,
iza-os-marketing-automation-discovery-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Discovery automation and intelligence,
iza-os-marketing-automation-integration-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Integration automation and intelligence,
iza-os-marketing-automation-intelligence-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Intelligence automation and intelligence,
iza-os-marketing-automation-management-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Management automation and intelligence,
iza-os-marketing-automation-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,C,🤖 Marketing Automation Bot - Monitoring automation and intelligence,
iza-os-marketing-automation-optimization-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Optimization automation and intelligence,
iza-os-marketing-automation-orchestration-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Orchestration automation and intelligence,
iza-os-marketing-automation-processing-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Processing automation and intelligence,
iza-os-marketing-automation-reporting-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Reporting automation and intelligence,
iza-os-marketing-automation-synthesis-bot,,shared_services,shared-infrastructure,COO,C,🤖 Marketing Automation Bot - Synthesis automation and intelligence,
iza-os-marketing-core,,other,other,COO,,"📈 Unified Marketing Platform - Campaigns, Content, Analytics, Growth, Attribution",
iza-os-mcp,,infrastructure,platform-infrastructure,Tech Manager,Python,IZA OS: iza-os-mcp,
iza-os-ml,,experimental,research-development,Tech Manager,Python,IZA OS: iza-os-ml,
iza-os-mobile,,other,other,COO,Python,IZA OS: iza-os-mobile,
iza-os-model-training,,experimental,research-development,Tech Manager,,🎯 Model Training - AI model training pipeline,
iza-os-monitoring,,infrastructure,platform-infrastructure,Tech Manager,Python,IZA OS: iza-os-monitoring,
iza-os-monitoring-integration,,infrastructure,platform-infrastructure,Tech Manager,Python,Monitoring integration platform for billionaire consciousness empire,
iza-os-nft-platform,,experimental,research-development,Tech Manager,Python,NFT operations platform for billionaire consciousness empire,
iza-os-nlp-pipeline,,experimental,research-development,Tech Manager,,📝 NLP Pipeline - Natural language processing,
iza-os-notification-bot,,shared_services,shared-infrastructure,COO,Python,🔔 Notification Bot - Intelligent notification and alerting system,
iza-os-operations-analytics-bot,,shared_services,shared-infrastructure,COO,Python,Advanced operations analytics for billionaire consciousness empire,
iza-os-operations-automation-bot,,shared_services,shared-infrastructure,COO,JavaScript,Advanced operations automation for billionaire consciousness empire,
iza-os-operations-compliance-bot,,shared_services,legal-compliance,CFO,Python,Advanced operations compliance for billionaire consciousness empire,
iza-os-operations-core,,other,other,COO,,"🔧 Unified Operations Platform - Workflows, Integration, Monitoring, Security, Automation",
iza-os-operations-integration-bot,,shared_services,shared-infrastructure,COO,Python,Advanced operations integration for billionaire consciousness empire,
iza-os-operations-intelligence-bot,,shared_services,shared-infrastructure,COO,Python,Advanced operations intelligence for billionaire consciousness empire,
iza-os-operations-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,Advanced operations monitoring for billionaire consciousness empire,
iza-os-operations-optimization-bot,,shared_services,shared-infrastructure,COO,Python,Advanced operations optimization for billionaire consciousness empire,
iza-os-operations-reporting-bot,,shared_services,shared-infrastructure,COO,Python,Advanced operations reporting for billionaire consciousness empire,
iza-os-ops,,infrastructure,platform-infrastructure,Tech Manager,Python,"CI/CD, monitoring, DevOps infrastructure",
iza-os-orchestrator,,other,other,COO,Python,IZA OS: Main orchestration engine,
iza-os-platform-core,,infrastructure,platform-infrastructure,Tech Manager,,"🏗️ Unified Platform Infrastructure - Core Systems, APIs, Deployment, Scaling, MCP Integration",
iza-os-playgrounds,,experimental,research-development,Tech Manager,Python,IZA OS: iza-os-playgrounds,
iza-os-predictive-analytics-bot,,shared_services,shared-infrastructure,COO,JavaScript,📊 Predictive Analytics Bot - AI-powered forecasting and predictions,
iza-os-predictive-modeling,,experimental,research-development,Tech Manager,,📈 Predictive Modeling - Future prediction models,
iza-os-project-management-alerting-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Alerting automation and intelligence,
iza-os-project-management-analytics-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Analytics automation and intelligence,
iza-os-project-management-automation-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Automation automation and intelligence,
iza-os-project-management-compliance-bot,,shared_services,legal-compliance,CFO,Python,🤖 Project Management Bot - Compliance automation and intelligence,
iza-os-project-management-discovery-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Discovery automation and intelligence,
iza-os-project-management-integration-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Integration automation and intelligence,
iza-os-project-management-intelligence-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Intelligence automation and intelligence,
iza-os-project-management-management-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Management automation and intelligence,
iza-os-project-management-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,🤖 Project Management Bot - Monitoring automation and intelligence,
iza-os-project-management-optimization-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Optimization automation and intelligence,
iza-os-project-management-orchestration-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Orchestration automation and intelligence,
iza-os-project-management-processing-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Processing automation and intelligence,
iza-os-project-management-reporting-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Reporting automation and intelligence,
iza-os-project-management-security-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Security automation and intelligence,
iza-os-project-management-synthesis-bot,,shared_services,shared-infrastructure,COO,Python,🤖 Project Management Bot - Synthesis automation and intelligence,
iza-os-prompt-engineering,,other,other,COO,,💬 Prompt Engineering - LLM prompt optimization,
iza-os-quality-assurance-bot,,shared_services,shared-infrastructure,COO,Python,✅ Quality Assurance Bot - Automated testing and quality control,
iza-os-rag-system,,experimental,research-development,Tech Manager,Python,📚 RAG System - Retrieval augmented generation,
iza-os-recommendation-engine,,experimental,research-development,Tech Manager,,🎯 Recommendation Engine - AI recommendations,
iza-os-revenue,,other,other,COO,JavaScript,IZA OS: Revenue tracking and optimization module,
iza-os-sales-automation-alerting-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Alerting automation and intelligence,
iza-os-sales-automation-analytics-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Analytics automation and intelligence,
iza-os-sales-automation-automation-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Automation automation and intelligence,
iza-os-sales-automation-compliance-bot,,shared_services,legal-compliance,CFO,C,🤖 Sales Automation Bot - Compliance automation and intelligence,
iza-os-sales-automation-discovery-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Discovery automation and intelligence,
iza-os-sales-automation-integration-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Integration automation and intelligence,
iza-os-sales-automation-intelligence-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Intelligence automation and intelligence,
iza-os-sales-automation-management-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Management automation and intelligence,
iza-os-sales-automation-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,C,🤖 Sales Automation Bot - Monitoring automation and intelligence,
iza-os-sales-automation-optimization-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Optimization automation and intelligence,
iza-os-sales-automation-orchestration-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Orchestration automation and intelligence,
iza-os-sales-automation-processing-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Processing automation and intelligence,
iza-os-sales-automation-reporting-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Reporting automation and intelligence,
iza-os-sales-automation-security-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Security automation and intelligence,
iza-os-sales-automation-synthesis-bot,,shared_services,sales-operations,Sales Head,C,🤖 Sales Automation Bot - Synthesis automation and intelligence,
iza-os-sales-core,,shared_services,sales-operations,Sales Head,,"💰 Unified Sales Platform - Pipeline, CRM, Automation, Performance, Revenue Optimization",
iza-os-security,,other,other,COO,Python,IZA OS: iza-os-security,
iza-os-security-compliance-bot,,shared_services,legal-compliance,CFO,Python,🛡️ Security Compliance Bot - Automated security compliance monitoring,
iza-os-semantic-search,,experimental,research-development,Tech Manager,,🔍 Semantic Search - AI-powered search,
iza-os-smart-contracts,,experimental,research-development,Tech Manager,Python,Smart contracts platform for billionaire consciousness empire,
iza-os-specs,,other,other,COO,Python,Enhanced AI Orchestrator - The operating system for an autonomous venture studio,
iza-os-speech-processing,,experimental,research-development,Tech Manager,,🎤 Speech Processing - Audio analysis and synthesis,
iza-os-templates,,templates,reusable-templates,Tech Manager,Python,IZA OS: iza-os-templates,
iza-os-tree-of-life,,other,other,COO,Python,"Iza OS scaffold — the source of truth for all machines, MCP servers, agents, ventures, and skills",
iza-os-web,,other,other,COO,Python,IZA OS: iza-os-web,
iza-os-web3-integration,,experimental,research-development,Tech Manager,Python,Web3 integration platform for billionaire consciousness empire,
iza-os-workflow-integration,,infrastructure,platform-infrastructure,Tech Manager,Python,Workflow integration platform for billionaire consciousness empire,
legal-001-ai-boss-holdings,,shared_services,legal-compliance,CFO,,Civilization OS: Parent holding company (AI Boss Holdings LLC) - Owns all 749 ventures,
legal-contract-templates,,templates,reusable-templates,Tech Manager,,Universal contract templates for all Civilization OS ventures (749+ businesses),
maps,,other,other,COO,Python,"Ecosystem mapping, cartography system, licensing, and capital management",
mcp-integration-hub,,infrastructure,platform-infrastructure,Tech Manager,Python,Model Context Protocol servers & integration system,
media-empire-platform,,other,other,COO,Python,Media and content creation platform for billionaire consciousness empire,
mobile-access-manager,,other,other,COO,Python,Complete mobile optimization system for autonomous venture studio,
nexus-ai-enterprise-platform,,other,other,COO,Python,"Production-ready enterprise AI platform integrating ROMA hierarchical agents, Dria distributed netwo",
obsidian-vault,,other,other,COO,Python,"Knowledge base with venture memory, graphs, and documentation",
op-001-venture-automation-agency,,other,other,COO,Python,,
op-002-template-marketplace,,templates,reusable-templates,Tech Manager,Python,,
op-003-agent-services-hub,,other,other,COO,Python,,
partnership-network-management,,other,other,COO,Python,Strategic partnerships management for billionaire consciousness empire,
pitch-kit,,other,other,COO,TypeScript,Interactive Demo & Presentation System — Story + Interaction + Live Product + Visual Proof,
quantum-brain-sync-website,,experimental,research-development,Tech Manager,Python,Professional website for Quantum Brain Sync - AI research automation package,
real-estate-empire,,other,other,COO,Python,Real estate operations platform for billionaire consciousness empire,
repo-template,,templates,reusable-templates,Tech Manager,,,
research-lab-automation,,experimental,research-development,Tech Manager,Python,Research and development automation for billionaire consciousness empire,
research-processing-pipeline,,other,other,COO,Python,Advanced research analysis & knowledge management system,
Resume,,other,other,COO,Python,Personal resume,
revenue-multiplication-system,,other,other,COO,Python,Revenue optimization system for billionaire consciousness empire,
shared-kernels,,shared_services,shared-infrastructure,COO,,"Civilization OS shared modules — intake forms, Stripe, auth, Supabase schema, dispatch logic. Every ",
sovereign-life,,other,other,COO,Python,Sovereign Life - Complete system organization and agentic ecosystem,
tax-company-2026,,shared_services,shared-infrastructure,COO,HTML,Civilization OS Venture: Tax preparation service,
the-office,,other,other,COO,TypeScript,,
unified-dashboard-system,,other,other,COO,Python,Complete dashboard & monitoring system for autonomous venture studio,
up-next-marketplace,,other,other,COO,,ARCHIVED → merged into bw-001-up-next-code,
venture-contract-engine,,other,other,COO,Python,Auto-generate complete contract packages for any Civilization OS venture,
venture-factory-core,,other,other,COO,TypeScript,"Corporate architecture, automation scripts, and venture templates",
venture-hub,,other,other,COO,TypeScript,IZA OS Venture Hub - Central command for 687 ventures across 22 sectors,
venture-pipeline,,other,other,COO,Python,Active venture pipeline management with ACTIVE/PIPELINE/EXITED tracking,
venture-studio-core,,other,other,COO,Python,Venture creation platform for billionaire consciousness empire,
ventures,,other,other,COO,Python,Sector-organized venture database with 800+ ventures across 22 sectors,
wealth-optimization-platform,,other,other,COO,Python,Wealth management platform for billionaire consciousness empire,
