venture_id,venture_id_short,name,sector,stage,status,repo_id,health_score,business_model,layer,revenue_ytd,costs_mom,created_at,keywords
TECH-016-Video-Editor-AI,TECH-016,Video Editor Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-016-video-editor-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533061,"TECH-016, Video Editor Ai, technology, technology"
TECH-017-Speech-to-Text-AI,TECH-017,Speech To Text Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-017-speech-to-text-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533137,"TECH-017, Speech To Text Ai, technology, technology"
TECH-018-Text-to-Speech-AI,TECH-018,Text To Speech Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-018-text-to-speech-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533224,"TECH-018, Text To Speech Ai, technology, technology"
TECH-019-Fraud-Prevention-AI,TECH-019,Fraud Prevention Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-019-fraud-prevention-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533303,"TECH-019, Fraud Prevention Ai, technology, technology"
TECH-020-Recommendation-Engine,TECH-020,Recommendation Engine,technology,planned,planned,https://github.com/Worldwidebro/tech-020-recommendation-engine,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533379,"TECH-020, Recommendation Engine, technology, technology"
TECH-021-Network-Security-AI,TECH-021,Network Security Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-021-network-security-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533457,"TECH-021, Network Security Ai, technology, technology"
TECH-022-Database-Optimizer,TECH-022,Database Optimizer,technology,planned,planned,https://github.com/Worldwidebro/tech-022-database-optimizer,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533531,"TECH-022, Database Optimizer, technology, technology"
TECH-023-AI-Testing-Platform,TECH-023,Ai Testing Platform,technology,planned,planned,https://github.com/Worldwidebro/tech-023-ai-testing-platform,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533609,"TECH-023, Ai Testing Platform, technology, technology"
TECH-024-Virtual-Assistant-Builder,TECH-024,Virtual Assistant Builder,technology,planned,planned,https://github.com/Worldwidebro/tech-024-virtual-assistant-builder,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533748,"TECH-024, Virtual Assistant Builder, technology, technology"
TECH-025-Machine-Learning-Builder,TECH-025,Machine Learning Builder,technology,planned,planned,https://github.com/Worldwidebro/tech-025-machine-learning-builder,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.533979,"TECH-025, Machine Learning Builder, technology, technology"
TECH-026-AI-Ethics-Auditor,TECH-026,Ai Ethics Auditor,technology,planned,planned,https://github.com/Worldwidebro/tech-026-ai-ethics-auditor,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.534766,"TECH-026, Ai Ethics Auditor, technology, technology"
TECH-027-Predictive-Analytics-AI,TECH-027,Predictive Analytics Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-027-predictive-analytics-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.534866,"TECH-027, Predictive Analytics Ai, technology, technology"
TECH-028-AI-Training-Platform,TECH-028,Ai Training Platform,technology,planned,planned,https://github.com/Worldwidebro/tech-028-ai-training-platform,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.534963,"TECH-028, Ai Training Platform, technology, technology"
TECH-029-Digital-Twin-AI,TECH-029,Digital Twin Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-029-digital-twin-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535083,"TECH-029, Digital Twin Ai, technology, technology"
TECH-030-AI-Monitoring-System,TECH-030,Ai Monitoring System,technology,planned,planned,https://github.com/Worldwidebro/tech-030-ai-monitoring-system,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535175,"TECH-030, Ai Monitoring System, technology, technology"
TECH-031-Edge-Computing-AI,TECH-031,Edge Computing Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-031-edge-computing-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535255,"TECH-031, Edge Computing Ai, technology, technology"
TECH-032-AI-Integration-Hub,TECH-032,Ai Integration Hub,technology,planned,planned,https://github.com/Worldwidebro/tech-032-ai-integration-hub,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535334,"TECH-032, Ai Integration Hub, technology, technology"
TECH-033-Quantum-Algorithm-AI,TECH-033,Quantum Algorithm Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-033-quantum-algorithm-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535408,"TECH-033, Quantum Algorithm Ai, technology, technology"
TECH-034-AI-Compliance-Scanner,TECH-034,Ai Compliance Scanner,technology,planned,planned,https://github.com/Worldwidebro/tech-034-ai-compliance-scanner,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535484,"TECH-034, Ai Compliance Scanner, technology, technology"
TECH-035-Cloud-Management-AI,TECH-035,Cloud Management Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-035-cloud-management-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535569,"TECH-035, Cloud Management Ai, technology, technology"
TECH-036-Robotics-Training-AI,TECH-036,Robotics Training Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-036-robotics-training-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535648,"TECH-036, Robotics Training Ai, technology, technology"
TECH-037-Customer-Insights-AI,TECH-037,Customer Insights Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-037-customer-insights-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535724,"TECH-037, Customer Insights Ai, technology, technology"
TECH-038-Voice-Assistant-AI,TECH-038,Voice Assistant Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-038-voice-assistant-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535805,"TECH-038, Voice Assistant Ai, technology, technology"
TECH-039-Blockchain-Verifier-AI,TECH-039,Blockchain Verifier Ai,technology,validation,validation,https://github.com/Worldwidebro/tech-039-blockchain-verifier-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535913,"TECH-039, Blockchain Verifier Ai, technology, technology"
TECH-040-Cybersecurity-Shield,TECH-040,Cybersecurity Shield,technology,planned,planned,https://github.com/Worldwidebro/tech-040-cybersecurity-shield,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.535987,"TECH-040, Cybersecurity Shield, technology, technology"
TECH-041-Content-Studio-AI,TECH-041,Content Studio Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-041-content-studio-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536062,"TECH-041, Content Studio Ai, technology, technology"
TECH-042-Smart-Home-AI,TECH-042,Smart Home Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-042-smart-home-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536135,"TECH-042, Smart Home Ai, technology, technology"
TECH-043-Supply-Chain-Optimizer,TECH-043,Supply Chain Optimizer,technology,planned,planned,https://github.com/Worldwidebro/tech-043-supply-chain-optimizer,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536208,"TECH-043, Supply Chain Optimizer, technology, technology"
TECH-044-Data-Visualization-AI,TECH-044,Data Visualization Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-044-data-visualization-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536278,"TECH-044, Data Visualization Ai, technology, technology"
TECH-045-Workflow-Automation,TECH-045,Workflow Automation,technology,planned,planned,https://github.com/Worldwidebro/tech-045-workflow-automation,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536347,"TECH-045, Workflow Automation, technology, technology"
TECH-046-Sentiment-Analyzer,TECH-046,Sentiment Analyzer,technology,planned,planned,https://github.com/Worldwidebro/tech-046-sentiment-analyzer,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536414,"TECH-046, Sentiment Analyzer, technology, technology"
TECH-047-Image-Recognition-AI,TECH-047,Image Recognition Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-047-image-recognition-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536482,"TECH-047, Image Recognition Ai, technology, technology"
TECH-048-Video-Editor-AI,TECH-048,Video Editor Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-048-video-editor-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536552,"TECH-048, Video Editor Ai, technology, technology"
TECH-049-Speech-to-Text-AI,TECH-049,Speech To Text Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-049-speech-to-text-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536621,"TECH-049, Speech To Text Ai, technology, technology"
TECH-050-Text-to-Speech-AI,TECH-050,Text To Speech Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-050-text-to-speech-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536689,"TECH-050, Text To Speech Ai, technology, technology"
TECH-051-Fraud-Prevention-AI,TECH-051,Fraud Prevention Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-051-fraud-prevention-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536764,"TECH-051, Fraud Prevention Ai, technology, technology"
TECH-052-Recommendation-Engine,TECH-052,Recommendation Engine,technology,planned,planned,https://github.com/Worldwidebro/tech-052-recommendation-engine,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536839,"TECH-052, Recommendation Engine, technology, technology"
TECH-053-Network-Security-AI,TECH-053,Network Security Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-053-network-security-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536916,"TECH-053, Network Security Ai, technology, technology"
TECH-054-Database-Optimizer,TECH-054,Database Optimizer,technology,planned,planned,https://github.com/Worldwidebro/tech-054-database-optimizer,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.536992,"TECH-054, Database Optimizer, technology, technology"
TECH-055-AI-Testing-Platform,TECH-055,Ai Testing Platform,technology,planned,planned,https://github.com/Worldwidebro/tech-055-ai-testing-platform,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537070,"TECH-055, Ai Testing Platform, technology, technology"
TECH-056-Virtual-Assistant-Builder,TECH-056,Virtual Assistant Builder,technology,planned,planned,https://github.com/Worldwidebro/tech-056-virtual-assistant-builder,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537284,"TECH-056, Virtual Assistant Builder, technology, technology"
TECH-057-Machine-Learning-Builder,TECH-057,Machine Learning Builder,technology,planned,planned,https://github.com/Worldwidebro/tech-057-machine-learning-builder,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537405,"TECH-057, Machine Learning Builder, technology, technology"
TECH-058-AI-Ethics-Auditor,TECH-058,Ai Ethics Auditor,technology,planned,planned,https://github.com/Worldwidebro/tech-058-ai-ethics-auditor,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537472,"TECH-058, Ai Ethics Auditor, technology, technology"
TECH-059-Predictive-Analytics-AI,TECH-059,Predictive Analytics Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-059-predictive-analytics-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537545,"TECH-059, Predictive Analytics Ai, technology, technology"
TECH-060-AI-Training-Platform,TECH-060,Ai Training Platform,technology,planned,planned,https://github.com/Worldwidebro/tech-060-ai-training-platform,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537613,"TECH-060, Ai Training Platform, technology, technology"
TECH-061-TECH-VENTURES-PORTFOLIO,TECH-061,Tech Ventures Portfolio,technology,mvp,development,https://github.com/Worldwidebro/tech-ventures-portfolio,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.537772,"TECH-061, Tech Ventures Portfolio, technology, technology"
