repo_name,repo_slug,is_private,category,admin_owner,write_access,read_access,ventures_served
bw-032-stylist-booking-platform,,yes,aligned-venture,COO,COO,sector-team,
bw-033-ai-hairstyle-simulator,,yes,aligned-venture,COO,COO,sector-team,
bw-034-salon-franchise-chain,,yes,aligned-venture,COO,COO,sector-team,
bw-035-makeup-studio,,yes,aligned-venture,COO,COO,sector-team,
bw-036-bridal-makeup-service,,yes,aligned-venture,COO,COO,sector-team,
bw-037-mobile-makeup-artist,,yes,aligned-venture,COO,COO,sector-team,
bw-038-photoshoot-makeup-team,,yes,aligned-venture,COO,COO,sector-team,
bw-039-cosmetics-brand,,yes,aligned-venture,COO,COO,sector-team,
bw-040-beauty-tools-brand,,yes,aligned-venture,COO,COO,sector-team,
capital-orchestrator,,yes,aligned-venture,COO,COO,sector-team,
civilization-os-infra,,yes,aligned-venture,COO,COO,sector-team,
comm-001-luminary-worldwide-events,,yes,aligned-venture,COO,COO,sector-team,
comm-002-brotherhood-coaching-network,,yes,aligned-venture,COO,COO,sector-team,
comm-003-ace-senior-care-connect,,yes,aligned-venture,COO,COO,sector-team,
comm-004-community-outreach-nonprofit,,yes,aligned-venture,COO,COO,sector-team,
comm-005-ace-food-security-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-006-community-technology-access-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-007-youth-leadership-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-008-community-fundraising-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-009-volunteer-hub-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-010-disaster-relief-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-011-indigenous-creator-hub,,yes,aligned-venture,COO,COO,sector-team,
comm-012-black-art-museum-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-013-women-s-empowerment-network,,yes,aligned-venture,COO,COO,sector-team,
comm-014-veterans-support-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-015-youth-mentorship-program,,yes,aligned-venture,COO,COO,sector-team,
comm-016-community-health-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-017-local-business-directory,,yes,aligned-venture,COO,COO,sector-team,
comm-018-neighborhood-watch-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-019-community-garden-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-020-public-transportation-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-021-housing-assistance-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-022-job-training-center,,yes,aligned-venture,COO,COO,sector-team,
comm-023-elder-companion-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-024-youth-sports-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-025-community-legal-aid,,yes,aligned-venture,COO,COO,sector-team,
comm-026-public-education-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-027-local-government-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-028-public-safety-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-029-community-wellness-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-030-cultural-exchange-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-031-community-investment-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-032-public-health-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-033-youth-innovation-hub,,yes,aligned-venture,COO,COO,sector-team,
comm-034-senior-tech-support,,yes,aligned-venture,COO,COO,sector-team,
comm-035-community-arts-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-036-public-infrastructure-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-037-neighborhood-development-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-038-community-policing-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-039-public-space-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-040-community-recycling-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-041-public-wi-fi-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-042-community-energy-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-043-local-food-network-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-044-community-volunteering-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-045-public-childcare-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-046-community-pet-care-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-047-public-fitness-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-048-community-transportation-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-049-public-event-ai,,yes,aligned-venture,COO,COO,sector-team,
comm-050-community-cultural-ai,,yes,aligned-venture,COO,COO,sector-team,
con-001-ace-construction,,yes,aligned-venture,COO,COO,sector-team,
con-002-residential-construction,,yes,aligned-venture,COO,COO,sector-team,
con-003-commercial-construction,,yes,aligned-venture,COO,COO,sector-team,
con-004-industrial-construction,,yes,aligned-venture,COO,COO,sector-team,
con-005-construction-equipment-rental,,yes,aligned-venture,COO,COO,sector-team,
con-006-construction-project-management,,yes,aligned-venture,COO,COO,sector-team,
con-007-green-building-services,,yes,aligned-venture,COO,COO,sector-team,
con-008-home-renovation-services,,yes,aligned-venture,COO,COO,sector-team,
con-009-roofing-company,,yes,aligned-venture,COO,COO,sector-team,
con-010-plumbing-services,,yes,aligned-venture,COO,COO,sector-team,
con-011-electrical-services,,yes,aligned-venture,COO,COO,sector-team,
con-012-hvac-services,,yes,aligned-venture,COO,COO,sector-team,
con-013-painting-services,,yes,aligned-venture,COO,COO,sector-team,
con-014-flooring-services,,yes,aligned-venture,COO,COO,sector-team,
con-015-landscaping-services,,yes,aligned-venture,COO,COO,sector-team,
con-016-demolition-services,,yes,aligned-venture,COO,COO,sector-team,
con-017-concrete-services,,yes,aligned-venture,COO,COO,sector-team,
con-018-carpentry-services,,yes,aligned-venture,COO,COO,sector-team,
con-019-window-installation,,yes,aligned-venture,COO,COO,sector-team,
con-020-insulation-services,,yes,aligned-venture,COO,COO,sector-team,
divine-johns-portfolio,,yes,aligned-venture,COO,COO,sector-team,
ec-001-angels-in-daylight,,yes,aligned-venture,COO,COO,sector-team,
ec-002-new-world-apparel,,yes,aligned-venture,COO,COO,sector-team,
ec-003-hella-scars,,yes,aligned-venture,COO,COO,sector-team,
ec-003-shopify-autopilot,,yes,aligned-venture,COO,COO,sector-team,
ec-004-godbody-luxuries,,yes,aligned-venture,COO,COO,sector-team,
ec-004-shoe-customizer,,yes,aligned-venture,COO,COO,sector-team,
ec-005-nwa-products,,yes,aligned-venture,COO,COO,sector-team,
ec-005-sunglasses-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-006-dropship-hub,,yes,aligned-venture,COO,COO,sector-team,
ec-007-personal-shopper-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-008-custom-sneaker-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-009-sustainable-fashion-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-010-jewelry-designer-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-011-virtual-try-on-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-012-fashion-designer-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-013-merch-licensing,,yes,aligned-venture,COO,COO,sector-team,
ec-014-subscription-box-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-015-surf-gear-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-016-ski-gear-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-017-golf-gear-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-018-fishing-gear-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-019-yoga-gear-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-020-costume-shop-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-021-luggage-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-022-home-appliance-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-023-tool-shop-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-024-garden-supply-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-025-collectible-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-026-hobby-shop-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-027-kids-toy-line,,yes,aligned-venture,COO,COO,sector-team,
ec-028-nft-fashion-licensing,,yes,aligned-venture,COO,COO,sector-team,
ec-029-instant-brand-generator,,yes,aligned-venture,COO,COO,sector-team,
ec-030-ai-product-photographer,,yes,aligned-venture,COO,COO,sector-team,
ec-031-automated-inventory-forecaster,,yes,aligned-venture,COO,COO,sector-team,
ec-032-dynamic-pricing-engine,,yes,aligned-venture,COO,COO,sector-team,
ec-033-ad-optimizer-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-034-recommendation-engine,,yes,aligned-venture,COO,COO,sector-team,
ec-035-review-aggregator-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-036-fulfillment-network-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-037-return-optimization-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-038-chatbot-customer-service,,yes,aligned-venture,COO,COO,sector-team,
ec-039-visual-search-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-040-abandoned-cart-recovery,,yes,aligned-venture,COO,COO,sector-team,
ec-041-seasonal-trend-predictor,,yes,aligned-venture,COO,COO,sector-team,
ec-042-influencer-matchmaker,,yes,aligned-venture,COO,COO,sector-team,
ec-043-ugc-content-aggregator,,yes,aligned-venture,COO,COO,sector-team,
ec-044-live-commerce-platform,,yes,aligned-venture,COO,COO,sector-team,
ec-045-ar-virtual-fitting-room,,yes,aligned-venture,COO,COO,sector-team,
ec-046-3d-product-viewer,,yes,aligned-venture,COO,COO,sector-team,
ec-047-carbon-footprint-tracker,,yes,aligned-venture,COO,COO,sector-team,
ec-048-wholesale-marketplace-ai,,yes,aligned-venture,COO,COO,sector-team,
ec-049-rental-marketplace,,yes,aligned-venture,COO,COO,sector-team,
ec-050-ai-product-descriptions,,yes,aligned-venture,COO,COO,sector-team,
ec-051-ai-email-marketing,,yes,aligned-venture,COO,COO,sector-team,
ec-052-ai-product-bundler,,yes,aligned-venture,COO,COO,sector-team,
ec-053-ai-visual-merchandiser,,yes,aligned-venture,COO,COO,sector-team,
ec-054-ai-demand-forecasting,,yes,aligned-venture,COO,COO,sector-team,
ec-055-ai-warehouse-management,,yes,aligned-venture,COO,COO,sector-team,
ec-056-ai-supplier-matching,,yes,aligned-venture,COO,COO,sector-team,
ec-057-ai-quality-control,,yes,aligned-venture,COO,COO,sector-team,
ec-058-ai-packaging-designer,,yes,aligned-venture,COO,COO,sector-team,
ec-059-ai-logistics-planner,,yes,aligned-venture,COO,COO,sector-team,
ec-060-ai-customer-loyalty,,yes,aligned-venture,COO,COO,sector-team,
ec-061-ai-gift-finder,,yes,aligned-venture,COO,COO,sector-team,
ec-062-ai-trend-hunter,,yes,aligned-venture,COO,COO,sector-team,
ec-063-ai-market-research,,yes,aligned-venture,COO,COO,sector-team,
ec-064-ai-competitor-watcher,,yes,aligned-venture,COO,COO,sector-team,
ec-065-ai-product-development,,yes,aligned-venture,COO,COO,sector-team,
ec-066-ai-customer-journey,,yes,aligned-venture,COO,COO,sector-team,
ec-067-ai-payment-optimization,,yes,aligned-venture,COO,COO,sector-team,
ec-068-ai-returns-management,,yes,aligned-venture,COO,COO,sector-team,
ec-069-ai-shipping-labeler,,yes,aligned-venture,COO,COO,sector-team,
ec-070-ai-product-launch-coach,,yes,aligned-venture,COO,COO,sector-team,
ec-071-ai-vendor-negotiator,,yes,aligned-venture,COO,COO,sector-team,
ec-072-ai-product-cataloger,,yes,aligned-venture,COO,COO,sector-team,
ec-073-ai-order-prioritizer,,yes,aligned-venture,COO,COO,sector-team,
ec-074-ai-customer-segmentation,,yes,aligned-venture,COO,COO,sector-team,
ec-075-ai-pricing-analyst,,yes,aligned-venture,COO,COO,sector-team,
ec-076-ai-sales-forecasting,,yes,aligned-venture,COO,COO,sector-team,
ec-077-ai-inventory-reordering,,yes,aligned-venture,COO,COO,sector-team,
ec-078-ai-product-comparison,,yes,aligned-venture,COO,COO,sector-team,
ec-079-ai-customer-feedback,,yes,aligned-venture,COO,COO,sector-team,
ec-080-ai-product-updates,,yes,aligned-venture,COO,COO,sector-team,
ec-081-ai-cross-selling,,yes,aligned-venture,COO,COO,sector-team,
ec-082-ai-up-selling,,yes,aligned-venture,COO,COO,sector-team,
ec-083-ai-product-education,,yes,aligned-venture,COO,COO,sector-team,
ec-084-ai-purchase-timing,,yes,aligned-venture,COO,COO,sector-team,
ec-085-ai-customer-support,,yes,aligned-venture,COO,COO,sector-team,
ec-086-ai-order-tracking,,yes,aligned-venture,COO,COO,sector-team,
ec-087-ai-product-reviews,,yes,aligned-venture,COO,COO,sector-team,
ec-088-ai-customer-community,,yes,aligned-venture,COO,COO,sector-team,
ec-089-ai-product-customization,,yes,aligned-venture,COO,COO,sector-team,
ec-090-ai-gift-registry,,yes,aligned-venture,COO,COO,sector-team,
ec-091-ai-wedding-registry,,yes,aligned-venture,COO,COO,sector-team,
ec-092-ai-baby-registry,,yes,aligned-venture,COO,COO,sector-team,
ec-093-ai-holiday-planner,,yes,aligned-venture,COO,COO,sector-team,
ec-094-ai-personal-shopper,,yes,aligned-venture,COO,COO,sector-team,
ec-095-ai-color-match,,yes,aligned-venture,COO,COO,sector-team,
ec-096-ai-fabric-advisor,,yes,aligned-venture,COO,COO,sector-team,
ec-097-ai-fit-recommendation,,yes,aligned-venture,COO,COO,sector-team,
ec-098-ai-outfit-builder,,yes,aligned-venture,COO,COO,sector-team,
ec-099-ai-seasonal-forecast,,yes,aligned-venture,COO,COO,sector-team,
ec-100-ai-wardrobe-planner,,yes,aligned-venture,COO,COO,sector-team,
ec-101-ai-accessory-match,,yes,aligned-venture,COO,COO,sector-team,
ec-102-ai-shoe-match,,yes,aligned-venture,COO,COO,sector-team,
ec-103-ai-jewelry-match,,yes,aligned-venture,COO,COO,sector-team,
ec-104-ai-bag-match,,yes,aligned-venture,COO,COO,sector-team,
ec-105-ai-color-palette,,yes,aligned-venture,COO,COO,sector-team,
ec-106-ai-outfit-recycling,,yes,aligned-venture,COO,COO,sector-team,
ec-107-ai-style-evolution,,yes,aligned-venture,COO,COO,sector-team,
ec-108-ai-budget-stylist,,yes,aligned-venture,COO,COO,sector-team,
ec-109-ai-trend-archive,,yes,aligned-venture,COO,COO,sector-team,
ec-110-ai-vintage-advisor,,yes,aligned-venture,COO,COO,sector-team,
edu-001-youth-entrepreneurship-curriculum,,yes,aligned-venture,COO,COO,sector-team,
edu-002-ai-literacy-program,,yes,aligned-venture,COO,COO,sector-team,
edu-003-coding-mentor-certification,,yes,aligned-venture,COO,COO,sector-team,
edu-004-real-estate-licensing-prep,,yes,aligned-venture,COO,COO,sector-team,
edu-005-coding-bootcamp,,yes,aligned-venture,COO,COO,sector-team,
edu-006-homeschooling-content-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-007-ai-tutoring-platform,,yes,aligned-venture,COO,COO,sector-team,
edu-008-branding-templates-marketplace,,yes,aligned-venture,COO,COO,sector-team,
edu-009-voiceover-script-library,,yes,aligned-venture,COO,COO,sector-team,
edu-010-trade-skills-bootcamp,,yes,aligned-venture,COO,COO,sector-team,
edu-011-franchise-blueprint-system,,yes,aligned-venture,COO,COO,sector-team,
edu-012-low-income-housing-blueprint,,yes,aligned-venture,COO,COO,sector-team,
edu-013-automated-empire-book,,yes,aligned-venture,COO,COO,sector-team,
edu-014-bipoc-creator-incubator,,yes,aligned-venture,COO,COO,sector-team,
edu-015-ai-legal-doc-generator,,yes,aligned-venture,COO,COO,sector-team,
edu-016-virtual-black-art-museum,,yes,aligned-venture,COO,COO,sector-team,
edu-017-ai-coding-tutor,,yes,aligned-venture,COO,COO,sector-team,
edu-018-online-course-creator,,yes,aligned-venture,COO,COO,sector-team,
edu-019-executive-education-program,,yes,aligned-venture,COO,COO,sector-team,
edu-020-youth-stem-program,,yes,aligned-venture,COO,COO,sector-team,
edu-021-remote-work-certification,,yes,aligned-venture,COO,COO,sector-team,
edu-022-ai-research-assistant,,yes,aligned-venture,COO,COO,sector-team,
edu-023-personal-finance-coach,,yes,aligned-venture,COO,COO,sector-team,
edu-024-language-learning-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-025-test-preparation-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-026-corporate-training-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-027-medical-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-028-legal-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-029-music-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-030-art-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-031-physical-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-032-environmental-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-033-social-studies-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-034-math-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-035-science-education-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-036-reading-comprehension-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-037-writing-instruction-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-038-critical-thinking-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-039-emotional-intelligence-ai,,yes,aligned-venture,COO,COO,sector-team,
edu-040-time-management-ai,,yes,aligned-venture,COO,COO,sector-team,
em-001-space-habitat-ai,,yes,aligned-venture,COO,COO,sector-team,
em-002-fusion-energy-ai,,yes,aligned-venture,COO,COO,sector-team,
em-003-teleportation-research-ai,,yes,aligned-venture,COO,COO,sector-team,
em-004-climate-solutions-ai,,yes,aligned-venture,COO,COO,sector-team,
em-005-holographic-events-ai,,yes,aligned-venture,COO,COO,sector-team,
em-006-neurofeedback-ai,,yes,aligned-venture,COO,COO,sector-team,
em-007-autonomous-delivery-ai,,yes,aligned-venture,COO,COO,sector-team,
em-008-gene-editing-ai,,yes,aligned-venture,COO,COO,sector-team,
em-009-space-tourism-ai,,yes,aligned-venture,COO,COO,sector-team,
em-010-wearables-ai,,yes,aligned-venture,COO,COO,sector-team,
em-011-metaverse-hub-ai,,yes,aligned-venture,COO,COO,sector-team,
em-012-energy-grid-ai,,yes,aligned-venture,COO,COO,sector-team,
em-013-brain-computer-interface,,yes,aligned-venture,COO,COO,sector-team,
em-014-ocean-cleanup-ai,,yes,aligned-venture,COO,COO,sector-team,
em-015-crypto-trading-ai,,yes,aligned-venture,COO,COO,sector-team,
em-016-synthetic-media-ai,,yes,aligned-venture,COO,COO,sector-team,
em-017-space-mining-ai,,yes,aligned-venture,COO,COO,sector-team,
em-018-vr-therapy-ai,,yes,aligned-venture,COO,COO,sector-team,
em-019-weather-prediction-ai,,yes,aligned-venture,COO,COO,sector-team,
em-020-autonomous-farming-ai,,yes,aligned-venture,COO,COO,sector-team,
em-021-traffic-optimizer-ai,,yes,aligned-venture,COO,COO,sector-team,
em-022-smart-grid-ai,,yes,aligned-venture,COO,COO,sector-team,
em-023-disaster-prediction-ai,,yes,aligned-venture,COO,COO,sector-team,
em-024-nanotech-ai,,yes,aligned-venture,COO,COO,sector-team,
em-025-personalized-medicine-ai,,yes,aligned-venture,COO,COO,sector-team,
em-026-ai-diagnostic-lab,,yes,aligned-venture,COO,COO,sector-team,
em-027-sustainable-cities-ai,,yes,aligned-venture,COO,COO,sector-team,
em-028-renewable-energy-ai,,yes,aligned-venture,COO,COO,sector-team,
em-029-climate-modeling-ai,,yes,aligned-venture,COO,COO,sector-team,
em-030-policy-advisor-ai,,yes,aligned-venture,COO,COO,sector-team,
em-031-governance-hub-ai,,yes,aligned-venture,COO,COO,sector-team,
em-032-global-challenges-ai,,yes,aligned-venture,COO,COO,sector-team,
em-033-space-exploration-ai,,yes,aligned-venture,COO,COO,sector-team,
em-034-education-equity-ai,,yes,aligned-venture,COO,COO,sector-team,
em-035-health-equity-ai,,yes,aligned-venture,COO,COO,sector-team,
em-036-economic-equity-ai,,yes,aligned-venture,COO,COO,sector-team,
em-037-environmental-justice-ai,,yes,aligned-venture,COO,COO,sector-team,
em-038-human-rights-ai,,yes,aligned-venture,COO,COO,sector-team,
em-039-peacebuilding-ai,,yes,aligned-venture,COO,COO,sector-team,
em-040-telemedicine-ai,,yes,aligned-venture,COO,COO,sector-team,
em-041-ai-climate-adaptation,,yes,aligned-venture,COO,COO,sector-team,
em-042-space-agriculture-ai,,yes,aligned-venture,COO,COO,sector-team,
em-043-quantum-communication-ai,,yes,aligned-venture,COO,COO,sector-team,
em-044-robotics-surgery-ai,,yes,aligned-venture,COO,COO,sector-team,
em-045-ai-disaster-response,,yes,aligned-venture,COO,COO,sector-team,
em-046-smart-city-governance,,yes,aligned-venture,COO,COO,sector-team,
em-047-ai-environmental-monitoring,,yes,aligned-venture,COO,COO,sector-team,
em-048-space-manufacturing-ai,,yes,aligned-venture,COO,COO,sector-team,
em-049-ai-ocean-exploration,,yes,aligned-venture,COO,COO,sector-team,
em-050-ai-archaeology,,yes,aligned-venture,COO,COO,sector-team,
et-001-online-tutoring-platform,,yes,aligned-venture,COO,COO,sector-team,
et-002-language-learning-app,,yes,aligned-venture,COO,COO,sector-team,
et-003-content,,yes,aligned-venture,COO,COO,sector-team,
et-003-platform,,yes,aligned-venture,COO,COO,sector-team,
et-003-test-prep-service,,yes,aligned-venture,COO,COO,sector-team,
et-004-coding-bootcamp,,yes,aligned-venture,COO,COO,sector-team,
et-005-professional-certification,,yes,aligned-venture,COO,COO,sector-team,
et-006-corporate-training,,yes,aligned-venture,COO,COO,sector-team,
et-007-skills-assessment-platform,,yes,aligned-venture,COO,COO,sector-team,
et-008-career-coaching,,yes,aligned-venture,COO,COO,sector-team,
et-009-resume-writing-service,,yes,aligned-venture,COO,COO,sector-team,
et-010-interview-prep-platform,,yes,aligned-venture,COO,COO,sector-team,
et-011-mentorship-platform,,yes,aligned-venture,COO,COO,sector-team,
et-012-educational-content-library,,yes,aligned-venture,COO,COO,sector-team,
et-013-vr-training-simulations,,yes,aligned-venture,COO,COO,sector-team,
et-014-gamified-learning-app,,yes,aligned-venture,COO,COO,sector-team,
et-015-homeschool-curriculum,,yes,aligned-venture,COO,COO,sector-team,
fh-001-personal-chef-service,,yes,aligned-venture,COO,COO,sector-team,
fh-002-meal-prep-delivery,,yes,aligned-venture,COO,COO,sector-team,
fh-003-private-dinner-experiences,,yes,aligned-venture,COO,COO,sector-team,
fh-004-catering-company,,yes,aligned-venture,COO,COO,sector-team,
fh-005-corporate-lunch-service,,yes,aligned-venture,COO,COO,sector-team,
fh-006-healthy-meal-prep-for-gyms,,yes,aligned-venture,COO,COO,sector-team,
fh-007-elderly-meal-service,,yes,aligned-venture,COO,COO,sector-team,
fh-008-athlete-nutrition-service,,yes,aligned-venture,COO,COO,sector-team,
fh-009-packaged-food-brand,,yes,aligned-venture,COO,COO,sector-team,
fh-010-frozen-meals-company,,yes,aligned-venture,COO,COO,sector-team,
fh-011-sauce-or-seasoning-brand,,yes,aligned-venture,COO,COO,sector-team,
fh-012-protein-snacks-brand,,yes,aligned-venture,COO,COO,sector-team,
fh-013-meal-kit-company,,yes,aligned-venture,COO,COO,sector-team,
fh-014-cloud-kitchen,,yes,aligned-venture,COO,COO,sector-team,
fh-014-cloud-kitchen-,,yes,aligned-venture,COO,COO,sector-team,
fh-015-ai-nutrition-planner,,yes,aligned-venture,COO,COO,sector-team,
fh-016-recipe-app,,yes,aligned-venture,COO,COO,sector-team,
fh-017-cooking-content-brand,,yes,aligned-venture,COO,COO,sector-team,
fh-018-food-influencer-brand,,yes,aligned-venture,COO,COO,sector-team,
fh-019-cooking-course-platform,,yes,aligned-venture,COO,COO,sector-team,
fh-020-restaurant-pos-system,,yes,aligned-venture,COO,COO,sector-team,
fh-021-food-truck-business,,yes,aligned-venture,COO,COO,sector-team,
fh-022-specialty-coffee-shop,,yes,aligned-venture,COO,COO,sector-team,
fh-023-bakery---pastry-shop,,yes,aligned-venture,COO,COO,sector-team,
fh-024-juice-bar,,yes,aligned-venture,COO,COO,sector-team,
fh-025-ice-cream-shop,,yes,aligned-venture,COO,COO,sector-team,
fh-026-gourmet-food-market,,yes,aligned-venture,COO,COO,sector-team,
fh-027-food-delivery-platform,,yes,aligned-venture,COO,COO,sector-team,
fh-028-restaurant-management-saas,,yes,aligned-venture,COO,COO,sector-team,
fh-029-food-quality-testing-lab,,yes,aligned-venture,COO,COO,sector-team,
fh-030-organic-food-brand,,yes,aligned-venture,COO,COO,sector-team,
fh-031-vegan-food-company,,yes,aligned-venture,COO,COO,sector-team,
