Repository Name,Category,Purpose,Capabilities,Dependencies,Tech Stack,Reusability Score (1-10),Revenue Potential,Strategic Value,Related Ventures,Related Repos,Notes
Chroma,Core Platform,"Vector database for embeddings and semantic search","Vector storage, Semantic search, Similarity queries, Embedding management, Filtering","OpenAI API, PostgreSQL optional, Vector index libraries","Python, TypeScript",9,"$500K-2M/year (white-label vector SaaS)","Powers memory layer for all AI ventures, enables RAG","EDU-013, CON-001, CON-011, FIN-001, All AI ventures","LangChain, LangGraph, OpenAI SDK, PostgreSQL","Vector storage foundation"
Claude API,Core Platform,"LLM inference and function calling via Anthropic","Text generation, Vision analysis, Function calling, Batch processing, Token counting","Internet connection, Anthropic account","REST API, Python/JS SDKs",10,"$0 (pay-per-token, $100K+ at scale)","Core decision engine for all ventures","All 712 ventures (potentially)","LangGraph, LangChain, OpenAI SDK","Primary LLM engine"
LightRAG,Core Platform,"Semantic indexing and knowledge graph extraction","Entity extraction, Relationship mapping, Semantic search, Knowledge graph building, Reasoning","LLMs, Vector store, Graph database","Python",8,"$500K-2M/year (enterprise knowledge platform)","Powers semantic understanding across ventures, enables knowledge graphs","EDU-013, CON-001, All knowledge-heavy ventures","Chroma, LangGraph, Neo4j, Supabase","Semantic understanding layer"
OpenAI Python SDK,Core Platform,"Official Python client for OpenAI API","Chat completion, Embeddings, Vision, Function calling, Streaming","OpenAI API key, Internet connection","Python, TypeScript",9,"$0 (pay-per-token usage)","Enables LLM integration for all ventures","All 712 ventures (potentially)","LangChain, Claude API SDK, Anthropic SDK","LLM integration library"
HuggingFace Transformers,Core Platform,"Pre-trained NLP and ML model library","Model loading, Fine-tuning, Inference, Tokenization, Pipeline utilities","Python, CUDA optional, HF Hub access","Python, PyTorch, TensorFlow",8,"$200K-1M/year (as embedded capability)","Enables ML/NLP capabilities without large models","EDU-013, FIN-001, All ML ventures","PyTorch, TensorFlow, Datasets","ML/NLP foundation"
PyTorch,Core Platform,"Machine learning framework","Tensor computation, Auto-differentiation, GPU acceleration, Distributed training, Inference","Python, CUDA, cuDNN optional","C++, Python, CUDA",8,"$500K-2M/year (as embedded capability)","Powers ML training and inference","EDU-013, FIN-001, All ML ventures","HF Transformers, ONNX, CUDA","ML computation foundation"
n8n,Automation,"Low-code workflow automation and integration platform","Workflow definition, 400+ integrations, Schedule triggers, Webhooks, Error handling","Node.js, PostgreSQL, Redis optional","TypeScript, Node.js, PostgreSQL",9,"$500K-3M/year (automation agency or white-label)","Automates customer onboarding, operations, integrations","CON-001, CON-006, EDU-013, FIN-001, All operational ventures","Temporal, BullMQ, Supabase, Webhook services","Workflow automation foundation"
Temporal,Automation,"Temporal Workflow Engine for distributed systems","Workflow orchestration, Durable execution, Retry logic, Saga pattern, State management","gRPC, Temporal cluster, Database","Go, TypeScript",8,"$200K-800K/year (managed Temporal Cloud)","Powers long-running workflows and sagas","All ventures needing complex workflows","n8n, Kubernetes, Supabase","Durable workflow execution"
Stripe,Shared Service,"Payment processing and billing platform","Payment processing, Subscription management, Invoicing, Refunds, Reporting","Internet connection, Stripe account, Webhook setup","REST API, Python/JS/Go SDKs",9,"$0 (2.9% + $0.30 per transaction)","Enables revenue capture for all product ventures","All product/revenue ventures (100+)","Supabase, n8n, Vercel","Payment processing"
Resend,Shared Service,"Transactional email service for developers","Email sending, Template management, Attachments, Webhooks, Deliverability","SMTP or API, DNS verification","REST API, Python/JS/Go SDKs",8,"$25-200/month per venture","Enables customer communication for all ventures","CON-011, CON-012, EDU-013, All product ventures","n8n, Supabase, Vercel","Email delivery service"
construction-content-topics.csv,Dataset,"CSV dataset of construction video topics and content ideas","Content ideation, Topic listing, Format recommendations, Channel mapping, CTA suggestions","Excel/Google Sheets, CSV parser","CSV, JSON",7,"$50K-150K/year (as content asset)","Powers content atomization for construction ventures","CON-001 through CON-015, EDU-013","YouTube Scripts, Content Engine, n8n","Content reference data"
ventures-master.csv,Dataset,"Master CSV inventory of all 712 ventures with metadata","Venture lookup, Sector classification, Status tracking, Team assignment, Metrics reference","Excel/Google Sheets, CSV parser, Supabase import","CSV, JSON",10,"$0 (internal reference)","Single source of truth for all venture definitions","All 712 ventures","VENTURE-HANDLE-MAP.json, Supabase ventures table","Venture master list"
con-011-electrical-services,Product,"Lead generation website for electrical contracting services","Contact form, Service portfolio, Project gallery, Lead capture, Email routing","Supabase, Resend, Vercel, Cloudflare","HTML, CSS, JavaScript",5,"$42K-84K/month (direct service revenue)","Launches construction ecosystem, proves template for 14 other trades","CON-001, CON-009, CON-010, CON-012, CON-013, CON-014, CON-015","rebrand-con-trade.js, Supabase, Vercel, Resend, Cloudflare","Live revenue product"
Next.js,Framework,"React framework for production web applications","Server-side rendering, Static generation, API routes, Image optimization, Middleware","React, Node.js, Webpack, TypeScript","TypeScript, Node.js, React",9,"$200K-1M/year (as embedded SaaS capability)","Powers web frontends for 100+ ventures","EDU-013, CON-011, CON-012, All web ventures","React, Tailwind, Vercel","Web application framework"
React,Library,"UI library for building interactive interfaces","Component composition, State management, Hooks, Event handling, Conditional rendering","JavaScript, NPM, Bundlers","TypeScript, JavaScript, JSX",9,"$0 (open source)","Enables interactive UIs for all web ventures","All web ventures (200+)","Next.js, Redux, Tailwind, Cypress","UI rendering library"
Tailwind CSS,Library,"Utility-first CSS framework","Component styling, Responsive design, Dark mode, Customization, PurgeCSS","Node.js, PostCSS, Webpack/Vite","CSS, JavaScript, PostCSS",8,"$0 (open source, $99/year Pro)","Enables rapid UI development for all ventures","All web ventures (200+)","Next.js, React, Figma","CSS utility framework"
LangChain,Library,"Framework for building LLM applications","LLM integration, Prompting, Memory, Tool use, Chains, Retrievers","LLM APIs, Vector stores, Databases","Python, TypeScript",9,"$0 (open source, LangSmith $50K+)","Enables LLM integration patterns","All AI ventures (300+)","OpenAI SDK, Chroma, LangGraph","LLM application framework"
Anthropic SDK,Library,"Official Python/JavaScript client for Claude API","Chat completion, Vision, Batch processing, Streaming, Function calling","Claude API key, Internet connection","Python, TypeScript, JavaScript",9,"$0 (pay-per-token usage)","Enables Claude integration for all ventures","All 712 ventures (potentially)","LangChain, LangGraph, OpenAI SDK","Claude integration library"
Cypress,Tool,"End-to-end testing framework for web applications","Visual testing, Interaction testing, API mocking, Debugging, Parallel execution","Node.js, Browsers, Web servers","TypeScript, JavaScript, Node.js",7,"$0 (open source, Cypress Cloud $500/month+)","Enables E2E testing for all web ventures","All web ventures (200+)","Next.js, React, GitHub Actions, Docker","E2E testing tool"
GitHub Actions,Tool,"CI/CD automation platform built into GitHub","Workflow triggers, Testing, Linting, Building, Deploying, Artifact storage","GitHub, git, Shell scripts","YAML, Shell, Node.js",8,"$0 (free 2000 min/month, $0.008/min after)","Enables automated testing and deployment","All ventures using GitHub (700+)","Docker, Vercel, npm, AWS","CI/CD automation"
rebrand-con-trade.js,Tool,"Script to auto-generate construction venture websites from template","Branding generation, HTML templating, Configuration application, File replacement","Node.js, Template repository","Node.js, JavaScript, HTML/CSS",7,"$0 (internal tool)","Enables rapid replication of website template for 14 construction trades","CON-001 through CON-015","Node.js, con-011-electrical-services, Vercel","Construction site generator"
populate_venture_knowledge_graph.py,Tool,"Python script to ingest ventures into knowledge graph database","Entity extraction, Relationship creation, Batch import, Risk inference, Supabase sync","Supabase, Python, CSV files","Python, Supabase SDK, Pandas",8,"$0 (internal tool)","Powers venture knowledge graph population","All 712 ventures","Supabase, obsidian_graph_sync.py, DuckDB","Venture graph ingestion"
obsidian_graph_sync.py,Tool,"Python script to export knowledge graph to Obsidian JSON","Graph export, Dataview rendering, Alignment reporting, JSON generation","Supabase, Obsidian, Python, JSON","Python, Supabase SDK, JSON",7,"$0 (internal tool)","Enables Obsidian dashboard for venture visibility","All 712 ventures","Supabase, populate_venture_knowledge_graph.py, Obsidian","Graph export tool"
Neo4j,Core Platform,"Graph database for relationship queries and semantic search","Entity storage, Relationship querying, Cypher language, Graph algorithms, Full-text search","Java runtime, Network access","Java, Cypher, APOC",7,"$300K-1M/year (Enterprise Graph)","Powers knowledge graph queries for ventures","All knowledge-heavy ventures (100+)","LightRAG, Supabase, Chroma, Graphify","Graph database"
Graphify,Tool,"Venture graph visualization and navigation system","Graph visualization, Relationship mapping, Venture discovery, Network analysis","Neo4j, JavaScript visualization libs, Supabase","JavaScript, D3.js, Neo4j driver",8,"$100K-300K/year (as white-label graph product)","Visualizes venture and repo relationships","All ventures needing topology visibility","Neo4j, Supabase, LightRAG","Graph visualization tool"
YouTube Scripts,Workflow,"Collection of scripts for YouTube video production and publishing","Video concept generation, Script formatting, Upload automation, Analytics tracking","YouTube API, Python, Storage","Python, YAML, Shell, YouTube API",6,"$200K-1M/year (as content asset licensing)","Powers Worldwidebro Academy video production","EDU-013, EDU-006, All educational ventures","YouTube API, n8n, ffmpeg","Content production workflow"
Azriel Content,Dataset,"Content dataset and teaching materials for age-7 homeschooling","Teaching guides, Lesson plans, Video concepts, Activity ideas, Assessment tools","Markdown, PDF, Google Docs","Markdown, PDF, YAML",5,"$50K-200K/year (as curriculum asset)","Enables structured homeschooling approach","EDU-013, Family learning ventures","Teaching guides, YouTube Scripts","Homeschool curriculum reference"
MDN Web Docs,Learning,"Mozilla Developer Network web development documentation","HTML/CSS/JavaScript reference, Web APIs, Best practices, Examples, Tutorials","Web browser, Internet access","HTML, CSS, JavaScript, Markdown",9,"$0 (open source, sponsored)","Reference material for all web developers","All web ventures (200+)","HTML, CSS, JavaScript, React","Web development reference"
GitHub,Shared Service,"Git repository hosting and version control platform","Repository storage, Pull requests, Issues, Actions CI/CD, Collaboration features","Git, Internet connection, GitHub account","Git, YAML, Markdown, REST API",10,"$0 (free, $21/month Pro, $231/month Enterprise)","Hosts code for all ventures, enables collaboration","All 712 ventures","Git, GitHub Actions, Vercel, Docker","Code hosting foundation"
npm,Shared Service,"JavaScript package manager and registry","Package publishing, Dependency management, Version control, Script running","Node.js, Internet connection, npm account","JavaScript, JSON, Node.js",10,"$0 (free, $7/month Pro)","Package distribution for all JS ventures","All JavaScript ventures (400+)","Node.js, GitHub, Vercel, yarn","JS package manager"
PyPI,Shared Service,"Python Package Index for Python packages","Package publishing, Dependency installation, Version management, Metadata","Python, pip, Internet connection, PyPI account","Python, setuptools, TOML",9,"$0 (free)","Package distribution for all Python ventures","All Python ventures (300+)","Python, GitHub, pip","Python package manager"
Obsidian,Tool,"Personal knowledge management and note-taking app","Markdown editing, Backlink navigation, Graph visualization, Plugin system, Sync","Desktop app, Markdown files, Optional sync","TypeScript, Electron, Node.js",7,"$48-240/year (app is free, sync is $48/year)","Enables personal knowledge management for ventures","All ventures (knowledge workers)","Markdown, Dataview plugin, populate_venture_knowledge_graph.py","Knowledge management tool"
Make.com,Automation,"Low-code no-code automation and integration platform","Workflow scenarios, 1000+ app integrations, Scheduling, Error handling, Monitoring","Apps with APIs, Make account, Webhooks","REST APIs, Zapier-like visual builder",8,"$100-1K/month per workflow","Alternative to n8n for lighter automation","Smaller ventures, non-technical teams","n8n, Zapier, Supabase, Google Workspace","Visual automation builder"
Slack API,Shared Service,"Slack messaging platform and developer API","Message sending, Notifications, Interactive buttons, File uploads, Webhook routing","Slack workspace, API key, Internet connection","REST API, Python/JS/Go SDKs, Webhooks",9,"$0 (Slack is $10-15/user/month)","Enables team communication for all ventures","All ventures (team communication)","n8n, GitHub Actions, Supabase webhooks","Team communication platform"
Google Workspace,Shared Service,"Google suite for business (Docs, Sheets, Calendar, Gmail)","Document collaboration, Spreadsheet analysis, Email, Calendar management, Forms","Google account, Internet connection, GCP optional","Google Apps Script, REST API, YAML",8,"$6-18/user/month","Enables documentation and collaboration for all ventures","All 712 ventures (essential)","Gmail integration, Slack API, Make.com","Business productivity suite"
Figma,Tool,"Design and prototyping tool for UI/UX","Component design, Prototyping, Collaboration, Design systems, Hand-off to dev","Web browser, Figma account, internet","TypeScript, WebGL, cloud services",7,"$12-80/month per user","Enables UI design for web/app ventures","All product ventures (200+)","Next.js, React, Tailwind, Storybook","Design system tool"
Vercel CLI,Tool,"Command-line tool for Vercel deployment and development","Local development, Deployment, Environment management, Secrets management","Node.js, npm, Vercel account","Node.js, TypeScript, Shell",6,"$0 (free, included with Vercel)","Enables local dev workflow for Vercel projects","All Vercel-hosted ventures (500+)","Node.js, npm, Next.js, Vercel","Deployment CLI tool"
OpenAI Embeddings,Service,"Embedding API for text-to-vector conversion","Text embedding, Semantic similarity, Dimensionality reduction, Token counting, Batch processing","OpenAI API key, Internet connection, Payment account","REST API, Python/JS/Go SDKs",9,"Pay-per-token (~$0.02/1K tokens)","Powers semantic search for all AI ventures","All AI ventures (300+)","OpenAI SDK, Chroma, LangChain","Embedding service"
Pinecone,Core Platform,"Managed vector database and serverless search","Vector indexing, Semantic search, Filtering, Namespacing, Scaling, Analytics","Pinecone account, API key, Internet connection","REST API, Python/JS/Go SDKs",7,"$0-500/month (pay-per-use)","Alternative vector store to Chroma (enterprise option)","Enterprise AI ventures (50+)","OpenAI Embeddings, LangChain, Pinecone SDK","Enterprise vector SaaS"
Weaviate,Core Platform,"Open-source vector database with search","Vector storage, Semantic search, Schema management, CRUD API, Hybrid search","Docker or cloud hosting, API client","Go, TypeScript, Python, SPARQL",7,"$0 (open source, cloud $1K+/month)","Alternative vector store (open source option)","Self-hosted ventures (50+)","Docker, OpenAI Embeddings, LangChain","Open-source vector DB"
