Repository Name,Purpose,Category,Stage1_Demand,Stage1_Why,Stage2_Sales,Stage2_Why,Stage3_Fulfillment,Stage3_Why,Stage4_Founder_Removal,Stage4_Why,Stage5_Reinvestment,Stage5_Why
LightRAG,"Semantic indexing and knowledge graph extraction",Core Platform,2,"Not for lead gen",4,"Sales knowledge extraction",5,"Process documentation",8,"Team learns from knowledge graph",6,"Learns which strategies work"
OpenAI Python SDK,"Official Python client for OpenAI API",Core Platform,5,"OpenAI-powered lead qualification",7,"OpenAI-powered qualification",7,"Automate operations",8,"Autonomous decisions",6,"Analytics optimization"
HuggingFace Transformers,"Pre-trained NLP and ML model library",Core Platform,4,"NLP for lead categorization",6,"NLP for lead intent detection",5,"NLP for operations",5,"NLP removes manual categorization",4,"Limited to prediction"
PyTorch,"Machine learning framework",Core Platform,3,"Could build ML lead scorer",5,"Could build ML qualification model",4,"ML operations automation",4,"ML decision automation",5,"Optimize campaigns with ML"
n8n,"Low-code workflow automation and integration platform",Automation,9,"Consolidate leads from 5+ sources, aggregate data",8,"Auto-follow-up sequences, lead nurture",9,"Automate handoffs, status updates, no manual work",8,"Automate 80% of repeatable tasks",8,"Automate lead source testing, channel optimization"
Temporal,"Temporal Workflow Engine for distributed systems",Automation,4,"Could orchestrate lead capture",6,"Complex multi-step sales workflows",9,"Orchestrates complex fulfillment workflows",8,"Long-running autonomous workflows",6,"Can orchestrate optimization experiments"
Stripe,"Payment processing and billing platform",Shared Service,2,"Doesn't generate leads",3,"Enables deal closure (minimal impact on conversion)",7,"Revenue capture, no founder work",5,"Automatic billing, no founder work",8,"Revenue data for ROI analysis"
Resend,"Transactional email service for developers",Shared Service,6,"Automated first follow-up emails",9,"Reliable customer communication, follow-up sequences",6,"Transactional emails scale automatically",5,"Automated emails, no founder work",4,"Limited analytics"
construction-content-topics.csv,"CSV dataset of construction video topics and content ideas",Dataset,9,"Content marketing drives organic leads",5,"Content establishes authority, helps sales",3,"Content doesn't scale fulfillment",2,"Not for founder removal",2,"No analytics value"
ventures-master.csv,"Master CSV inventory of all 712 ventures with metadata",Dataset,2,"Reference data only",2,"Reference data only",3,"Reference data only",4,"Reference data only",8,"Master reference for analysis"
con-011-electrical-services,"Lead generation website for electrical contracting services",Product,8,"Live revenue product, lead capture",7,"Website is sales channel",6,"Operational execution of service",3,"Founder-dependent execution",7,"Revenue data from actual service"
Next.js,"React framework for production web applications",Framework,7,"Website deployment, lead forms",6,"Website performance for conversion",6,"Scales web delivery",4,"Framework doesn't remove decisions",5,"Web app for analytics"
React,"UI library for building interactive interfaces",Library,6,"Interactive lead forms",6,"Interactive sales dashboards",5,"Interactive operational dashboards",5,"Interactive team tools",5,"Interactive analytics dashboards"
Tailwind CSS,"Utility-first CSS framework",Library,5,"Fast website styling",5,"Professional sales site styling",5,"Scales UI without founder",3,"Styling doesn't remove decisions",3,"Styling doesn't add analytics"
LangChain,"Framework for building LLM applications",Library,6,"Could power LLM lead qualification",8,"LLM-powered sales automation",7,"LLM for process automation",8,"LLM removes manual tasks",6,"LLM could optimize spend"
Anthropic SDK,"Official Python/JavaScript client for Claude API",Library,5,"Claude-powered lead scoring",8,"Claude qualification automation",8,"Claude operational automation",9,"Claude removes founder decisions",7,"Claude optimization analysis"
Cypress,"End-to-end testing framework for web applications",Tool,1,"Testing doesn't generate leads",1,"Testing doesn't convert",2,"Testing doesn't scale delivery",2,"Testing doesn't remove decisions",2,"Testing doesn't analyze"
GitHub Actions,"CI/CD automation platform built into GitHub",Tool,2,"Not lead gen",2,"Not sales",7,"Automated deployment without founder",6,"Team sees deployments, reduces founder involvement",4,"Could track deployment costs"
rebrand-con-trade.js,"Script to auto-generate construction venture websites from template",Tool,8,"Rapid site creation, quick launch",6,"Website for lead capture",4,"Template-based, not scalable operations",2,"Not for founder removal",2,"No analytics"
populate_venture_knowledge_graph.py,"Python script to ingest ventures into knowledge graph database",Tool,2,"Internal infrastructure",2,"Internal infrastructure",2,"Internal infrastructure",5,"Helps team understand system",6,"Central data for analysis"
obsidian_graph_sync.py,"Python script to export knowledge graph to Obsidian JSON",Tool,1,"Internal tool",1,"Internal tool",2,"Operational visibility",5,"Team sees system state",6,"Enables analysis from knowledge"
Neo4j,"Graph database for relationship queries and semantic search",Core Platform,3,"Could find related leads",4,"Could find related customers",5,"Relationship-based operations",7,"Team self-serve relationship queries",6,"Relationship-based analysis"
Graphify,"Venture graph visualization and navigation system",Tool,1,"Internal visualization",2,"Internal visualization",3,"Operational visibility",6,"Team self-serve navigation",7,"Visualize business relationships and ROI"
YouTube Scripts,"Collection of scripts for YouTube video production and publishing",Workflow,10,"YouTube drives organic leads (construction, education)",5,"Authority establishes sales credibility",2,"Doesn't scale service delivery",1,"Content doesn't remove founder decisions",5,"Track lead source from videos"
Azriel Content,"Content dataset and teaching materials for age-7 homeschooling",Dataset,8,"Homeschool content drives education leads",3,"Content is credibility, minor sales impact",2,"Doesn't scale delivery",1,"Founder-dependent teaching",2,"Limited analytics"
MDN Web Docs,"Mozilla Developer Network web development documentation",Learning,0,"Reference only",0,"Reference only",1,"Reference only",1,"Reference only",1,"Reference only"
GitHub,"Git repository hosting and version control platform",Shared Service,2,"Not for leads",2,"Not for sales",7,"Teams collaborate without founder bottleneck",8,"Team coordination, reduces founder",6,"Data for deployment/commit analytics"
npm,"JavaScript package manager and registry",Shared Service,2,"Not leads",2,"Not sales",3,"Deployment dependency",2,"Not for decisions",1,"No analytics"
PyPI,"Python Package Index for Python packages",Shared Service,2,"Not leads",2,"Not sales",2,"Dependency management",1,"Not for decisions",1,"No analytics"
Obsidian,"Personal knowledge management and note-taking app",Tool,0,"Personal tool",0,"Personal tool",3,"Process documentation shared with team",7,"Team uses wiki, founder not bottleneck",5,"Can aggregate insights from notes"
Make.com,"Low-code no-code automation and integration platform",Automation,8,"1000+ integrations for lead consolidation",7,"Automation sequences, lighter than n8n",7,"Automate workflows",7,"Automate repeatable tasks",7,"Automate channel testing"
Slack API,"Slack messaging platform and developer API",Shared Service,4,"Notifications of new leads",6,"Team communication during sales",7,"Async coordination without founder",8,"Team communication, founder not needed",5,"Alerts for business metrics"
Google Workspace,"Google suite for business (Docs, Sheets, Calendar, Gmail)","Shared Service",4,"Gmail for lead follow-up",5,"Sheets for pipeline tracking",5,"Docs for process documentation",6,"Team uses Docs, doesn't ask founder",7,"Sheets for business analysis"
Figma,"Design and prototyping tool for UI/UX",Tool,5,"Design website for leads",7,"Design professional sales materials",6,"Design operational dashboards",3,"Design doesn't remove founder",3,"Design doesn't analyze"
Vercel CLI,"Command-line tool for Vercel deployment and development",Tool,1,"Dev tool",1,"Dev tool",2,"Speeds local development",2,"Speeds deployment",1,"No analytics"
OpenAI Embeddings,"Embedding API for text-to-vector conversion",Service,5,"Could embed leads for semantic search",6,"Could match leads to customers",6,"Embeddings for operations",7,"Autonomous semantic decisions",6,"Could cluster spending by effectiveness"
