venture_number,venture_id,venture_name,canonical_sector_id,canonical_sector_name,opco_id,executive_division,business_archetype,portfolio_horizon,development_stage,github_repo_url,live_front_door_url
20,FIN-020,Debt Consolidation Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-020-debt-consolidation-ai,https://worldwidebro.github.io/debt-consolidation-ai/
21,FIN-021,Tax Deduction Finder,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-021-tax-deduction-finder,https://worldwidebro.github.io/tax-deduction-finder/
22,FIN-022,Budget Forecasting Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-022-budget-forecasting-ai,https://worldwidebro.github.io/budget-forecasting-ai/
23,FIN-023,Investment Portfolio Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-023-investment-portfolio-ai,https://worldwidebro.github.io/investment-portfolio-ai/
24,FIN-024,Crowdfunding Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-024-crowdfunding-ai,https://worldwidebro.github.io/crowdfunding-ai/
25,FIN-025,Escrow Automation,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-025-escrow-automation,https://worldwidebro.github.io/escrow-automation/
26,FIN-026,Financial Compliance Scanner,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-026-financial-compliance-scanner,https://worldwidebro.github.io/financial-compliance-scanner/
27,FIN-027,Patent Writer Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-027-patent-writer-ai,https://worldwidebro.github.io/patent-writer-ai/
28,FIN-028,Legal Analyzer Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-028-legal-analyzer-ai,https://worldwidebro.github.io/legal-analyzer-ai/
29,FIN-029,Compliance Wallet Saas,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-029-compliance-wallet-saas,https://worldwidebro.github.io/compliance-wallet-saas/
30,FIN-030,Local Seo Ranker Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-030-local-seo-ranker-ai,https://worldwidebro.github.io/local-seo-ranker-ai/
31,FIN-031,Investor Dashboard Builder,SEC-002,Construction & Infrastructure,OpCo-002,10. Assets & Investments,Asset-Backed Moat (Physical Ops),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-031-investor-dashboard-builder,https://worldwidebro.github.io/investor-dashboard-builder/
32,FIN-032,Legal Toolkit Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-032-legal-toolkit-ai,https://worldwidebro.github.io/legal-toolkit-ai/
33,FIN-033,Ai Tax Preparation Service,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service,https://worldwidebro.github.io/ai-tax-preparation-service/
34,FIN-034,Payroll Automation,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-034-payroll-automation,https://worldwidebro.github.io/payroll-automation/
35,FIN-035,Insurance Underwriting Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-035-insurance-underwriting-ai,https://worldwidebro.github.io/insurance-underwriting-ai/
36,FIN-036,Arbitrage Nexus Platform,SEC-037,Capital & Quantitative Trading,OpCo-030,02. Finance & Capital,Infrastructure Core (Platforms & AI),H2: Fast-Follow Feeders,growth,https://github.com/Worldwidebro/fin-036-arbitrage-nexus-platform,https://worldwidebro.github.io/arbitrage-nexus-platform/
37,BW-001,Lash Extension Studio,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-001-lash-extension-studio,https://worldwidebro.github.io/lash-extension-studio/
38,BW-002,Mobile Lash Service,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-002-mobile-lash-service,https://worldwidebro.github.io/mobile-lash-service/
39,BW-003,Luxury Lash Bar,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-003-luxury-lash-bar,https://worldwidebro.github.io/luxury-lash-bar/
40,BW-004,Lash Training Academy,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-004-lash-training-academy,https://worldwidebro.github.io/lash-training-academy/
41,BW-005,Lash Supply Company,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-005-lash-supply-company,https://worldwidebro.github.io/lash-supply-company/
42,BW-006,Lash Glue Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-006-lash-glue-brand,https://worldwidebro.github.io/lash-glue-brand/
43,V-0043,Lash Kits & Tools,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/zquestz/s,https://worldwidebro.github.io/lash-kits-and-tools/
44,BW-008,Private Label Lashes,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-008-private-label-lashes,https://worldwidebro.github.io/private-label-lashes/
45,BW-009,Franchise Lash Salons,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-009-franchise-lash-salons,https://worldwidebro.github.io/franchise-lash-salons/
46,BW-010,Online Lash Education,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-010-online-lash-education,https://worldwidebro.github.io/online-lash-education/
47,BW-011,Nail Salon,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-011-nail-salon,https://worldwidebro.github.io/nail-salon/
48,BW-012,Mobile Nail Tech,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-012-mobile-nail-tech,https://worldwidebro.github.io/mobile-nail-tech/
49,BW-013,Luxury Nail Spa,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-013-luxury-nail-spa,https://worldwidebro.github.io/luxury-nail-spa/
50,BW-014,Press On Nail Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-014-press-on-nail-brand,https://worldwidebro.github.io/press-on-nail-brand/
51,BW-015,Nail Art Studio,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-015-nail-art-studio,https://worldwidebro.github.io/nail-art-studio/
52,BW-016,Nail Polish Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-016-nail-polish-brand,https://worldwidebro.github.io/nail-polish-brand/
53,BW-017,Nail Care Products,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-017-nail-care-products,https://worldwidebro.github.io/nail-care-products/
54,BW-018,Nail Booking Marketplace,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-018-nail-booking-marketplace,https://worldwidebro.github.io/nail-booking-marketplace/
55,BW-019,Salon Management Software,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-019-salon-management-software,https://worldwidebro.github.io/salon-management-software/
56,BW-020,Ai Nail Design Generator,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-020-ai-nail-design-generator,https://worldwidebro.github.io/ai-nail-design-generator/
57,BW-021,Hair Salon,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-021-hair-salon,https://worldwidebro.github.io/hair-salon/
58,BW-022,Barbershop,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-022-barbershop,https://worldwidebro.github.io/barbershop/
59,BW-023,Mobile Hairstyling,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-023-mobile-hairstyling,https://worldwidebro.github.io/mobile-hairstyling/
60,BW-024,Hair Braiding Studio,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-024-hair-braiding-studio,https://worldwidebro.github.io/hair-braiding-studio/
61,BW-025,Wig Installation Studio,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-025-wig-installation-studio,https://worldwidebro.github.io/wig-installation-studio/
62,BW-026,Hair Extension Salon,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-026-hair-extension-salon,https://worldwidebro.github.io/hair-extension-salon/
63,BW-027,Hair Care Line,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-027-hair-care-line,https://worldwidebro.github.io/hair-care-line/
64,BW-028,Wig Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-028-wig-brand,https://worldwidebro.github.io/wig-brand/
65,BW-029,Hair Extensions Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-029-hair-extensions-brand,https://worldwidebro.github.io/hair-extensions-brand/
66,BW-030,Scalp Treatment Products,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-030-scalp-treatment-products,https://worldwidebro.github.io/scalp-treatment-products/
67,BW-031,Hair Marketplace,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-031-hair-marketplace,https://worldwidebro.github.io/hair-marketplace/
68,BW-032,Stylist Booking Platform,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-032-stylist-booking-platform,https://worldwidebro.github.io/stylist-booking-platform/
69,BW-033,Ai Hairstyle Simulator,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-033-ai-hairstyle-simulator,https://worldwidebro.github.io/ai-hairstyle-simulator/
70,BW-034,Salon Franchise Chain,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/bw-034-salon-franchise-chain,https://worldwidebro.github.io/salon-franchise-chain/
71,BW-035,Makeup Studio,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-035-makeup-studio,https://worldwidebro.github.io/makeup-studio/
72,BW-036,Bridal Makeup Service,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-036-bridal-makeup-service,https://worldwidebro.github.io/bridal-makeup-service/
73,BW-037,Mobile Makeup Artist,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-037-mobile-makeup-artist,https://worldwidebro.github.io/mobile-makeup-artist/
74,BW-038,Photoshoot Makeup Team,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/bw-038-photoshoot-makeup-team,https://worldwidebro.github.io/photoshoot-makeup-team/
75,BW-039,Cosmetics Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-039-cosmetics-brand,https://worldwidebro.github.io/cosmetics-brand/
76,BW-040,Beauty Tools Brand,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/bw-040-beauty-tools-brand,https://worldwidebro.github.io/beauty-tools-brand/
77,FH-001,Personal Chef Service,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-001-personal-chef-service,https://worldwidebro.github.io/personal-chef-service/
78,FH-002,Meal Prep Delivery,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-002-meal-prep-delivery,https://worldwidebro.github.io/meal-prep-delivery/
79,FH-003,Private Dinner Experiences,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-003-private-dinner-experiences,https://worldwidebro.github.io/private-dinner-experiences/
80,FH-004,Catering Company,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-004-catering-company,https://worldwidebro.github.io/catering-company/
81,FH-005,Corporate Lunch Service,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-005-corporate-lunch-service,https://worldwidebro.github.io/corporate-lunch-service/
82,FH-006,Healthy Meal Prep For Gyms,SEC-012,Healthcare & Biotechnology,OpCo-012,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-006-healthy-meal-prep-for-gyms,https://worldwidebro.github.io/healthy-meal-prep-for-gyms/
83,FH-007,Elderly Meal Service,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-007-elderly-meal-service,https://worldwidebro.github.io/elderly-meal-service/
84,FH-008,Athlete Nutrition Service,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-008-athlete-nutrition-service,https://worldwidebro.github.io/athlete-nutrition-service/
85,FH-009,Packaged Food Brand,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-009-packaged-food-brand,https://worldwidebro.github.io/packaged-food-brand/
86,FH-010,Frozen Meals Company,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-010-frozen-meals-company,https://worldwidebro.github.io/frozen-meals-company/
87,FH-011,Sauce Or Seasoning Brand,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-011-sauce-or-seasoning-brand,https://worldwidebro.github.io/sauce-or-seasoning-brand/
88,FH-012,Protein Snacks Brand,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-012-protein-snacks-brand,https://worldwidebro.github.io/protein-snacks-brand/
89,FH-013,Meal Kit Company,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-013-meal-kit-company,https://worldwidebro.github.io/meal-kit-company/
90,FH-014,Cloud Kitchen,SEC-010,Food Service & Restaurants,OpCo-010,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fh-014-cloud-kitchen-,https://worldwidebro.github.io/cloud-kitchen-/
91,FH-015,Ai Nutrition Planner,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fh-015-ai-nutrition-planner,https://worldwidebro.github.io/ai-nutrition-planner/
92,FH-016,Recipe App,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-016-recipe-app,https://worldwidebro.github.io/recipe-app/
93,FH-017,Cooking Content Brand,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-017-cooking-content-brand,https://worldwidebro.github.io/cooking-content-brand/
94,FH-018,Food Influencer Brand,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-018-food-influencer-brand,https://worldwidebro.github.io/food-influencer-brand/
95,FH-019,Cooking Course Platform,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/fh-019-cooking-course-platform,https://worldwidebro.github.io/cooking-course-platform/
96,FH-020,Restaurant Pos System,SEC-010,Food Service & Restaurants,OpCo-010,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fh-020-restaurant-pos-system,https://worldwidebro.github.io/restaurant-pos-system/
97,FH-021,Food Truck Business,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-021-food-truck-business,https://worldwidebro.github.io/food-truck-business/
98,FH-022,Specialty Coffee Shop,SEC-013,Hospitality & Travel,OpCo-013,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/fh-022-specialty-coffee-shop,https://worldwidebro.github.io/specialty-coffee-shop/
99,V-0099,Bakery & Pastry Shop,SEC-010,Food Service & Restaurants,OpCo-010,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/zquestz/s,https://worldwidebro.github.io/bakery-and-pastry-shop/
