"ID","Name","Sector","Stage"
"null","Esports Team","Media","planned"
"null","Virtual Events Platform","Media","planned"
"null","Online Course Platform","Media","mvp"
"null","Membership Site","Media","mvp"
"null","Digital Download Store","Media","mvp"
"null","Nft Marketplace","Media","planned"
"null","Online Tutoring Platform","Education","mvp"
"null","Language Learning App","Education","mvp"
"null","Test Prep Service","Education","validation"
"null","Coding Bootcamp","Education","validation"
"null","Professional Certification","Education","validation"
"null","Corporate Training","Education","validation"
"null","Skills Assessment Platform","Education","planned"
"null","Career Coaching","Education","mvp"
"null","Resume Writing Service","Education","mvp"
"null","Interview Prep Platform","Education","mvp"
"null","Mentorship Platform","Education","planned"
"null","Educational Content Library","Education","mvp"
"null","Vr Training Simulations","Education","planned"
"null","Gamified Learning App","Education","planned"
"null","Homeschool Curriculum","Education","validation"
"null","Saas Platform","Technology","mvp"
"null","Mobile App Development","Technology","mvp"
"null","Web Development Agency","Technology","mvp"
"null","Custom Software Development","Technology","validation"
"null","Api Development","Technology","mvp"
"null","Cloud Infrastructure","Technology","planned"
"null","Devops Consulting","Technology","validation"
"null","Cybersecurity Service","Technology","validation"
"null","Data Analytics Platform","Technology","planned"
"null","Business Intelligence Tool","Technology","planned"
"null","Crm Platform","Technology","planned"
"null","Project Management Tool","Technology","planned"
"null","Communication Platform","Technology","planned"
"null","Collaboration Software","Technology","planned"
"null","Automation Platform","Technology","planned"
"null","Ai","Technology","planned"
"null","Chatbot Builder","Technology","mvp"
"null","E Commerce Platform","Technology","planned"
"null","Payment Processing","Technology","validation"
"null","Blockchain Platform","Technology","planned"
"null","Iot Platform","Technology","planned"
"null","Ar","Technology","planned"
"null","Game Development","Technology","validation"
"null","Marketing Automation","Technology","mvp"
"null","Sales Automation","Technology","mvp"
"null","Hr Tech Platform","Technology","planned"
"null","Legal Tech Platform","Technology","planned"
"null","Health Tech Platform","Technology","planned"
"null","Edtech Platform","Technology","planned"
"null","Proptech Platform","Technology","planned"
"null","Angels In Daylight","Marketplace","planned"
"null","New World Apparel","Marketplace","planned"
"null","Shopify Autopilot","Marketplace","planned"
"null","Shoe Customizer","Marketplace","planned"
"null","Sunglasses Ai","Marketplace","planned"
"null","Dropship Hub","Marketplace","planned"
"null","Personal Shopper Ai","Marketplace","planned"
"null","Custom Sneaker Ai","Marketplace","planned"
"null","Sustainable Fashion Ai","Marketplace","planned"
"null","Jewelry Designer Ai","Marketplace","planned"
"null","Virtual Try On Ai","Marketplace","planned"
"null","Fashion Designer Ai","Marketplace","planned"
"null","Merch Licensing","Marketplace","planned"
"null","Subscription Box Ai","Marketplace","planned"
"null","Surf Gear Ai","Marketplace","planned"
"null","Ski Gear Ai","Marketplace","planned"
"null","Golf Gear Ai","Marketplace","planned"
"null","Fishing Gear Ai","Marketplace","planned"
"null","Yoga Gear Ai","Marketplace","planned"
"null","Costume Shop Ai","Marketplace","planned"
"null","Luggage Ai","Marketplace","planned"
"null","Home Appliance Ai","Marketplace","planned"
"null","Tool Shop Ai","Marketplace","planned"
"null","Garden Supply Ai","Marketplace","planned"
"null","Collectible Ai","Marketplace","planned"
"null","Hobby Shop Ai","Marketplace","planned"
"null","Kids Toy Line","Marketplace","planned"
"null","Nft Fashion Licensing","Marketplace","planned"
"null","Instant Brand Generator","Marketplace","planned"
"null","Ai Product Photographer","Marketplace","planned"
"null","Automated Inventory Forecaster","Marketplace","planned"
"null","Dynamic Pricing Engine","Marketplace","planned"
"null","Ad Optimizer Ai","Marketplace","planned"
"null","Recommendation Engine","Marketplace","planned"
"null","Review Aggregator Ai","Marketplace","planned"
"null","Fulfillment Network Ai","Marketplace","planned"
"null","Return Optimization Ai","Marketplace","planned"
"null","Chatbot Customer Service","Marketplace","planned"
"null","Visual Search Ai","Marketplace","planned"
"null","Abandoned Cart Recovery","Marketplace","planned"
"null","Seasonal Trend Predictor","Marketplace","planned"
"null","Influencer Matchmaker","Marketplace","planned"
"null","Ugc Content Aggregator","Marketplace","planned"
"null","Live Commerce Platform","Marketplace","growth"
"null","Ar Virtual Fitting Room","Marketplace","planned"
"null","3D Product Viewer","Marketplace","growth"
"null","Carbon Footprint Tracker","Marketplace","planned"
"null","Wholesale Marketplace Ai","Marketplace","planned"
"null","Rental Marketplace","Marketplace","planned"
"null","Ai Product Descriptions","Marketplace","planned"
"null","Ai Email Marketing","Marketplace","planned"
"null","Ai Product Bundler","Marketplace","planned"
"null","Ai Visual Merchandiser","Marketplace","planned"
"null","Ai Demand Forecasting","Marketplace","planned"
"null","Ai Warehouse Management","Marketplace","planned"
"null","Ai Supplier Matching","Marketplace","planned"
"null","Ai Quality Control","Marketplace","planned"
"null","Ai Packaging Designer","Marketplace","planned"
"null","Ai Logistics Planner","Marketplace","planned"
"null","Ai Customer Loyalty","Marketplace","planned"
"null","Ai Gift Finder","Marketplace","planned"
"null","Ai Trend Hunter","Marketplace","planned"
"null","Ai Market Research","Marketplace","planned"
"null","Ai Competitor Watcher","Marketplace","planned"
"null","Ai Product Development","Marketplace","planned"
"null","Ai Customer Journey","Marketplace","planned"
"null","Ai Payment Optimization","Marketplace","planned"
"null","Ai Returns Management","Marketplace","planned"
"null","Ai Shipping Labeler","Marketplace","planned"
"null","Ai Product Launch Coach","Marketplace","planned"
"null","Ai Vendor Negotiator","Marketplace","planned"
"null","Ai Product Cataloger","Marketplace","planned"
"null","Ai Order Prioritizer","Marketplace","planned"
"null","Ai Customer Segmentation","Marketplace","planned"
"null","Ai Pricing Analyst","Marketplace","planned"
"null","Ai Sales Forecasting","Marketplace","planned"
"null","Ai Inventory Reordering","Marketplace","planned"
"null","Ai Product Comparison","Marketplace","planned"
"null","Ai Customer Feedback","Marketplace","planned"
"null","Ai Product Updates","Marketplace","planned"
"null","Ai Cross Selling","Marketplace","planned"
"null","Ai Up Selling","Marketplace","planned"
"null","Ai Product Education","Marketplace","planned"
"null","Ai Purchase Timing","Marketplace","planned"
"null","Ai Customer Support","Marketplace","planned"
"null","Ai Order Tracking","Marketplace","planned"
"null","Ai Product Reviews","Marketplace","planned"
"null","Ai Customer Community","Marketplace","planned"
"null","Ai Product Customization","Marketplace","planned"
"null","Ai Gift Registry","Marketplace","planned"
"null","Ai Wedding Registry","Marketplace","planned"
"null","Ai Baby Registry","Marketplace","planned"
"null","Ai Holiday Planner","Marketplace","planned"
"null","Ai Personal Shopper","Marketplace","planned"
"null","Ai Color Match","Marketplace","planned"
"null","Ai Fabric Advisor","Marketplace","planned"
"null","Ai Fit Recommendation","Marketplace","planned"
"null","Ai Outfit Builder","Marketplace","planned"
"null","Ai Seasonal Forecast","Marketplace","planned"
"null","Ai Wardrobe Planner","Marketplace","planned"
"null","Ai Accessory Match","Marketplace","planned"
"null","Ai Shoe Match","Marketplace","planned"
"null","Ai Jewelry Match","Marketplace","planned"
"null","Ai Bag Match","Marketplace","planned"
"null","Ai Color Palette","Marketplace","planned"
"null","Ai Outfit Recycling","Marketplace","planned"
"null","Ai Style Evolution","Marketplace","planned"
"null","Ai Budget Stylist","Marketplace","planned"
"null","Ai Trend Archive","Marketplace","planned"
"null","Ai Vintage Advisor","Marketplace","planned"
"null","Quantum Algorithm Ai","Technology","planned"
"null","Ai Compliance Scanner","Technology","planned"
"null","Cloud Management Ai","Technology","planned"
"null","Robotics Training Ai","Technology","planned"
"null","Customer Insights Ai","Technology","planned"
"null","Voice Assistant Ai","Technology","planned"
"null","Blockchain Verifier Ai","Technology","planned"
"null","Cybersecurity Shield","Technology","planned"
"null","Content Studio Ai","Technology","planned"
"null","Smart Home Ai","Technology","planned"
"null","Supply Chain Optimizer","Technology","planned"
"null","Data Visualization Ai","Technology","planned"
"null","Workflow Automation","Technology","planned"
"null","Sentiment Analyzer","Technology","planned"
"null","Image Recognition Ai","Technology","planned"
"null","Video Editor Ai","Technology","planned"
"null","Speech To Text Ai","Technology","planned"
"null","Text To Speech Ai","Technology","planned"
"null","Fraud Prevention Ai","Technology","planned"
"null","Recommendation Engine","Technology","planned"
"null","Network Security Ai","Technology","planned"
"null","Database Optimizer","Technology","planned"
"null","Ai Testing Platform","Technology","planned"
"null","Virtual Assistant Builder","Technology","planned"
"null","Machine Learning Builder","Technology","planned"
"null","Ai Ethics Auditor","Technology","planned"
"null","Predictive Analytics Ai","Technology","planned"
"null","Ai Training Platform","Technology","planned"
"null","Digital Twin Ai","Technology","planned"
"null","Ai Monitoring System","Technology","planned"
"null","Edge Computing Ai","Technology","planned"
"null","Ai Integration Hub","Technology","planned"
"null","Quantum Algorithm Ai","Technology","planned"
"null","Ai Compliance Scanner","Technology","planned"
"null","Cloud Management Ai","Technology","planned"
"null","Robotics Training Ai","Technology","planned"
"null","Customer Insights Ai","Technology","planned"
"null","Voice Assistant Ai","Technology","planned"
"null","Blockchain Verifier Ai","Technology","validation"
"null","Cybersecurity Shield","Technology","planned"
"null","Content Studio Ai","Technology","planned"
"null","Smart Home Ai","Technology","planned"
"null","Supply Chain Optimizer","Technology","planned"
"null","Data Visualization Ai","Technology","planned"
"null","Workflow Automation","Technology","planned"
"null","Sentiment Analyzer","Technology","planned"
"null","Image Recognition Ai","Technology","planned"
"null","Video Editor Ai","Technology","planned"
"null","Speech To Text Ai","Technology","planned"
"null","Text To Speech Ai","Technology","planned"
"null","Fraud Prevention Ai","Technology","planned"
"null","Recommendation Engine","Technology","planned"
"null","Network Security Ai","Technology","planned"
"null","Database Optimizer","Technology","planned"
"null","Ai Testing Platform","Technology","planned"
"null","Virtual Assistant Builder","Technology","planned"
"null","Machine Learning Builder","Technology","planned"
"null","Ai Ethics Auditor","Technology","planned"
"null","Predictive Analytics Ai","Technology","planned"
"null","Ai Training Platform","Technology","planned"
"null","Fractional Cto Agency","Operations","planned"
"null","Supply Chain Optimizer","Operations","planned"
"null","Event Planning Ai","Operations","planned"
"null","Inventory Management Ai","Operations","planned"
"null","Project Management Ai","Operations","planned"
"null","Document Automation Ai","Operations","planned"
"null","Meeting Assistant Ai","Operations","planned"
"null","Recruitment Ai","Operations","planned"
"null","Onboarding Ai","Operations","planned"
"null","Training Platform Ai","Operations","planned"
"null","Performance Review Ai","Operations","planned"
"null","It Support Ai","Operations","planned"
"null","Facilities Management Ai","Operations","planned"
"null","Travel Booking Ai","Operations","planned"
"null","Expense Management Ai","Operations","planned"
"null","Contract Management Ai","Operations","planned"
"null","Compliance Monitoring Ai","Operations","planned"
"null","Quality Control Ai","Operations","planned"
"null","Asset Management Ai","Operations","planned"
"null","Time Tracking Ai","Operations","planned"
"null","Document Security Ai","Operations","planned"
"null","Knowledge Management Ai","Operations","planned"
"null","Meeting Transcription Ai","Operations","planned"
"null","Task Automation Ai","Operations","planned"
"null","Resource Allocation Ai","Operations","planned"
"null","Budget Planning Ai","Operations","planned"
"null","Cost Optimization Ai","Operations","planned"
"null","Procurement Ai","Operations","planned"
"null","Vendor Management Ai","Operations","planned"
"null","Contract Negotiation Ai","Operations","planned"
"null","Legal Document Ai","Operations","planned"
"null","Compliance Reporting Ai","Operations","planned"
"null","Training Content Ai","Operations","planned"
"null","Employee Engagement Ai","Operations","planned"
"null","Succession Planning Ai","Operations","planned"
"null","Workspace Design Ai","Operations","planned"
"null","Energy Efficiency Ai","Operations","planned"
"null","Security Monitoring Ai","Operations","planned"
"null","Health Safety Ai","Operations","planned"
"null","Disaster Recovery Ai","Operations","planned"
"null","It Asset Management","Operations","planned"
"null","Cloud Cost Management","Operations","planned"
"null","Data Governance Ai","Operations","planned"
"null","Network Monitoring Ai","Operations","planned"
"null","Software Licensing Ai","Operations","planned"
"null","It Procurement Ai","Operations","planned"
"null","System Integration Ai","Operations","planned"
"null","Data Backup Ai","Operations","planned"
"null","Business Continuity Ai","Operations","planned"
"null","Compliance Audit Ai","Operations","planned"
"null","Document Collaboration Ai","Operations","planned"
"null","Video Conferencing Ai","Operations","planned"
"null","Email Management Ai","Operations","planned"
"null","Calendar Optimization Ai","Operations","planned"
"null","Project Budget Ai","Operations","planned"
"null","Resource Forecasting Ai","Operations","planned"
"null","Task Prioritization Ai","Operations","planned"
"null","Time Management Ai","Operations","planned"
"null","Meeting Minutes Ai","Operations","planned"
"null","Document Translation Ai","Operations","planned"
"null","Form Automation Ai","Operations","planned"
"null","Report Generation Ai","Operations","planned"
"null","Dashboard Creation Ai","Operations","planned"
"null","Analytics Platform Ai","Operations","planned"
"null","Data Cleaning Ai","Operations","planned"
"null","Workflow Management Ai","Operations","planned"
"null","Youth Entrepreneurship Curriculum","Education","planned"
"null","Ai Literacy Program","Education","planned"
"null","Coding Mentor Certification","Education","planned"
"null","Real Estate Licensing Prep","Education","planned"
"null","Coding Bootcamp","Education","planned"
"null","Homeschooling Content Ai","Education","planned"
"null","Ai Tutoring Platform","Education","planned"
"null","Branding Templates Marketplace","Education","planned"
"null","Voiceover Script Library","Education","planned"
"null","Trade Skills Bootcamp","Education","planned"
"null","Franchise Blueprint System","Education","planned"
"null","Low Income Housing Blueprint","Education","planned"
"null","Automated Empire Book","Education","planned"
"null","Bipoc Creator Incubator","Education","planned"
"null","Ai Legal Doc Generator","Education","planned"
"null","Virtual Black Art Museum","Education","planned"
"null","Ai Coding Tutor","Education","growth"
"null","Online Course Creator","Education","planned"
"null","Executive Education Program","Education","planned"
"null","Youth Stem Program","Education","planned"
"null","Remote Work Certification","Education","planned"
"null","Ai Research Assistant","Education","planned"
"null","Personal Finance Coach","Education","planned"
"null","Language Learning Ai","Education","planned"
"null","Test Preparation Ai","Education","planned"
"null","Corporate Training Ai","Education","planned"
"null","Medical Education Ai","Education","planned"
"null","Legal Education Ai","Education","planned"
"null","Music Education Ai","Education","planned"
"null","Art Education Ai","Education","planned"
"null","Physical Education Ai","Education","planned"
"null","Environmental Education Ai","Education","planned"
"null","Social Studies Ai","Education","planned"
"null","Math Education Ai","Education","planned"
"null","Science Education Ai","Education","planned"
"null","Reading Comprehension Ai","Education","planned"
"null","Writing Instruction Ai","Education","planned"
"null","Critical Thinking Ai","Education","planned"
"null","Emotional Intelligence Ai","Education","planned"
"null","Time Management Ai","Education","planned"
"null","Luminary Worldwide Events","Media","planned"
"null","Brotherhood Coaching Network","Media","planned"
"null","Ace Senior Care Connect","Media","planned"
"null","Community Outreach Nonprofit","Media","planned"
"null","Ace Food Security Ai","Media","planned"
"null","Community Technology Access Ai","Media","planned"
"null","Youth Leadership Ai","Media","planned"
"null","Community Fundraising Ai","Media","planned"
"null","Volunteer Hub Ai","Media","planned"
"null","Disaster Relief Ai","Media","planned"
"null","Indigenous Creator Hub","Media","planned"
"null","Black Art Museum Ai","Media","planned"
"null","Women S Empowerment Network","Media","planned"
"null","Veterans Support Ai","Media","planned"
"null","Youth Mentorship Program","Media","planned"
"null","Community Health Ai","Media","planned"
"null","Local Business Directory","Media","planned"
"null","Neighborhood Watch Ai","Media","planned"
"null","Community Garden Ai","Media","planned"
"null","Public Transportation Ai","Media","planned"
"null","Housing Assistance Ai","Media","planned"
"null","Job Training Center","Media","planned"
"null","Elder Companion Ai","Media","planned"
"null","Youth Sports Ai","Media","planned"
"null","Community Legal Aid","Media","planned"
"null","Public Education Ai","Media","planned"
"null","Local Government Ai","Media","planned"
"null","Public Safety Ai","Media","planned"
"null","Community Wellness Ai","Media","planned"
"null","Cultural Exchange Ai","Media","planned"
"null","Community Investment Ai","Media","planned"
"null","Public Health Ai","Media","planned"
"null","Youth Innovation Hub","Media","planned"
"null","Senior Tech Support","Media","planned"
"null","Community Arts Ai","Media","planned"
"null","Public Infrastructure Ai","Media","planned"
"null","Neighborhood Development Ai","Media","planned"
"null","Community Policing Ai","Media","planned"
"null","Public Space Ai","Media","planned"
"null","Community Recycling Ai","Media","planned"
"null","Public Wi Fi Ai","Media","planned"
"null","Community Energy Ai","Media","planned"
"null","Local Food Network Ai","Media","planned"
"null","Community Volunteering Ai","Media","planned"
"null","Public Childcare Ai","Media","planned"
"null","Community Pet Care Ai","Media","planned"
"null","Public Fitness Ai","Media","planned"
"null","Community Transportation Ai","Media","planned"
"null","Public Event Ai","Media","planned"
"null","Community Cultural Ai","Media","planned"
"null","Space Habitat Ai","Technology","planned"
"null","Fusion Energy Ai","Technology","planned"
"null","Teleportation Research Ai","Technology","planned"
"null","Climate Solutions Ai","Technology","planned"
"null","Holographic Events Ai","Technology","planned"
"null","Neurofeedback Ai","Technology","planned"
"null","Autonomous Delivery Ai","Technology","planned"
"null","Gene Editing Ai","Technology","planned"
"null","Space Tourism Ai","Technology","planned"
"null","Wearables Ai","Technology","planned"
"null","Metaverse Hub Ai","Technology","planned"
"null","Energy Grid Ai","Technology","planned"
"null","Brain Computer Interface","Technology","planned"
"null","Ocean Cleanup Ai","Technology","planned"
"null","Crypto Trading Ai","Technology","planned"
"null","Synthetic Media Ai","Technology","planned"
"null","Space Mining Ai","Technology","planned"
"null","Vr Therapy Ai","Technology","planned"
"null","Weather Prediction Ai","Technology","planned"
"null","Autonomous Farming Ai","Technology","planned"
"null","Traffic Optimizer Ai","Technology","planned"
"null","Smart Grid Ai","Technology","planned"
"null","Disaster Prediction Ai","Technology","planned"
"null","Nanotech Ai","Technology","planned"
"null","Personalized Medicine Ai","Technology","planned"
"null","Ai Diagnostic Lab","Technology","planned"
"null","Sustainable Cities Ai","Technology","planned"
"null","Renewable Energy Ai","Technology","planned"
"null","Climate Modeling Ai","Technology","planned"
"null","Policy Advisor Ai","Technology","planned"
"null","Governance Hub Ai","Technology","planned"
"null","Global Challenges Ai","Technology","planned"
"null","Space Exploration Ai","Technology","planned"
"null","Education Equity Ai","Technology","planned"
"null","Health Equity Ai","Technology","planned"
"null","Economic Equity Ai","Technology","planned"
"null","Environmental Justice Ai","Technology","planned"
"null","Human Rights Ai","Technology","planned"
"null","Peacebuilding Ai","Technology","planned"
"null","Telemedicine Ai","Technology","planned"
"null","Ai Climate Adaptation","Technology","planned"
"null","Space Agriculture Ai","Technology","planned"
"null","Quantum Communication Ai","Technology","planned"
"null","Robotics Surgery Ai","Technology","planned"
"null","Ai Disaster Response","Technology","planned"
"null","Smart City Governance","Technology","planned"
"null","Ai Environmental Monitoring","Technology","planned"
"null","Space Manufacturing Ai","Technology","planned"
"null","Ai Ocean Exploration","Technology","planned"
"null","Ai Archaeology","Technology","planned"
"null","Ai Auction House","Technology","planned"
"null","Smart Marina Management","Technology","planned"
"null","Ai Surf Report","Technology","planned"
"null","Private Chef Ai","Technology","planned"
"null","Virtual Concierge Ai","Technology","planned"
"null","Smart Parking Ai","Technology","planned"
"null","Ai Interior Design","Technology","planned"
"null","Personal Stylist Ai","Technology","planned"
"null","Smart Locker System","Technology","planned"
"null","Ai Fitness Coach","Technology","planned"
"null","Smart Golf Caddie","Technology","planned"
