venture_id,venture_name,sector,stage,status,has_uuid,uuid
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty,validation,validation,no,
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty,mvp,development,no,
BW-008-Private-Label-Lashes,Private Label Lashes,beauty,planned,planned,no,
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty,planned,planned,no,
BW-010-Online-Lash-Education,Online Lash Education,beauty,mvp,development,no,
BW-011-Nail-Salon,Nail Salon,beauty,validation,validation,no,
BW-012-Mobile-Nail-Tech,Mobile Nail Tech,beauty,mvp,development,no,
BW-013-Luxury-Nail-Spa,Luxury Nail Spa,beauty,validation,validation,no,
BW-014-Press-On-Nail-Brand,Press On Nail Brand,beauty,mvp,development,no,
BW-015-Nail-Art-Studio,Nail Art Studio,beauty,validation,validation,no,
BW-016-Nail-Polish-Brand,Nail Polish Brand,beauty,mvp,development,no,
BW-017-Nail-Care-Products,Nail Care Products,beauty,mvp,development,no,
BW-018-Nail-Booking-Marketplace,Nail Booking Marketplace,beauty,planned,planned,no,
BW-019-Salon-Management-Software,Salon Management Software,beauty,planned,planned,no,
BW-020-AI-Nail-Design-Generator,Ai Nail Design Generator,beauty,planned,planned,no,
BW-021-Hair-Salon,Hair Salon,beauty,validation,validation,no,
BW-022-Barbershop,Barbershop,beauty,validation,validation,no,
BW-023-Mobile-Hairstyling,Mobile Hairstyling,beauty,mvp,development,no,
BW-024-Hair-Braiding-Studio,Hair Braiding Studio,beauty,validation,validation,no,
BW-025-Wig-Installation-Studio,Wig Installation Studio,beauty,validation,validation,no,
BW-026-Hair-Extension-Salon,Hair Extension Salon,beauty,validation,validation,no,
BW-027-Hair-Care-Line,Hair Care Line,beauty,mvp,development,no,
BW-028-Wig-Brand,Wig Brand,beauty,mvp,development,no,
BW-029-Hair-Extensions-Brand,Hair Extensions Brand,beauty,mvp,development,no,
BW-030-Scalp-Treatment-Products,Scalp Treatment Products,beauty,validation,validation,no,
BW-031-Hair-Marketplace,Hair Marketplace,beauty,planned,planned,no,
BW-032-Stylist-Booking-Platform,Stylist Booking Platform,beauty,planned,planned,no,
BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,beauty,planned,planned,no,
BW-034-Salon-Franchise-Chain,Salon Franchise Chain,beauty,planned,planned,no,
BW-035-Makeup-Studio,Makeup Studio,beauty,validation,validation,no,
BW-036-Bridal-Makeup-Service,Bridal Makeup Service,beauty,mvp,development,no,
BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,beauty,mvp,development,no,
BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,beauty,validation,validation,no,
BW-039-Cosmetics-Brand,Cosmetics Brand,beauty,mvp,development,no,
BW-040-Beauty-Tools-Brand,Beauty Tools Brand,beauty,mvp,development,no,
FH-001-Personal-Chef-Service,Personal Chef Service,market,mvp,development,no,
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,market,mvp,development,no,
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,market,validation,validation,no,
FH-004-Catering-Company,Catering Company,market,validation,validation,no,
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,market,mvp,development,no,
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,market,mvp,development,no,
FH-007-Elderly-Meal-Service,Elderly Meal Service,market,validation,validation,no,
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,market,mvp,development,no,
FH-009-Packaged-Food-Brand,Packaged Food Brand,market,validation,validation,no,
FH-010-Frozen-Meals-Company,Frozen Meals Company,market,validation,validation,no,
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,market,mvp,development,no,
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,market,mvp,development,no,
FH-013-Meal-Kit-Company,Meal Kit Company,market,validation,validation,no,
FH-014-Cloud-Kitchen-,Cloud Kitchen ,market,planned,planned,no,
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,market,planned,planned,no,
FH-016-Recipe-App,Recipe App,market,mvp,development,no,
FH-017-Cooking-Content-Brand,Cooking Content Brand,market,mvp,development,no,
FH-018-Food-Influencer-Brand,Food Influencer Brand,market,mvp,development,no,
FH-019-Cooking-Course-Platform,Cooking Course Platform,market,mvp,development,no,
FH-020-Restaurant-POS-System,Restaurant Pos System,market,planned,planned,no,
FH-021-Food-Truck-Business,Food Truck Business,market,validation,validation,no,
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,market,validation,validation,no,
FH-023-Bakery-&-Pastry-Shop,Bakery & Pastry Shop,market,validation,validation,no,
FH-024-Juice-Bar,Juice Bar,market,mvp,development,no,
FH-025-Ice-Cream-Shop,Ice Cream Shop,market,validation,validation,no,
FH-026-Gourmet-Food-Market,Gourmet Food Market,market,validation,validation,no,
FH-027-Food-Delivery-Platform,Food Delivery Platform,market,planned,planned,no,
FH-028-Restaurant-Management-SaaS,Restaurant Management Saas,market,planned,planned,no,
FH-029-Food-Quality-Testing-Lab,Food Quality Testing Lab,market,planned,planned,no,
FH-030-Organic-Food-Brand,Organic Food Brand,market,mvp,development,no,
FH-031-Vegan-Food-Company,Vegan Food Company,market,mvp,development,no,
FH-032-Keto-Meal-Service,Keto Meal Service,market,mvp,development,no,
FH-033-Food-Photography-Service,Food Photography Service,market,mvp,development,no,
FH-034-Restaurant-Consulting,Restaurant Consulting,market,mvp,development,no,
FH-035-Food-Safety-Training,Food Safety Training,market,validation,validation,no,
FS-001-Gym,Gym,market,validation,validation,no,
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,market,validation,validation,no,
FS-003-Personal-Training-Studio,Personal Training Studio,market,mvp,development,no,
FS-004-Women-Only-Gym,Women Only Gym,market,validation,validation,no,
FS-005-Boxing-Gym,Boxing Gym,market,validation,validation,no,
FS-006-CrossFit-Gym,Crossfit Gym,market,validation,validation,no,
FS-007-Luxury-Fitness-Club,Luxury Fitness Club,market,planned,planned,no,
FS-008-Online-Coaching,Online Coaching,market,mvp,development,no,
FS-009-Personal-Trainer-Business,Personal Trainer Business,market,mvp,development,no,
FS-010-Transformation-Program,Transformation Program,market,mvp,development,no,
FS-011-Athlete-Training-Company,Athlete Training Company,market,validation,validation,no,
FS-012-Supplement-Brand,Supplement Brand,market,mvp,development,no,
FS-013-Fitness-Apparel,Fitness Apparel,market,mvp,development,no,
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,market,validation,validation,no,
FS-015-Recovery-Products,Recovery Products,market,mvp,development,no,
FS-016-Fitness-App,Fitness App,market,mvp,development,no,
FS-017-AI-Personal-Trainer,Ai Personal Trainer,market,planned,planned,no,
FS-018-Gym-Management-Software,Gym Management Software,market,planned,planned,no,
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,market,planned,planned,no,
FS-020-Yoga-Studio,Yoga Studio,market,validation,validation,no,
FS-021-Pilates-Studio,Pilates Studio,market,validation,validation,no,
FS-022-Dance-Studio,Dance Studio,market,validation,validation,no,
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,market,validation,validation,no,
FS-024-Sports-Performance-Center,Sports Performance Center,market,planned,planned,no,
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,market,mvp,development,no,
LT-001-Truck-Dispatch-Company,Truck Dispatch Company,infra,validation,validation,no,
LT-002-Freight-Brokerage,Freight Brokerage,infra,validation,validation,no,
LT-003-Logistics-Dispatch-Service,Logistics Dispatch Service,infra,mvp,development,no,
LT-004-Last-Mile-Delivery-Dispatch,Last Mile Delivery Dispatch,infra,mvp,development,no,
LT-005-Medical-Courier-Dispatch,Medical Courier Dispatch,infra,validation,validation,no,
LT-006-Amazon,Amazon,infra,planned,planned,no,
LT-007-Construction-Dispatch,Construction Dispatch,infra,validation,validation,no,
LT-008-Towing-Dispatch,Towing Dispatch,infra,mvp,development,no,
LT-009-HVAC-Technician-Dispatch,Hvac Technician Dispatch,infra,mvp,development,no,
LT-010-Field-Service-Dispatch,Field Service Dispatch,infra,mvp,development,no,
LT-011-Dispatch-Software,Dispatch Software,infra,planned,planned,no,
LT-012-Fleet-Tracking-Platform,Fleet Tracking Platform,infra,planned,planned,no,
LT-013-Logistics-Automation-System,Logistics Automation System,infra,planned,planned,no,
LT-014-AI-Route-Optimization,Ai Route Optimization,infra,planned,planned,no,
LT-015-Driver-Management-Platform,Driver Management Platform,infra,planned,planned,no,
LT-016-Trucking-Company,Trucking Company,infra,validation,validation,no,
LT-017-Courier-Service,Courier Service,infra,mvp,development,no,
LT-018-Local-Delivery-Company,Local Delivery Company,infra,mvp,development,no,
LT-019-Moving-Company,Moving Company,infra,validation,validation,no,
LT-020-Freight-Company,Freight Company,infra,validation,validation,no,
LT-021-Warehouse-Company,Warehouse Company,infra,planned,planned,no,
LT-022-Fulfillment-Center,Fulfillment Center,infra,mvp,development,no,
LT-023-Storage-Business,Storage Business,infra,validation,validation,no,
LT-024-Distribution-Company,Distribution Company,infra,validation,validation,no,
LT-025-Logistics-Marketplace,Logistics Marketplace,infra,planned,planned,no,
LT-026-Shipping-Platform,Shipping Platform,infra,planned,planned,no,
LT-027-Fleet-Management-SaaS,Fleet Management Saas,infra,planned,planned,no,
LT-028-Freight-AI-Optimization,Freight Ai Optimization,infra,planned,planned,no,
LT-029-Supply-Chain-Analytics,Supply Chain Analytics,infra,planned,planned,no,
LT-030-Cold-Chain-Logistics,Cold Chain Logistics,infra,validation,validation,no,
PS-001-Business-Consulting,Business Consulting,market,mvp,development,no,
PS-002-Legal-Services,Legal Services,market,validation,validation,no,
PS-003-Accounting-Services,Accounting Services,market,mvp,development,no,
PS-004-HR-Consulting,Hr Consulting,market,validation,validation,no,
PS-005-Marketing-Agency,Marketing Agency,market,mvp,development,no,
PS-006-Web-Design-Agency,Web Design Agency,market,mvp,development,no,
PS-007-IT-Support-Services,It Support Services,market,mvp,development,no,
PS-008-Virtual-Assistant-Service,Virtual Assistant Service,market,mvp,development,no,
PS-009-Bookkeeping-Service,Bookkeeping Service,market,mvp,development,no,
PS-010-Tax-Preparation-Service,Tax Preparation Service,market,mvp,development,no,
PS-011-Real-Estate-Agency,Real Estate Agency,market,validation,validation,no,
PS-012-Insurance-Agency,Insurance Agency,market,validation,validation,no,
PS-013-Financial-Planning,Financial Planning,market,mvp,development,no,
PS-014-Event-Planning,Event Planning,market,validation,validation,no,
PS-015-Interior-Design,Interior Design,market,validation,validation,no,
PS-016-Photography-Service,Photography Service,market,mvp,development,no,
PS-017-Videography-Service,Videography Service,market,mvp,development,no,
PS-018-Translation-Services,Translation Services,market,validation,validation,no,
PS-019-Copywriting-Service,Copywriting Service,market,mvp,development,no,
PS-020-Social-Media-Management,Social Media Management,market,mvp,development,no,
PS-021-SEO-Agency,Seo Agency,market,mvp,development,no,
PS-022-PPC-Management,Ppc Management,market,mvp,development,no,
PS-023-PR-Agency,Pr Agency,market,validation,validation,no,
PS-024-Recruiting-Agency,Recruiting Agency,market,validation,validation,no,
PS-025-Business-Brokerage,Business Brokerage,market,planned,planned,no,
MC-001-YouTube-Channel-Network,Youtube Channel Network,market,mvp,development,no,
MC-002-Podcast-Network,Podcast Network,market,mvp,development,no,
MC-003-Blog-Network,Blog Network,market,mvp,development,no,
MC-004-Influencer-Agency,Influencer Agency,market,validation,validation,no,
MC-005-Content-Creation-Studio,Content Creation Studio,market,mvp,development,no,
MC-006-Video-Production-Company,Video Production Company,market,validation,validation,no,
MC-007-Animation-Studio,Animation Studio,market,planned,planned,no,
MC-008-Music-Production,Music Production,market,validation,validation,no,
MC-009-Stock-Photography,Stock Photography,market,mvp,development,no,
MC-010-Stock-Video,Stock Video,market,mvp,development,no,
MC-011-Online-Magazine,Online Magazine,market,mvp,development,no,
MC-012-News-Website,News Website,market,validation,validation,no,
MC-013-Streaming-Platform,Streaming Platform,market,planned,planned,no,
MC-014-Gaming-Channel,Gaming Channel,market,mvp,development,no,
MC-015-Esports-Team,Esports Team,market,planned,planned,no,
MC-016-Virtual-Events-Platform,Virtual Events Platform,market,planned,planned,no,
MC-017-Online-Course-Platform,Online Course Platform,market,mvp,development,no,
MC-018-Membership-Site,Membership Site,market,mvp,development,no,
MC-019-Digital-Download-Store,Digital Download Store,market,mvp,development,no,
MC-020-NFT-Marketplace,Nft Marketplace,market,planned,planned,no,
ET-001-Online-Tutoring-Platform,Online Tutoring Platform,edtech,mvp,development,no,
ET-002-Language-Learning-App,Language Learning App,edtech,mvp,development,no,
ET-003-Test-Prep-Service,Test Prep Service,edtech,validation,validation,no,
ET-004-Coding-Bootcamp,Coding Bootcamp,edtech,validation,validation,yes,f3a1e437-3730-4ecc-93de-8bd39ce4ab73
ET-005-Professional-Certification,Professional Certification,edtech,validation,validation,no,
ET-006-Corporate-Training,Corporate Training,edtech,validation,validation,no,
ET-007-Skills-Assessment-Platform,Skills Assessment Platform,edtech,planned,planned,no,
ET-008-Career-Coaching,Career Coaching,edtech,mvp,development,no,
ET-009-Resume-Writing-Service,Resume Writing Service,edtech,mvp,development,no,
ET-010-Interview-Prep-Platform,Interview Prep Platform,edtech,mvp,development,no,
ET-011-Mentorship-Platform,Mentorship Platform,edtech,planned,planned,no,
ET-012-Educational-Content-Library,Educational Content Library,edtech,mvp,development,no,
ET-013-VR-Training-Simulations,Vr Training Simulations,edtech,planned,planned,no,
ET-014-Gamified-Learning-App,Gamified Learning App,edtech,planned,planned,no,
ET-015-Homeschool-Curriculum,Homeschool Curriculum,edtech,validation,validation,no,
ST-001-SaaS-Platform,Saas Platform,devtools,mvp,development,no,
ST-002-Mobile-App-Development,Mobile App Development,devtools,mvp,development,no,
ST-003-Web-Development-Agency,Web Development Agency,devtools,mvp,development,no,
ST-004-Custom-Software-Development,Custom Software Development,devtools,validation,validation,no,
ST-005-API-Development,Api Development,devtools,mvp,development,no,
ST-006-Cloud-Infrastructure,Cloud Infrastructure,devtools,planned,planned,no,
ST-007-DevOps-Consulting,Devops Consulting,devtools,validation,validation,no,
ST-008-Cybersecurity-Service,Cybersecurity Service,devtools,validation,validation,no,
ST-009-Data-Analytics-Platform,Data Analytics Platform,devtools,planned,planned,no,
ST-010-Business-Intelligence-Tool,Business Intelligence Tool,devtools,planned,planned,no,
ST-011-CRM-Platform,Crm Platform,devtools,planned,planned,no,
ST-012-Project-Management-Tool,Project Management Tool,devtools,planned,planned,no,
ST-013-Communication-Platform,Communication Platform,devtools,planned,planned,no,
ST-014-Collaboration-Software,Collaboration Software,devtools,planned,planned,no,
ST-015-Automation-Platform,Automation Platform,devtools,planned,planned,no,
ST-016-AI,Ai,devtools,planned,planned,no,
ST-017-Chatbot-Builder,Chatbot Builder,devtools,mvp,development,no,
ST-018-E-commerce-Platform,E Commerce Platform,devtools,planned,planned,no,
ST-019-Payment-Processing,Payment Processing,devtools,validation,validation,no,
ST-020-Blockchain-Platform,Blockchain Platform,devtools,planned,planned,no,
ST-021-IoT-Platform,Iot Platform,devtools,planned,planned,no,
ST-022-AR,Ar,devtools,planned,planned,no,
ST-023-Game-Development,Game Development,devtools,validation,validation,no,
ST-024-Marketing-Automation,Marketing Automation,devtools,mvp,development,no,
ST-025-Sales-Automation,Sales Automation,devtools,mvp,development,no,
ST-026-HR-Tech-Platform,Hr Tech Platform,devtools,planned,planned,no,
ST-027-Legal-Tech-Platform,Legal Tech Platform,devtools,planned,planned,no,
ST-028-Health-Tech-Platform,Health Tech Platform,devtools,planned,planned,no,
ST-029-EdTech-Platform,Edtech Platform,devtools,planned,planned,no,
ST-030-PropTech-Platform,Proptech Platform,devtools,planned,planned,no,
EC-001-Angels-in-Daylight,Angels In Daylight,market,planned,planned,no,
EC-002-New-World-Apparel,New World Apparel,market,planned,planned,no,
EC-003-Shopify-Autopilot,Shopify Autopilot,market,planned,planned,no,
EC-004-Shoe-Customizer,Shoe Customizer,market,planned,planned,no,
EC-005-Sunglasses-AI,Sunglasses Ai,market,planned,planned,yes,64669816-60f5-4f5d-822c-d542a5398c33
EC-006-Dropship-Hub,Dropship Hub,market,planned,planned,yes,9ac4f7e2-560a-4868-9965-bb793789d2c0
EC-007-Personal-Shopper-AI,Personal Shopper Ai,market,planned,planned,yes,952ed8f1-ed82-47a2-8fed-f32c90e21c50
EC-008-Custom-Sneaker-AI,Custom Sneaker Ai,market,planned,planned,yes,7eec5582-b7d3-4814-b1e1-763ce7b7dc52
EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,market,planned,planned,yes,645f19c8-cbab-48ac-8d92-08ee7d424015
EC-010-Jewelry-Designer-AI,Jewelry Designer Ai,market,planned,planned,yes,a458a464-3244-4623-847c-9b2fc339b9ec
EC-011-Virtual-Try-On-AI,Virtual Try On Ai,market,planned,planned,yes,3c4a6a4e-aacd-4c85-b842-c01c18d67eed
EC-012-Fashion-Designer-AI,Fashion Designer Ai,market,planned,planned,yes,ab88f4c6-bfbe-426a-b5be-9de15cbf26ce
EC-013-Merch-Licensing,Merch Licensing,market,planned,planned,yes,7e68ff6b-17ce-4847-9d52-3fae4260b4bd
EC-014-Subscription-Box-AI,Subscription Box Ai,market,planned,planned,yes,96c2276c-5e6a-45ce-9684-726949515b92
EC-015-Surf-Gear-AI,Surf Gear Ai,market,planned,planned,yes,932d609e-11b7-417e-a9da-dc37b7cb457b
EC-016-Ski-Gear-AI,Ski Gear Ai,market,planned,planned,yes,778f1fff-2438-409b-b285-3c43fd9fad4c
EC-017-Golf-Gear-AI,Golf Gear Ai,market,planned,planned,yes,5cef7ad7-0af4-4caf-a5b3-437d60d84100
EC-018-Fishing-Gear-AI,Fishing Gear Ai,market,planned,planned,yes,70c45815-05f9-4c27-8428-719e4639b1fe
EC-019-Yoga-Gear-AI,Yoga Gear Ai,market,planned,planned,yes,e94b1fc3-1398-4311-92f8-0ef23007110c
EC-020-Costume-Shop-AI,Costume Shop Ai,market,planned,planned,yes,8cc3a6d7-c784-480c-b552-179e3c9282fb
EC-021-Luggage-AI,Luggage Ai,market,planned,planned,yes,51d69a32-a9fe-47b8-b3c7-88780372918b
EC-022-Home-Appliance-AI,Home Appliance Ai,market,planned,planned,yes,4872fb01-ff96-431c-9b25-c2a66ad5b763
EC-023-Tool-Shop-AI,Tool Shop Ai,market,planned,planned,yes,d3c46e47-edf0-4e0a-bea5-aa03fc979d45
EC-024-Garden-Supply-AI,Garden Supply Ai,market,planned,planned,yes,5723b162-0c6f-4c98-a728-a2fdbbaed952
EC-025-Collectible-AI,Collectible Ai,market,planned,planned,yes,c86f1f74-1b0c-4298-bcb0-540ee11c30c1
EC-026-Hobby-Shop-AI,Hobby Shop Ai,market,planned,planned,yes,91a1d2f1-71dc-4a13-8f6c-923b52090248
EC-027-Kids-Toy-Line,Kids Toy Line,market,planned,planned,yes,c9097876-1a20-4574-a8e5-29e893202132
EC-028-NFT-Fashion-Licensing,Nft Fashion Licensing,market,planned,planned,yes,04a3ad6b-edcf-4945-ba81-ca8e0ca8a265
EC-029-Instant-Brand-Generator,Instant Brand Generator,market,planned,planned,yes,0ef43be4-0a97-4b81-bb34-318e99be2e79
EC-030-AI-Product-Photographer,Ai Product Photographer,market,planned,planned,yes,5706db7e-a0aa-4216-8a72-6e423d201490
EC-031-Automated-Inventory-Forecaster,Automated Inventory Forecaster,market,planned,planned,yes,d7ddcedd-b082-4e19-b6b4-369cb6a52322
EC-032-Dynamic-Pricing-Engine,Dynamic Pricing Engine,market,planned,planned,yes,bb87cbc7-7f6d-47b9-833d-92b299cc6227
EC-033-Ad-Optimizer-AI,Ad Optimizer Ai,market,planned,planned,yes,782c3f1d-0127-464a-b1fa-812c2244f988
EC-034-Recommendation-Engine,Recommendation Engine,market,planned,planned,yes,70a6dd47-0fe7-456e-bf0e-497b09bab3f4
EC-035-Review-Aggregator-AI,Review Aggregator Ai,market,planned,planned,yes,f4d11787-2851-45c9-bfa2-88349762a37d
EC-036-Fulfillment-Network-AI,Fulfillment Network Ai,market,planned,planned,yes,02ee37b5-eb8a-4f42-ad94-79b7e5472d22
EC-037-Return-Optimization-AI,Return Optimization Ai,market,planned,planned,yes,0ea29e71-8639-4202-925b-ecb70c013800
EC-038-Chatbot-Customer-Service,Chatbot Customer Service,market,planned,planned,yes,b6823f63-1d6d-4b98-a640-3766a0637c50
EC-039-Visual-Search-AI,Visual Search Ai,market,planned,planned,yes,11042f16-27fe-4c22-80d8-719ec6a3dc83
EC-040-Abandoned-Cart-Recovery,Abandoned Cart Recovery,market,planned,planned,yes,d554d438-5692-4d11-8134-b46be9143aa2
EC-041-Seasonal-Trend-Predictor,Seasonal Trend Predictor,market,planned,planned,yes,2341307d-f417-4696-8f8f-8900eee85251
EC-042-Influencer-Matchmaker,Influencer Matchmaker,market,planned,planned,yes,1972105c-4744-4d5f-8ff1-1d5e623dedd4
EC-043-UGC-Content-Aggregator,Ugc Content Aggregator,market,planned,planned,yes,44eacc62-7877-48ea-8ef6-80ebc1b0e846
EC-044-Live-Commerce-Platform,Live Commerce Platform,market,growth,active,yes,0ade2bf0-c2a2-4373-9179-2c773ea44a76
EC-045-AR-Virtual-Fitting-Room,Ar Virtual Fitting Room,market,planned,planned,yes,b7a0e981-8ef3-45bf-ad1d-3cbd3b482ba9
EC-046-3D-Product-Viewer,3D Product Viewer,market,growth,active,yes,f673b096-f211-4b65-9ff5-20a85605513b
EC-047-Carbon-Footprint-Tracker,Carbon Footprint Tracker,market,planned,planned,yes,e515e6cd-a5a9-453d-80c6-fc11c9b7a602
EC-048-Wholesale-Marketplace-AI,Wholesale Marketplace Ai,market,planned,planned,yes,cf272b81-21e0-4813-b736-6ff0c4ba488c
EC-049-Rental-Marketplace,Rental Marketplace,market,planned,planned,yes,e6ccb583-55bf-43c4-854b-6dfb0b196fca
EC-050-AI-Product-Descriptions,Ai Product Descriptions,market,planned,planned,yes,7c528bb7-3515-479f-9928-de0dbdd423c2
EC-051-AI-Email-Marketing,Ai Email Marketing,market,planned,planned,yes,7520fa1f-0055-41a1-a995-9ab6324812be
EC-052-AI-Product-Bundler,Ai Product Bundler,market,planned,planned,yes,9778724e-b6e5-44ec-8aa6-e21712907a75
EC-053-AI-Visual-Merchandiser,Ai Visual Merchandiser,market,planned,planned,yes,ba7d6e14-d315-4a40-8147-df365b2ebecf
EC-054-AI-Demand-Forecasting,Ai Demand Forecasting,market,planned,planned,yes,1f79d4d9-0ae0-4d61-9229-bf119ef3e3a9
EC-055-AI-Warehouse-Management,Ai Warehouse Management,market,planned,planned,yes,76168880-aee5-4805-9d1e-3f46284bd73e
EC-056-AI-Supplier-Matching,Ai Supplier Matching,market,planned,planned,yes,8d079de0-f036-42a7-b886-62602bc23760
EC-057-AI-Quality-Control,Ai Quality Control,market,planned,planned,yes,38f31487-8db1-447f-a399-b058408b194c
EC-058-AI-Packaging-Designer,Ai Packaging Designer,market,planned,planned,yes,48f21b48-6f8e-4e07-9469-3d7dc790c5a4
