venture_id,name,sector,opco,revenue_model,pricing_range,basis
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-004-Lash-Training-Academy,Lash Training Academy,beauty-wellness,BEAUTY-WELLNESS,Course fee or subscription,$19-99 one-time or /month,keyword match: training
BW-005-Lash-Supply-Company,Lash Supply Company,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-008-Private-Label-Lashes,Private Label Lashes,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: salon
BW-010-Online-Lash-Education,Online Lash Education,beauty-wellness,BEAUTY-WELLNESS,Course fee or subscription,$19-99 one-time or /month,keyword match: education
BW-011-Nail-Salon,Nail Salon,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: salon
BW-012-Mobile-Nail-Tech,Mobile Nail Tech,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-013-Luxury-Nail-Spa,Luxury Nail Spa,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
BW-014-Press-On-Nail-Brand,Press On Nail Brand,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-015-Nail-Art-Studio,Nail Art Studio,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-016-Nail-Polish-Brand,Nail Polish Brand,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-017-Nail-Care-Products,Nail Care Products,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-018-Nail-Booking-Marketplace,Nail Booking Marketplace,beauty-wellness,BEAUTY-WELLNESS,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
BW-019-Salon-Management-Software,Salon Management Software,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: salon
BW-020-AI-Nail-Design-Generator,Ai Nail Design Generator,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-021-Hair-Salon,Hair Salon,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: salon
BW-022-Barbershop,Barbershop,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-023-Mobile-Hairstyling,Mobile Hairstyling,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-024-Hair-Braiding-Studio,Hair Braiding Studio,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-025-Wig-Installation-Studio,Wig Installation Studio,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-026-Hair-Extension-Salon,Hair Extension Salon,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: salon
BW-027-Hair-Care-Line,Hair Care Line,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-028-Wig-Brand,Wig Brand,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-029-Hair-Extensions-Brand,Hair Extensions Brand,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-030-Scalp-Treatment-Products,Scalp Treatment Products,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-031-Hair-Marketplace,Hair Marketplace,beauty-wellness,BEAUTY-WELLNESS,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
BW-032-Stylist-Booking-Platform,Stylist Booking Platform,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,beauty-wellness,BEAUTY-WELLNESS,Subscription SaaS,$29-99/month,keyword match: ai
BW-034-Salon-Franchise-Chain,Salon Franchise Chain,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: salon
BW-035-Makeup-Studio,Makeup Studio,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-036-Bridal-Makeup-Service,Bridal Makeup Service,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-039-Cosmetics-Brand,Cosmetics Brand,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-040-Beauty-Tools-Brand,Beauty Tools Brand,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: beauty
FH-001-Personal-Chef-Service,Personal Chef Service,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,food-hospitality,FOOD-HOSPITALITY,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: delivery
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-004-Catering-Company,Catering Company,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: catering
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,food-hospitality,FOOD-HOSPITALITY,Membership subscription,$29-79/month,keyword match: gym
FH-007-Elderly-Meal-Service,Elderly Meal Service,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-009-Packaged-Food-Brand,Packaged Food Brand,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-010-Frozen-Meals-Company,Frozen Meals Company,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-013-Meal-Kit-Company,Meal Kit Company,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-014-Cloud-Kitchen-,Cloud Kitchen ,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,food-hospitality,FOOD-HOSPITALITY,Subscription SaaS,$29-99/month,keyword match: ai
FH-016-Recipe-App,Recipe App,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-017-Cooking-Content-Brand,Cooking Content Brand,food-hospitality,FOOD-HOSPITALITY,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: content
FH-018-Food-Influencer-Brand,Food Influencer Brand,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-019-Cooking-Course-Platform,Cooking Course Platform,food-hospitality,FOOD-HOSPITALITY,Course fee or subscription,$19-99 one-time or /month,keyword match: course
FH-020-Restaurant-POS-System,Restaurant Pos System,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: restaurant
FH-021-Food-Truck-Business,Food Truck Business,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-023-Bakery-&-Pastry-Shop,Bakery & Pastry Shop,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-024-Juice-Bar,Juice Bar,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-025-Ice-Cream-Shop,Ice Cream Shop,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-026-Gourmet-Food-Market,Gourmet Food Market,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-027-Food-Delivery-Platform,Food Delivery Platform,food-hospitality,FOOD-HOSPITALITY,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: delivery
FH-028-Restaurant-Management-SaaS,Restaurant Management Saas,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: restaurant
FH-029-Food-Quality-Testing-Lab,Food Quality Testing Lab,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-030-Organic-Food-Brand,Organic Food Brand,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-031-Vegan-Food-Company,Vegan Food Company,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-032-Keto-Meal-Service,Keto Meal Service,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month,sector default: food-hospitality
FH-033-Food-Photography-Service,Food Photography Service,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
FH-034-Restaurant-Consulting,Restaurant Consulting,food-hospitality,FOOD-HOSPITALITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: restaurant
FH-035-Food-Safety-Training,Food Safety Training,food-hospitality,FOOD-HOSPITALITY,Course fee or subscription,$19-99 one-time or /month,keyword match: training
FS-001-Gym,Gym,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: gym
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: fitness
FS-003-Personal-Training-Studio,Personal Training Studio,fitness-sports,FITNESS-SPORTS,Course fee or subscription,$19-99 one-time or /month,keyword match: training
FS-004-Women-Only-Gym,Women Only Gym,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: gym
FS-005-Boxing-Gym,Boxing Gym,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: gym
FS-006-CrossFit-Gym,Crossfit Gym,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: gym
FS-007-Luxury-Fitness-Club,Luxury Fitness Club,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: fitness
FS-008-Online-Coaching,Online Coaching,fitness-sports,FITNESS-SPORTS,Course fee or subscription,$19-99 one-time or /month,keyword match: coaching
FS-009-Personal-Trainer-Business,Personal Trainer Business,fitness-sports,FITNESS-SPORTS,Subscription SaaS,$29-99/month,keyword match: ai
FS-010-Transformation-Program,Transformation Program,fitness-sports,FITNESS-SPORTS,Flat formation fee,$99-499 one-time + annual renewal,keyword match: formation
FS-011-Athlete-Training-Company,Athlete Training Company,fitness-sports,FITNESS-SPORTS,Course fee or subscription,$19-99 one-time or /month,keyword match: training
FS-012-Supplement-Brand,Supplement Brand,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-013-Fitness-Apparel,Fitness Apparel,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: fitness
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-015-Recovery-Products,Recovery Products,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-016-Fitness-App,Fitness App,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: fitness
FS-017-AI-Personal-Trainer,Ai Personal Trainer,fitness-sports,FITNESS-SPORTS,Subscription SaaS,$29-99/month,keyword match: ai
FS-018-Gym-Management-Software,Gym Management Software,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: gym
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,fitness-sports,FITNESS-SPORTS,B2B SaaS subscription,$49-199/month per seat,keyword match: analytics
FS-020-Yoga-Studio,Yoga Studio,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-021-Pilates-Studio,Pilates Studio,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-022-Dance-Studio,Dance Studio,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,sector default: fitness-sports
FS-024-Sports-Performance-Center,Sports Performance Center,fitness-sports,FITNESS-SPORTS,Membership subscription,$29-79/month,keyword match: sports
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,fitness-sports,FITNESS-SPORTS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: wellness
LT-001-Truck-Dispatch-Company,Truck Dispatch Company,logistics-transport,LOGISTICS-TRANSPORT,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
LT-002-Freight-Brokerage,Freight Brokerage,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: freight
LT-003-Logistics-Dispatch-Service,Logistics Dispatch Service,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: logistics
LT-004-Last-Mile-Delivery-Dispatch,Last Mile Delivery Dispatch,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: delivery
LT-005-Medical-Courier-Dispatch,Medical Courier Dispatch,logistics-transport,LOGISTICS-TRANSPORT,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
LT-006-Amazon,Amazon,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-007-Construction-Dispatch,Construction Dispatch,logistics-transport,LOGISTICS-TRANSPORT,Project fee / margin,10-20% margin on job value,keyword match: construction
LT-008-Towing-Dispatch,Towing Dispatch,logistics-transport,LOGISTICS-TRANSPORT,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
LT-009-HVAC-Technician-Dispatch,Hvac Technician Dispatch,logistics-transport,LOGISTICS-TRANSPORT,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
LT-010-Field-Service-Dispatch,Field Service Dispatch,logistics-transport,LOGISTICS-TRANSPORT,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
LT-011-Dispatch-Software,Dispatch Software,logistics-transport,LOGISTICS-TRANSPORT,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
LT-012-Fleet-Tracking-Platform,Fleet Tracking Platform,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-013-Logistics-Automation-System,Logistics Automation System,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: logistics
LT-014-AI-Route-Optimization,Ai Route Optimization,logistics-transport,LOGISTICS-TRANSPORT,Subscription SaaS,$29-99/month,keyword match: ai
LT-015-Driver-Management-Platform,Driver Management Platform,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-016-Trucking-Company,Trucking Company,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-017-Courier-Service,Courier Service,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-018-Local-Delivery-Company,Local Delivery Company,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: delivery
LT-019-Moving-Company,Moving Company,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-020-Freight-Company,Freight Company,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: freight
LT-021-Warehouse-Company,Warehouse Company,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-022-Fulfillment-Center,Fulfillment Center,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-023-Storage-Business,Storage Business,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-024-Distribution-Company,Distribution Company,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",sector default: logistics-transport
LT-025-Logistics-Marketplace,Logistics Marketplace,logistics-transport,LOGISTICS-TRANSPORT,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
LT-026-Shipping-Platform,Shipping Platform,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: shipping
LT-027-Fleet-Management-SaaS,Fleet Management Saas,logistics-transport,LOGISTICS-TRANSPORT,Subscription SaaS,$29-99/month,keyword match: saas
LT-028-Freight-AI-Optimization,Freight Ai Optimization,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: freight
LT-029-Supply-Chain-Analytics,Supply Chain Analytics,logistics-transport,LOGISTICS-TRANSPORT,B2B SaaS subscription,$49-199/month per seat,keyword match: analytics
LT-030-Cold-Chain-Logistics,Cold Chain Logistics,logistics-transport,LOGISTICS-TRANSPORT,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: logistics
PS-001-Business-Consulting,Business Consulting,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-002-Legal-Services,Legal Services,professional-services,PROFESSIONAL-SERVICES,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
PS-003-Accounting-Services,Accounting Services,professional-services,PROFESSIONAL-SERVICES,Subscription (accounting SaaS),$49-149 / month,keyword match: accounting
PS-004-HR-Consulting,Hr Consulting,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-005-Marketing-Agency,Marketing Agency,professional-services,PROFESSIONAL-SERVICES,Local SaaS subscription,$99-299/month per business,keyword match: marketing
PS-006-Web-Design-Agency,Web Design Agency,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-007-IT-Support-Services,It Support Services,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-008-Virtual-Assistant-Service,Virtual Assistant Service,professional-services,PROFESSIONAL-SERVICES,Subscription SaaS,$29-99/month,keyword match: assistant
PS-009-Bookkeeping-Service,Bookkeeping Service,professional-services,PROFESSIONAL-SERVICES,Subscription (accounting SaaS),$49-149 / month,keyword match: bookkeeping
PS-010-Tax-Preparation-Service,Tax Preparation Service,professional-services,PROFESSIONAL-SERVICES,Per-filing fee,$49-249 per return,keyword match: tax prep
PS-011-Real-Estate-Agency,Real Estate Agency,professional-services,PROFESSIONAL-SERVICES,Transaction commission,1-3% of transaction value,keyword match: real estate
PS-012-Insurance-Agency,Insurance Agency,professional-services,PROFESSIONAL-SERVICES,Premium-based fee,% of referred premium or per-policy fee,keyword match: insurance
PS-013-Financial-Planning,Financial Planning,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-014-Event-Planning,Event Planning,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-015-Interior-Design,Interior Design,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
