venture_id,name,sector,opco,stage,status
LT-013-Logistics-Automation-System,Logistics Automation System,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-014-AI-Route-Optimization,Ai Route Optimization,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-015-Driver-Management-Platform,Driver Management Platform,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-016-Trucking-Company,Trucking Company,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-017-Courier-Service,Courier Service,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-018-Local-Delivery-Company,Local Delivery Company,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-019-Moving-Company,Moving Company,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-020-Freight-Company,Freight Company,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-021-Warehouse-Company,Warehouse Company,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-022-Fulfillment-Center,Fulfillment Center,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-023-Storage-Business,Storage Business,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-024-Distribution-Company,Distribution Company,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-025-Logistics-Marketplace,Logistics Marketplace,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-026-Shipping-Platform,Shipping Platform,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-027-Fleet-Management-SaaS,Fleet Management Saas,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-028-Freight-AI-Optimization,Freight Ai Optimization,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-029-Supply-Chain-Analytics,Supply Chain Analytics,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-030-Cold-Chain-Logistics,Cold Chain Logistics,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
PS-001-Business-Consulting,Business Consulting,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-002-Legal-Services,Legal Services,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-003-Accounting-Services,Accounting Services,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-004-HR-Consulting,Hr Consulting,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-005-Marketing-Agency,Marketing Agency,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-006-Web-Design-Agency,Web Design Agency,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-007-IT-Support-Services,It Support Services,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-008-Virtual-Assistant-Service,Virtual Assistant Service,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-009-Bookkeeping-Service,Bookkeeping Service,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-010-Tax-Preparation-Service,Tax Preparation Service,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-011-Real-Estate-Agency,Real Estate Agency,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-012-Insurance-Agency,Insurance Agency,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-013-Financial-Planning,Financial Planning,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-014-Event-Planning,Event Planning,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-015-Interior-Design,Interior Design,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-016-Photography-Service,Photography Service,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-017-Videography-Service,Videography Service,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-018-Translation-Services,Translation Services,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-019-Copywriting-Service,Copywriting Service,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-020-Social-Media-Management,Social Media Management,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-021-SEO-Agency,Seo Agency,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-022-PPC-Management,Ppc Management,professional-services,PROFESSIONAL-SERVICES,mvp,development
PS-023-PR-Agency,Pr Agency,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-024-Recruiting-Agency,Recruiting Agency,professional-services,PROFESSIONAL-SERVICES,validation,validation
PS-025-Business-Brokerage,Business Brokerage,professional-services,PROFESSIONAL-SERVICES,planned,planned
MC-001-YouTube-Channel-Network,Youtube Channel Network,media-content,MEDIA-CONTENT,mvp,development
MC-002-Podcast-Network,Podcast Network,media-content,MEDIA-CONTENT,mvp,development
MC-003-Blog-Network,Blog Network,media-content,MEDIA-CONTENT,mvp,development
MC-004-Influencer-Agency,Influencer Agency,media-content,MEDIA-CONTENT,validation,validation
MC-005-Content-Creation-Studio,Content Creation Studio,media-content,MEDIA-CONTENT,mvp,development
MC-006-Video-Production-Company,Video Production Company,media-content,MEDIA-CONTENT,validation,validation
MC-007-Animation-Studio,Animation Studio,media-content,MEDIA-CONTENT,planned,planned
MC-008-Music-Production,Music Production,media-content,MEDIA-CONTENT,validation,validation
MC-009-Stock-Photography,Stock Photography,media-content,MEDIA-CONTENT,mvp,development
MC-010-Stock-Video,Stock Video,media-content,MEDIA-CONTENT,mvp,development
MC-011-Online-Magazine,Online Magazine,media-content,MEDIA-CONTENT,mvp,development
MC-012-News-Website,News Website,media-content,MEDIA-CONTENT,validation,validation
MC-013-Streaming-Platform,Streaming Platform,media-content,MEDIA-CONTENT,planned,planned
MC-014-Gaming-Channel,Gaming Channel,media-content,MEDIA-CONTENT,mvp,development
MC-015-Esports-Team,Esports Team,media-content,MEDIA-CONTENT,planned,planned
MC-016-Virtual-Events-Platform,Virtual Events Platform,media-content,MEDIA-CONTENT,planned,planned
MC-017-Online-Course-Platform,Online Course Platform,media-content,MEDIA-CONTENT,mvp,development
MC-018-Membership-Site,Membership Site,media-content,MEDIA-CONTENT,mvp,development
MC-019-Digital-Download-Store,Digital Download Store,media-content,MEDIA-CONTENT,mvp,development
MC-020-NFT-Marketplace,Nft Marketplace,media-content,MEDIA-CONTENT,planned,planned
ET-001-Online-Tutoring-Platform,Online Tutoring Platform,education-training,EDUCATION-TRAINING,mvp,development
ET-002-Language-Learning-App,Language Learning App,education-training,EDUCATION-TRAINING,mvp,development
ET-003-Test-Prep-Service,Test Prep Service,education-training,EDUCATION-TRAINING,validation,validation
ET-004-Coding-Bootcamp,Coding Bootcamp,education-training,EDUCATION-TRAINING,validation,validation
ET-005-Professional-Certification,Professional Certification,education-training,EDUCATION-TRAINING,validation,validation
ET-006-Corporate-Training,Corporate Training,education-training,EDUCATION-TRAINING,validation,validation
ET-007-Skills-Assessment-Platform,Skills Assessment Platform,education-training,EDUCATION-TRAINING,planned,planned
ET-008-Career-Coaching,Career Coaching,education-training,EDUCATION-TRAINING,mvp,development
ET-009-Resume-Writing-Service,Resume Writing Service,education-training,EDUCATION-TRAINING,mvp,development
ET-010-Interview-Prep-Platform,Interview Prep Platform,education-training,EDUCATION-TRAINING,mvp,development
ET-011-Mentorship-Platform,Mentorship Platform,education-training,EDUCATION-TRAINING,planned,planned
ET-012-Educational-Content-Library,Educational Content Library,education-training,EDUCATION-TRAINING,mvp,development
ET-013-VR-Training-Simulations,Vr Training Simulations,education-training,EDUCATION-TRAINING,planned,planned
ET-014-Gamified-Learning-App,Gamified Learning App,education-training,EDUCATION-TRAINING,planned,planned
ET-015-Homeschool-Curriculum,Homeschool Curriculum,education-training,EDUCATION-TRAINING,validation,validation
ST-001-SaaS-Platform,Saas Platform,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-002-Mobile-App-Development,Mobile App Development,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-003-Web-Development-Agency,Web Development Agency,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-004-Custom-Software-Development,Custom Software Development,software-technology,SOFTWARE-TECHNOLOGY,validation,validation
ST-005-API-Development,Api Development,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-006-Cloud-Infrastructure,Cloud Infrastructure,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-007-DevOps-Consulting,Devops Consulting,software-technology,SOFTWARE-TECHNOLOGY,validation,validation
ST-008-Cybersecurity-Service,Cybersecurity Service,software-technology,SOFTWARE-TECHNOLOGY,validation,validation
ST-009-Data-Analytics-Platform,Data Analytics Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-010-Business-Intelligence-Tool,Business Intelligence Tool,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-011-CRM-Platform,Crm Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-012-Project-Management-Tool,Project Management Tool,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-013-Communication-Platform,Communication Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-014-Collaboration-Software,Collaboration Software,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-015-Automation-Platform,Automation Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-016-AI,Ai,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-017-Chatbot-Builder,Chatbot Builder,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-018-E-commerce-Platform,E Commerce Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-019-Payment-Processing,Payment Processing,software-technology,SOFTWARE-TECHNOLOGY,validation,validation
ST-020-Blockchain-Platform,Blockchain Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-021-IoT-Platform,Iot Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-022-AR,Ar,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-023-Game-Development,Game Development,software-technology,SOFTWARE-TECHNOLOGY,validation,validation
ST-024-Marketing-Automation,Marketing Automation,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-025-Sales-Automation,Sales Automation,software-technology,SOFTWARE-TECHNOLOGY,mvp,development
ST-026-HR-Tech-Platform,Hr Tech Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-027-Legal-Tech-Platform,Legal Tech Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-028-Health-Tech-Platform,Health Tech Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-029-EdTech-Platform,Edtech Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
ST-030-PropTech-Platform,Proptech Platform,software-technology,SOFTWARE-TECHNOLOGY,planned,planned
EC-001-Angels-in-Daylight,Angels In Daylight,e-commerce,E-COMMERCE,planned,planned
EC-002-New-World-Apparel,New World Apparel,e-commerce,E-COMMERCE,planned,planned
EC-003-Shopify-Autopilot,Shopify Autopilot,e-commerce,E-COMMERCE,planned,planned
EC-004-Shoe-Customizer,Shoe Customizer,e-commerce,E-COMMERCE,planned,planned
EC-005-Sunglasses-AI,Sunglasses Ai,e-commerce,E-COMMERCE,planned,planned
EC-006-Dropship-Hub,Dropship Hub,e-commerce,E-COMMERCE,planned,planned
EC-007-Personal-Shopper-AI,Personal Shopper Ai,e-commerce,E-COMMERCE,planned,planned
EC-008-Custom-Sneaker-AI,Custom Sneaker Ai,e-commerce,E-COMMERCE,planned,planned
EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,e-commerce,E-COMMERCE,planned,planned
EC-010-Jewelry-Designer-AI,Jewelry Designer Ai,e-commerce,E-COMMERCE,planned,planned
EC-011-Virtual-Try-On-AI,Virtual Try On Ai,e-commerce,E-COMMERCE,planned,planned
EC-012-Fashion-Designer-AI,Fashion Designer Ai,e-commerce,E-COMMERCE,planned,planned
EC-013-Merch-Licensing,Merch Licensing,e-commerce,E-COMMERCE,planned,planned
EC-014-Subscription-Box-AI,Subscription Box Ai,e-commerce,E-COMMERCE,planned,planned
EC-015-Surf-Gear-AI,Surf Gear Ai,e-commerce,E-COMMERCE,planned,planned
EC-016-Ski-Gear-AI,Ski Gear Ai,e-commerce,E-COMMERCE,planned,planned
EC-017-Golf-Gear-AI,Golf Gear Ai,e-commerce,E-COMMERCE,planned,planned
EC-018-Fishing-Gear-AI,Fishing Gear Ai,e-commerce,E-COMMERCE,planned,planned
EC-019-Yoga-Gear-AI,Yoga Gear Ai,e-commerce,E-COMMERCE,planned,planned
EC-020-Costume-Shop-AI,Costume Shop Ai,e-commerce,E-COMMERCE,planned,planned
EC-021-Luggage-AI,Luggage Ai,e-commerce,E-COMMERCE,planned,planned
