venture_id,agent_id
COMM-045-Public-Childcare-AI,T4_OPS_COORDINATOR_001
COMM-046-Community-Pet-Care-AI,T4_OPS_COORDINATOR_001
COMM-047-Public-Fitness-AI,T4_OPS_COORDINATOR_001
COMM-048-Community-Transportation-AI,T4_OPS_COORDINATOR_001
COMM-049-Public-Event-AI,T4_OPS_COORDINATOR_001
COMM-050-Community-Cultural-AI,T4_OPS_COORDINATOR_001
EDU-001-Youth-Entrepreneurship-Curriculum,T3_CONTENT_STRATEGIST_001
EM-001-Space-Habitat-AI,T5_DEVOPS_AUTOMATION_001
EM-002-Fusion-Energy-AI,T5_DEVOPS_AUTOMATION_001
EM-003-Teleportation-Research-AI,T5_DEVOPS_AUTOMATION_001
EM-004-Climate-Solutions-AI,T5_DEVOPS_AUTOMATION_001
EM-005-Holographic-Events-AI,T5_DEVOPS_AUTOMATION_001
EM-006-Neurofeedback-AI,T5_DEVOPS_AUTOMATION_001
EM-007-Autonomous-Delivery-AI,T5_DEVOPS_AUTOMATION_001
EM-008-Gene-Editing-AI,T5_DEVOPS_AUTOMATION_001
EM-009-Space-Tourism-AI,T5_DEVOPS_AUTOMATION_001
EM-010-Wearables-AI,T5_DEVOPS_AUTOMATION_001
EM-011-Metaverse-Hub-AI,T5_DEVOPS_AUTOMATION_001
EM-012-Energy-Grid-AI,T5_DEVOPS_AUTOMATION_001
EM-013-Brain-Computer-Interface,T5_DEVOPS_AUTOMATION_001
EM-014-Ocean-Cleanup-AI,T5_DEVOPS_AUTOMATION_001
EM-015-Crypto-Trading-AI,T5_DEVOPS_AUTOMATION_001
EM-016-Synthetic-Media-AI,T5_DEVOPS_AUTOMATION_001
EM-017-Space-Mining-AI,T5_DEVOPS_AUTOMATION_001
EM-018-VR-Therapy-AI,T5_DEVOPS_AUTOMATION_001
EM-019-Weather-Prediction-AI,T5_DEVOPS_AUTOMATION_001
EM-020-Autonomous-Farming-AI,T5_DEVOPS_AUTOMATION_001
EM-021-Traffic-Optimizer-AI,T5_DEVOPS_AUTOMATION_001
EM-022-Smart-Grid-AI,T5_DEVOPS_AUTOMATION_001
EM-023-Disaster-Prediction-AI,T5_DEVOPS_AUTOMATION_001
EM-024-Nanotech-AI,T5_DEVOPS_AUTOMATION_001
EM-025-Personalized-Medicine-AI,T5_DEVOPS_AUTOMATION_001
EM-026-AI-Diagnostic-Lab,T5_DEVOPS_AUTOMATION_001
EM-027-Sustainable-Cities-AI,T5_DEVOPS_AUTOMATION_001
EM-028-Renewable-Energy-AI,T5_DEVOPS_AUTOMATION_001
EM-029-Climate-Modeling-AI,T5_DEVOPS_AUTOMATION_001
EM-030-Policy-Advisor-AI,T5_DEVOPS_AUTOMATION_001
EM-031-Governance-Hub-AI,T5_DEVOPS_AUTOMATION_001
EM-032-Global-Challenges-AI,T5_DEVOPS_AUTOMATION_001
EM-033-Space-Exploration-AI,T5_DEVOPS_AUTOMATION_001
EM-034-Education-Equity-AI,T5_DEVOPS_AUTOMATION_001
EM-035-Health-Equity-AI,T5_DEVOPS_AUTOMATION_001
EM-036-Economic-Equity-AI,T5_DEVOPS_AUTOMATION_001
EM-037-Environmental-Justice-AI,T5_DEVOPS_AUTOMATION_001
EM-038-Human-Rights-AI,T5_DEVOPS_AUTOMATION_001
EM-039-Peacebuilding-AI,T5_DEVOPS_AUTOMATION_001
EM-040-Telemedicine-AI,T5_DEVOPS_AUTOMATION_001
EM-041-AI-Climate-Adaptation,T5_DEVOPS_AUTOMATION_001
EM-042-Space-Agriculture-AI,T5_DEVOPS_AUTOMATION_001
EM-043-Quantum-Communication-AI,T5_DEVOPS_AUTOMATION_001
EM-044-Robotics-Surgery-AI,T5_DEVOPS_AUTOMATION_001
EM-045-AI-Disaster-Response,T5_DEVOPS_AUTOMATION_001
EM-046-Smart-City-Governance,T5_DEVOPS_AUTOMATION_001
EM-047-AI-Environmental-Monitoring,T5_DEVOPS_AUTOMATION_001
EM-048-Space-Manufacturing-AI,T5_DEVOPS_AUTOMATION_001
EM-049-AI-Ocean-Exploration,T5_DEVOPS_AUTOMATION_001
EM-050-AI-Archaeology,T5_DEVOPS_AUTOMATION_001
FI-dist,T2_FINANCIAL_SPECIALIST_001
FIN-001-GenixBank-Lite,T2_FINANCIAL_SPECIALIST_001
LT-002-Freight-Brokerage,T5_SYNC_ENGINE_001
LT-003-Logistics-Dispatch-Service,T5_SYNC_ENGINE_001
LT-004-Last-Mile-Delivery-Dispatch,T5_SYNC_ENGINE_001
LT-005-Medical-Courier-Dispatch,T5_SYNC_ENGINE_001
LT-006-Amazon,T5_SYNC_ENGINE_001
LT-007-Construction-Dispatch,T5_SYNC_ENGINE_001
LT-008-Towing-Dispatch,T5_SYNC_ENGINE_001
LT-009-HVAC-Technician-Dispatch,T5_SYNC_ENGINE_001
LT-010-Field-Service-Dispatch,T5_SYNC_ENGINE_001
LT-011-Dispatch-Software,T5_SYNC_ENGINE_001
LT-012-Fleet-Tracking-Platform,T5_SYNC_ENGINE_001
LT-013-Logistics-Automation-System,T5_SYNC_ENGINE_001
LT-014-AI-Route-Optimization,T5_SYNC_ENGINE_001
LT-015-Driver-Management-Platform,T5_SYNC_ENGINE_001
LT-016-Trucking-Company,T5_SYNC_ENGINE_001
LT-017-Courier-Service,T5_SYNC_ENGINE_001
LT-018-Local-Delivery-Company,T5_SYNC_ENGINE_001
LT-019-Moving-Company,T5_SYNC_ENGINE_001
LT-020-Freight-Company,T5_SYNC_ENGINE_001
LT-021-Warehouse-Company,T5_SYNC_ENGINE_001
LT-022-Fulfillment-Center,T5_SYNC_ENGINE_001
LT-023-Storage-Business,T5_SYNC_ENGINE_001
LT-024-Distribution-Company,T5_SYNC_ENGINE_001
LT-025-Logistics-Marketplace,T5_SYNC_ENGINE_001
LT-026-Shipping-Platform,T5_SYNC_ENGINE_001
LT-027-Fleet-Management-SaaS,T5_SYNC_ENGINE_001
LT-028-Freight-AI-Optimization,T5_SYNC_ENGINE_001
LT-029-Supply-Chain-Analytics,T5_SYNC_ENGINE_001
LT-030-Cold-Chain-Logistics,T5_SYNC_ENGINE_001
MC-001-YouTube-Channel-Network,T3_SOCIAL_MEDIA_001
OPS-002-Supply-Chain-Optimizer,T5_DEVOPS_AUTOMATION_001
OPS-003-Event-Planning-AI,T5_DEVOPS_AUTOMATION_001
OPS-004-Inventory-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-005-Project-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-006-Document-Automation-AI,T5_DEVOPS_AUTOMATION_001
OPS-007-Meeting-Assistant-AI,T5_DEVOPS_AUTOMATION_001
OPS-008-Recruitment-AI,T5_DEVOPS_AUTOMATION_001
OPS-009-Onboarding-AI,T5_DEVOPS_AUTOMATION_001
OPS-010-Training-Platform-AI,T5_DEVOPS_AUTOMATION_001
OPS-011-Performance-Review-AI,T5_DEVOPS_AUTOMATION_001
OPS-012-IT-Support-AI,T5_DEVOPS_AUTOMATION_001
OPS-013-Facilities-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-014-Travel-Booking-AI,T5_DEVOPS_AUTOMATION_001
OPS-015-Expense-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-016-Contract-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-017-Compliance-Monitoring-AI,T5_DEVOPS_AUTOMATION_001
OPS-018-Quality-Control-AI,T5_DEVOPS_AUTOMATION_001
OPS-019-Asset-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-020-Time-Tracking-AI,T5_DEVOPS_AUTOMATION_001
OPS-021-Document-Security-AI,T5_DEVOPS_AUTOMATION_001
OPS-022-Knowledge-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-023-Meeting-Transcription-AI,T5_DEVOPS_AUTOMATION_001
OPS-024-Task-Automation-AI,T5_DEVOPS_AUTOMATION_001
OPS-025-Resource-Allocation-AI,T5_DEVOPS_AUTOMATION_001
OPS-026-Budget-Planning-AI,T5_DEVOPS_AUTOMATION_001
OPS-027-Cost-Optimization-AI,T5_DEVOPS_AUTOMATION_001
OPS-028-Procurement-AI,T5_DEVOPS_AUTOMATION_001
OPS-029-Vendor-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-030-Contract-Negotiation-AI,T5_DEVOPS_AUTOMATION_001
OPS-031-Legal-Document-AI,T5_DEVOPS_AUTOMATION_001
OPS-032-Compliance-Reporting-AI,T5_DEVOPS_AUTOMATION_001
OPS-033-Training-Content-AI,T5_DEVOPS_AUTOMATION_001
OPS-034-Employee-Engagement-AI,T5_DEVOPS_AUTOMATION_001
OPS-035-Succession-Planning-AI,T5_DEVOPS_AUTOMATION_001
OPS-036-Workspace-Design-AI,T5_DEVOPS_AUTOMATION_001
OPS-037-Energy-Efficiency-AI,T5_DEVOPS_AUTOMATION_001
OPS-038-Security-Monitoring-AI,T5_DEVOPS_AUTOMATION_001
OPS-039-Health-Safety-AI,T5_DEVOPS_AUTOMATION_001
OPS-040-Disaster-Recovery-AI,T5_DEVOPS_AUTOMATION_001
OPS-041-IT-Asset-Management,T5_DEVOPS_AUTOMATION_001
OPS-042-Cloud-Cost-Management,T5_DEVOPS_AUTOMATION_001
OPS-043-Data-Governance-AI,T5_DEVOPS_AUTOMATION_001
OPS-044-Network-Monitoring-AI,T5_DEVOPS_AUTOMATION_001
OPS-045-Software-Licensing-AI,T5_DEVOPS_AUTOMATION_001
OPS-046-IT-Procurement-AI,T5_DEVOPS_AUTOMATION_001
OPS-047-System-Integration-AI,T5_DEVOPS_AUTOMATION_001
OPS-048-Data-Backup-AI,T5_DEVOPS_AUTOMATION_001
OPS-049-Business-Continuity-AI,T5_DEVOPS_AUTOMATION_001
OPS-050-Compliance-Audit-AI,T5_DEVOPS_AUTOMATION_001
OPS-051-Document-Collaboration-AI,T5_DEVOPS_AUTOMATION_001
OPS-052-Video-Conferencing-AI,T5_DEVOPS_AUTOMATION_001
OPS-053-Email-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-054-Calendar-Optimization-AI,T5_DEVOPS_AUTOMATION_001
OPS-055-Project-Budget-AI,T5_DEVOPS_AUTOMATION_001
OPS-056-Resource-Forecasting-AI,T5_DEVOPS_AUTOMATION_001
OPS-057-Task-Prioritization-AI,T5_DEVOPS_AUTOMATION_001
OPS-058-Time-Management-AI,T5_DEVOPS_AUTOMATION_001
OPS-059-Meeting-Minutes-AI,T5_DEVOPS_AUTOMATION_001
OPS-060-Document-Translation-AI,T5_DEVOPS_AUTOMATION_001
OPS-061-Form-Automation-AI,T5_DEVOPS_AUTOMATION_001
OPS-062-Report-Generation-AI,T5_DEVOPS_AUTOMATION_001
OPS-063-Dashboard-Creation-AI,T5_DEVOPS_AUTOMATION_001
OPS-064-Analytics-Platform-AI,T5_DEVOPS_AUTOMATION_001
OPS-065-Data-Cleaning-AI,T5_DEVOPS_AUTOMATION_001
OPS-066-Workflow-Management-AI,T5_DEVOPS_AUTOMATION_001
PS-001-Business-Consulting,T2_TECHNICAL_WRITER_001
PS-002-Legal-Services,T2_TECHNICAL_WRITER_001
PS-003-Accounting-Services,T2_TECHNICAL_WRITER_001
PS-004-HR-Consulting,T2_TECHNICAL_WRITER_001
PS-005-Marketing-Agency,T2_TECHNICAL_WRITER_001
PS-006-Web-Design-Agency,T2_TECHNICAL_WRITER_001
PS-007-IT-Support-Services,T2_TECHNICAL_WRITER_001
PS-008-Virtual-Assistant-Service,T2_TECHNICAL_WRITER_001
PS-009-Bookkeeping-Service,T2_TECHNICAL_WRITER_001
PS-010-Tax-Preparation-Service,T2_TECHNICAL_WRITER_001
PS-011-Real-Estate-Agency,T2_TECHNICAL_WRITER_001
PS-012-Insurance-Agency,T2_TECHNICAL_WRITER_001
PS-013-Financial-Planning,T2_TECHNICAL_WRITER_001
PS-014-Event-Planning,T2_TECHNICAL_WRITER_001
PS-015-Interior-Design,T2_TECHNICAL_WRITER_001
PS-016-Photography-Service,T2_TECHNICAL_WRITER_001
PS-017-Videography-Service,T2_TECHNICAL_WRITER_001
PS-018-Translation-Services,T2_TECHNICAL_WRITER_001
PS-019-Copywriting-Service,T2_TECHNICAL_WRITER_001
PS-020-Social-Media-Management,T2_TECHNICAL_WRITER_001
PS-021-SEO-Agency,T2_TECHNICAL_WRITER_001
PS-022-PPC-Management,T2_TECHNICAL_WRITER_001
PS-023-PR-Agency,T2_TECHNICAL_WRITER_001
PS-024-Recruiting-Agency,T2_TECHNICAL_WRITER_001
PS-025-Business-Brokerage,T2_TECHNICAL_WRITER_001
SPEC-001-AI-Auction-House,T5_DEVOPS_AUTOMATION_001
SPEC-002-Smart-Marina-Management,T5_DEVOPS_AUTOMATION_001
SPEC-003-AI-Surf-Report,T5_DEVOPS_AUTOMATION_001
SPEC-004-Private-Chef-AI,T5_DEVOPS_AUTOMATION_001
SPEC-005-Virtual-Concierge-AI,T5_DEVOPS_AUTOMATION_001
SPEC-006-Smart-Parking-AI,T5_DEVOPS_AUTOMATION_001
SPEC-007-AI-Interior-Design,T5_DEVOPS_AUTOMATION_001
SPEC-008-Personal-Stylist-AI,T5_DEVOPS_AUTOMATION_001
SPEC-009-Smart-Locker-System,T5_DEVOPS_AUTOMATION_001
SPEC-010-AI-Fitness-Coach,T5_DEVOPS_AUTOMATION_001
SPEC-011-Smart-Golf-Caddie,T5_DEVOPS_AUTOMATION_001
SPEC-012-AI-Nutritionist,T5_DEVOPS_AUTOMATION_001
SPEC-013-Smart-Hotel-Butler,T5_DEVOPS_AUTOMATION_001
SPEC-014-AI-Language-Tutor,T5_DEVOPS_AUTOMATION_001
SPEC-015-Smart-Transportation-AI,T5_DEVOPS_AUTOMATION_001
SPEC-016-AI-Travel-Planner,T5_DEVOPS_AUTOMATION_001
SPEC-017-Smart-Agriculture-AI,T5_DEVOPS_AUTOMATION_001
SPEC-018-AI-Personal-Shopper,T5_DEVOPS_AUTOMATION_001
SPEC-019-Smart-Home-Security,T5_DEVOPS_AUTOMATION_001
SPEC-020-AI-Music-Producer,T5_DEVOPS_AUTOMATION_001
SPEC-021-Smart-Restaurant-AI,T5_DEVOPS_AUTOMATION_001
SPEC-022-AI-Movie-Critic,T5_DEVOPS_AUTOMATION_001
SPEC-023-Smart-Museum-Guide,T5_DEVOPS_AUTOMATION_001
SPEC-024-AI-Sports-Analyst,T5_DEVOPS_AUTOMATION_001
SPEC-025-Smart-Library-AI,T5_DEVOPS_AUTOMATION_001
SPEC-026-AI-Art-Curator,T5_DEVOPS_AUTOMATION_001
SPEC-027-Smart-Fitness-AI,T5_DEVOPS_AUTOMATION_001
SPEC-028-AI-Poetry-Generator,T5_DEVOPS_AUTOMATION_001
SPEC-029-Smart-Dating-AI,T5_DEVOPS_AUTOMATION_001
SPEC-030-AI-Journalism-Tool,T5_DEVOPS_AUTOMATION_001
SPEC-031-Smart-Legal-AI,T5_DEVOPS_AUTOMATION_001
SPEC-032-AI-Game-Designer,T5_DEVOPS_AUTOMATION_001
SPEC-033-Smart-Real-Estate-AI,T5_DEVOPS_AUTOMATION_001
SPEC-034-AI-Cooking-Assistant,T5_DEVOPS_AUTOMATION_001
SPEC-035-Smart-Health-AI,T5_DEVOPS_AUTOMATION_001
SPEC-036-AI-Photography-Tool,T5_DEVOPS_AUTOMATION_001
SPEC-037-Smart-Writing-AI,T5_DEVOPS_AUTOMATION_001
SPEC-038-AI-Comedy-Writer,T5_DEVOPS_AUTOMATION_001
SPEC-039-Smart-Meditation-AI,T5_DEVOPS_AUTOMATION_001
SPEC-040-AI-Debate-Coach,T5_DEVOPS_AUTOMATION_001
SPEC-041-Smart-Parenting-AI,T5_DEVOPS_AUTOMATION_001
SPEC-042-AI-Financial-Advisor,T5_DEVOPS_AUTOMATION_001
SPEC-043-Smart-Automotive-AI,T5_DEVOPS_AUTOMATION_001
SPEC-044-AI-Aviation-Planner,T5_DEVOPS_AUTOMATION_001
SPEC-045-Smart-Maritime-AI,T5_DEVOPS_AUTOMATION_001
SPEC-046-AI-Weather-Forecast,T5_DEVOPS_AUTOMATION_001
SPEC-047-Smart-Energy-AI,T5_DEVOPS_AUTOMATION_001
SPEC-048-AI-Sports-Coach,T5_DEVOPS_AUTOMATION_001
SPEC-049-Smart-Education-AI,T5_DEVOPS_AUTOMATION_001
SPEC-050-AI-Language-Translator,T5_DEVOPS_AUTOMATION_001
