venture_id,name,sector,stage,status,required_capabilities,implemented_capabilities,coverage_pct
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm;portfolio,22.2
FIN-024-Crowdfunding-AI,Crowdfunding Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-025-Escrow-Automation,Escrow Automation,financial,planned,planned,analytics;api;authentication;automation;dashboard;database;payments;portfolio;security,agent;automation;llm,11.1
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;automation;llm,0.0
FIN-027-Patent-Writer-AI,Patent Writer Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,,0.0
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,dashboard,12.5
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-034-Payroll-Automation,Payroll Automation,financial,planned,planned,analytics;api;authentication;automation;dashboard;database;payments;portfolio;security,agent;automation;llm,11.1
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,growth,active,analytics;api;authentication;dashboard;database;payments;portfolio;security,,0.0
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-004-Lash-Training-Academy,Lash Training Academy,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-005-Lash-Supply-Company,Lash Supply Company,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-008-Private-Label-Lashes,Private Label Lashes,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-010-Online-Lash-Education,Online Lash Education,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-011-Nail-Salon,Nail Salon,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-012-Mobile-Nail-Tech,Mobile Nail Tech,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-013-Luxury-Nail-Spa,Luxury Nail Spa,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-014-Press-On-Nail-Brand,Press On Nail Brand,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-015-Nail-Art-Studio,Nail Art Studio,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-016-Nail-Polish-Brand,Nail Polish Brand,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-017-Nail-Care-Products,Nail Care Products,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-018-Nail-Booking-Marketplace,Nail Booking Marketplace,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-019-Salon-Management-Software,Salon Management Software,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-020-AI-Nail-Design-Generator,Ai Nail Design Generator,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;llm;notifications;payments;scheduling,,0.0
BW-021-Hair-Salon,Hair Salon,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-022-Barbershop,Barbershop,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-023-Mobile-Hairstyling,Mobile Hairstyling,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-024-Hair-Braiding-Studio,Hair Braiding Studio,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-025-Wig-Installation-Studio,Wig Installation Studio,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-026-Hair-Extension-Salon,Hair Extension Salon,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-027-Hair-Care-Line,Hair Care Line,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-028-Wig-Brand,Wig Brand,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-029-Hair-Extensions-Brand,Hair Extensions Brand,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-030-Scalp-Treatment-Products,Scalp Treatment Products,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-031-Hair-Marketplace,Hair Marketplace,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-032-Stylist-Booking-Platform,Stylist Booking Platform,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;llm;notifications;payments;scheduling,,0.0
BW-034-Salon-Franchise-Chain,Salon Franchise Chain,beauty-wellness,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-035-Makeup-Studio,Makeup Studio,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-036-Bridal-Makeup-Service,Bridal Makeup Service,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,beauty-wellness,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-039-Cosmetics-Brand,Cosmetics Brand,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
BW-040-Beauty-Tools-Brand,Beauty Tools Brand,beauty-wellness,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-001-Personal-Chef-Service,Personal Chef Service,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-004-Catering-Company,Catering Company,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-007-Elderly-Meal-Service,Elderly Meal Service,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-009-Packaged-Food-Brand,Packaged Food Brand,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-010-Frozen-Meals-Company,Frozen Meals Company,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-013-Meal-Kit-Company,Meal Kit Company,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-014-Cloud-Kitchen-,Cloud Kitchen ,hospitality,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,hospitality,planned,planned,api;authentication;crm;dashboard;database;llm;notifications;payments;scheduling,llm,11.1
FH-016-Recipe-App,Recipe App,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-017-Cooking-Content-Brand,Cooking Content Brand,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,agent;automation;llm,0.0
FH-018-Food-Influencer-Brand,Food Influencer Brand,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-019-Cooking-Course-Platform,Cooking Course Platform,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-020-Restaurant-POS-System,Restaurant Pos System,hospitality,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,agent;automation;llm,0.0
FH-021-Food-Truck-Business,Food Truck Business,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,agent;automation;llm,0.0
FH-023-Bakery-&-Pastry-Shop,Bakery & Pastry Shop,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-024-Juice-Bar,Juice Bar,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-025-Ice-Cream-Shop,Ice Cream Shop,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,agent;automation;llm,0.0
FH-026-Gourmet-Food-Market,Gourmet Food Market,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-027-Food-Delivery-Platform,Food Delivery Platform,hospitality,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-028-Restaurant-Management-SaaS,Restaurant Management Saas,hospitality,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-029-Food-Quality-Testing-Lab,Food Quality Testing Lab,hospitality,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-030-Organic-Food-Brand,Organic Food Brand,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-031-Vegan-Food-Company,Vegan Food Company,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-032-Keto-Meal-Service,Keto Meal Service,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-033-Food-Photography-Service,Food Photography Service,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-034-Restaurant-Consulting,Restaurant Consulting,hospitality,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FH-035-Food-Safety-Training,Food Safety Training,hospitality,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-001-Gym,Gym,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-003-Personal-Training-Studio,Personal Training Studio,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-004-Women-Only-Gym,Women Only Gym,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-005-Boxing-Gym,Boxing Gym,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-006-CrossFit-Gym,Crossfit Gym,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-007-Luxury-Fitness-Club,Luxury Fitness Club,healthcare,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-008-Online-Coaching,Online Coaching,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-009-Personal-Trainer-Business,Personal Trainer Business,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-010-Transformation-Program,Transformation Program,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-011-Athlete-Training-Company,Athlete Training Company,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-012-Supplement-Brand,Supplement Brand,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-013-Fitness-Apparel,Fitness Apparel,healthcare,mvp,development,api;authentication;crm;dashboard;database;fashion-design;notifications;payments;scheduling,fashion-design,11.1
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-015-Recovery-Products,Recovery Products,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-016-Fitness-App,Fitness App,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-017-AI-Personal-Trainer,Ai Personal Trainer,healthcare,planned,planned,api;authentication;crm;dashboard;database;llm;notifications;payments;scheduling,llm,11.1
FS-018-Gym-Management-Software,Gym Management Software,healthcare,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,healthcare,planned,planned,analytics;api;authentication;crm;dashboard;database;notifications;payments;scheduling,analytics,11.1
FS-020-Yoga-Studio,Yoga Studio,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-021-Pilates-Studio,Pilates Studio,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-022-Dance-Studio,Dance Studio,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,healthcare,validation,validation,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-024-Sports-Performance-Center,Sports Performance Center,healthcare,planned,planned,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,healthcare,mvp,development,api;authentication;crm;dashboard;database;notifications;payments;scheduling,,0.0
LT-001-Truck-Dispatch-Company,Truck Dispatch Company,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-002-Freight-Brokerage,Freight Brokerage,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-003-Logistics-Dispatch-Service,Logistics Dispatch Service,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-004-Last-Mile-Delivery-Dispatch,Last Mile Delivery Dispatch,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-005-Medical-Courier-Dispatch,Medical Courier Dispatch,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-006-Amazon,Amazon,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-007-Construction-Dispatch,Construction Dispatch,transportation,validation,validation,analytics;api;authentication;automation;construction;dashboard;database;monitoring;payments;scheduling,,0.0
LT-008-Towing-Dispatch,Towing Dispatch,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-009-HVAC-Technician-Dispatch,Hvac Technician Dispatch,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-010-Field-Service-Dispatch,Field Service Dispatch,transportation,mvp,development,analytics;api;authentication;automation;construction;dashboard;database;monitoring;payments;scheduling,,0.0
LT-011-Dispatch-Software,Dispatch Software,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-012-Fleet-Tracking-Platform,Fleet Tracking Platform,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-013-Logistics-Automation-System,Logistics Automation System,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-014-AI-Route-Optimization,Ai Route Optimization,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;llm;monitoring;payments;scheduling,,0.0
LT-015-Driver-Management-Platform,Driver Management Platform,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-016-Trucking-Company,Trucking Company,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-017-Courier-Service,Courier Service,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-018-Local-Delivery-Company,Local Delivery Company,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-019-Moving-Company,Moving Company,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-020-Freight-Company,Freight Company,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-021-Warehouse-Company,Warehouse Company,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-022-Fulfillment-Center,Fulfillment Center,transportation,mvp,development,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-023-Storage-Business,Storage Business,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-024-Distribution-Company,Distribution Company,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-025-Logistics-Marketplace,Logistics Marketplace,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-026-Shipping-Platform,Shipping Platform,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-027-Fleet-Management-SaaS,Fleet Management Saas,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-028-Freight-AI-Optimization,Freight Ai Optimization,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;llm;monitoring;payments;scheduling,,0.0
LT-029-Supply-Chain-Analytics,Supply Chain Analytics,transportation,planned,planned,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
LT-030-Cold-Chain-Logistics,Cold Chain Logistics,transportation,validation,validation,analytics;api;authentication;automation;dashboard;database;monitoring;payments;scheduling,,0.0
PS-001-Business-Consulting,Business Consulting,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-002-Legal-Services,Legal Services,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-003-Accounting-Services,Accounting Services,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-004-HR-Consulting,Hr Consulting,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-005-Marketing-Agency,Marketing Agency,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-006-Web-Design-Agency,Web Design Agency,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-007-IT-Support-Services,It Support Services,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-008-Virtual-Assistant-Service,Virtual Assistant Service,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-009-Bookkeeping-Service,Bookkeeping Service,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-010-Tax-Preparation-Service,Tax Preparation Service,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-011-Real-Estate-Agency,Real Estate Agency,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-012-Insurance-Agency,Insurance Agency,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-013-Financial-Planning,Financial Planning,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-014-Event-Planning,Event Planning,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-015-Interior-Design,Interior Design,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-016-Photography-Service,Photography Service,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-017-Videography-Service,Videography Service,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-018-Translation-Services,Translation Services,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-019-Copywriting-Service,Copywriting Service,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-020-Social-Media-Management,Social Media Management,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-021-SEO-Agency,Seo Agency,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-022-PPC-Management,Ppc Management,staffing,mvp,development,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-023-PR-Agency,Pr Agency,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-024-Recruiting-Agency,Recruiting Agency,staffing,validation,validation,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
PS-025-Business-Brokerage,Business Brokerage,staffing,planned,planned,analytics;api;authentication;crm;dashboard;database;ocr;payments;scheduling,,0.0
